pole,gloss,phoneme,mean_z,n_langs,n_families,family_sign_concord,total_count,p_perm,q_fdr,significant
SMOOTH,smooth / sleek,n,0.522,22,11,0.73,346,0.2687,0.439,False
SLOW,slow / sluggish,w,0.658,8,5,1.0,54,0.2736,0.4418,False
SHARP,sharp / angular,s,0.573,6,5,1.0,35,0.2886,0.4574,False
SMOOTH,smooth / sleek,p,0.534,13,7,1.0,88,0.2935,0.4574,False
FAST,fast / quick,r,0.464,15,7,0.86,253,0.2935,0.4574,False
FAST,fast / quick,z,0.633,7,6,1.0,74,0.3035,0.4674,False
SLOW,slow / sluggish,z,0.681,12,7,0.57,95,0.3134,0.4773,False
SMOOTH,smooth / sleek,ɾ,0.599,5,3,0.67,87,0.3184,0.4794,False
SMOOTH,smooth / sleek,m,0.484,20,10,0.9,240,0.3333,0.4908,False
SLOW,slow / sluggish,s,0.476,21,10,0.7,376,0.3333,0.4908,False
SLOW,slow / sluggish,n,0.489,22,11,0.64,541,0.3433,0.5,False
SLOW,slow / sluggish,x,0.62,7,2,0.5,44,0.3532,0.509,False
SMOOTH,smooth / sleek,a͡ɪ,0.696,5,4,1.0,37,0.3831,0.54,False
FAST,fast / quick,c,0.608,6,3,1.0,27,0.3881,0.54,False
SHARP,sharp / angular,n,0.567,6,3,0.67,44,0.398,0.54,False
FAST,fast / quick,x,0.551,5,1,1.0,22,0.3881,0.54,False
SLOW,slow / sluggish,ɡ,0.514,15,8,0.38,172,0.403,0.54,False
FAST,fast / quick,d,0.438,17,8,0.75,207,0.393,0.54,False
SLOW,slow / sluggish,ʌ,0.409,5,2,1.0,130,0.403,0.54,False
SLOW,slow / sluggish,ɔ,0.498,9,4,0.5,77,0.4179,0.5545,False
QUIET,quiet / faint,a,0.486,10,6,0.5,74,0.4279,0.5621,False
FAST,fast / quick,j,0.483,15,7,0.86,99,0.4478,0.5825,False
SLOW,slow / sluggish,b,0.509,19,9,0.89,228,0.4677,0.6026,False
SMOOTH,smooth / sleek,ɡ,0.469,11,7,0.43,99,0.4776,0.6095,False
FAST,fast / quick,n,0.46,22,11,0.82,346,0.4826,0.6101,False
SMOOTH,smooth / sleek,ɛ,0.4,11,6,0.5,104,0.5224,0.6542,False
FAST,fast / quick,b,0.459,18,8,0.75,197,0.5274,0.6543,False
SLOW,slow / sluggish,ɪ,0.458,10,5,0.4,116,0.5473,0.6728,False
FAST,fast / quick,u,0.402,14,8,0.88,222,0.5771,0.703,False
SLOW,slow / sluggish,a͡ɪ,0.437,5,3,1.0,51,0.607,0.7262,False
SLOW,slow / sluggish,m,0.374,20,10,0.8,383,0.607,0.7262,False
SLOW,slow / sluggish,l,0.404,21,11,0.91,361,0.6468,0.767,False
FAST,fast / quick,ʃ,0.389,9,5,0.8,106,0.6567,0.771,False
SMOOTH,smooth / sleek,k,0.355,20,10,0.9,219,0.6617,0.771,False
FAST,fast / quick,i,0.4,22,11,0.73,419,0.6816,0.7874,False
FAST,fast / quick,ɪ,0.331,9,5,0.6,81,0.7214,0.8262,False
SLOW,slow / sluggish,i,0.394,21,10,0.7,577,0.7612,0.8644,False
FAST,fast / quick,l,0.34,21,11,0.82,214,0.7711,0.8683,False
SLOW,slow / sluggish,o,0.347,18,9,0.56,262,0.791,0.8833,False
SMOOTH,smooth / sleek,t͡ʃ,0.259,6,6,0.5,40,0.806,0.8852,False
FAST,fast / quick,t͡ʃ,0.229,5,5,0.4,55,0.806,0.8852,False
SMOOTH,smooth / sleek,l,0.329,16,8,0.88,189,0.8159,0.8889,False
SLOW,slow / sluggish,d,0.294,17,8,1.0,281,0.8557,0.9247,False
SLOW,slow / sluggish,t͡ʃ,0.221,7,6,0.5,78,0.8955,0.96,False
SMOOTH,smooth / sleek,s,0.219,19,10,0.6,197,0.9154,0.9735,False
SLOW,slow / sluggish,r,0.194,15,6,0.67,306,0.9254,0.9764,False
SMOOTH,smooth / sleek,i,0.265,19,10,0.9,373,0.9602,0.9974,False
FAST,fast / quick,s,0.191,20,9,0.67,193,0.9602,0.9974,False
SLOW,slow / sluggish,ə,0.194,9,5,0.6,210,0.99,1.0,False
FAST,fast / quick,k,0.174,19,9,0.78,236,1.0,1.0,False
SMOOTH,smooth / sleek,r,0.057,11,5,0.4,154,0.9751,1.0,False
SMOOTH,smooth / sleek,j,-0.019,7,5,0.6,66,0.99,1.0,False
SLOW,slow / sluggish,ŋ,0.001,6,6,0.33,82,1.0,1.0,False
