Hungarian,Finnish,Greek,Russian,German,Spanish,Italian,French,Irish,Welsh,English,Chinese,Vietnamese,Japanese,Korean,Thai,Indonesian,Turkish,Arabic,Hebrew,Swahili,Hindi,_concepticon_gloss,_source_list
,,,,,,,,,,wing,,,,,,,,,,,,WING,Swadesh-215 + Leipzig-Jakarta
,,,,,,,,,,navel,,,,,,,,,,,,NAVEL,Leipzig-Jakarta
,,,,,,,,,,thigh,,,,,,,,,,,,UPPER LEG (THIGH),Leipzig-Jakarta
,,,,,,,,,,carry,,,,,,,,,,,,CARRY,Leipzig-Jakarta
,,,,,,,,,,grind,,,,,,,,,,,,GRIND,Leipzig-Jakarta
,,,,,,,,,,hit,,,,,,,,,,,,STRIKE OR BEAT,Leipzig-Jakarta
,,,,,,,,,,berry,,,,,,,,,,,,BERRY,Swadesh-215
