pole,gloss,phoneme,mean_z,n_langs,n_families,family_sign_concord,total_count,p_perm,q_fdr,significant
SLOW,slow / sluggish,i,0.511,19,10,0.7,252,0.4975,0.5929,False
SLOW,slow / sluggish,n,0.48,22,11,0.55,256,0.5572,0.6464,False
SMOOTH,smooth / sleek,s,0.403,14,7,1.0,92,0.5522,0.6464,False
SLOW,slow / sluggish,ɾ,0.513,5,2,0.5,75,0.602,0.6891,False
SMOOTH,smooth / sleek,i,0.419,15,9,0.89,155,0.6965,0.7769,False
FAST,fast / quick,ɪ,0.393,7,5,0.8,38,0.6915,0.7769,False
SMOOTH,smooth / sleek,l,0.339,11,6,1.0,84,0.7114,0.7835,False
SLOW,slow / sluggish,o,0.394,13,7,0.71,112,0.7711,0.8182,False
SLOW,slow / sluggish,z,0.354,7,6,0.67,41,0.7662,0.8182,False
SMOOTH,smooth / sleek,r,0.327,9,4,0.5,80,0.7562,0.8182,False
SLOW,slow / sluggish,r,0.318,14,6,0.67,150,0.796,0.8344,False
SLOW,slow / sluggish,t͡ʃ,0.273,5,5,0.6,31,0.806,0.8348,False
SLOW,slow / sluggish,l,0.34,19,9,0.78,150,0.8507,0.8708,False
SLOW,slow / sluggish,ə,0.46,5,4,1.0,87,0.8905,0.8955,False
FAST,fast / quick,k,0.21,14,8,0.62,96,0.8955,0.8955,False
