pole,gloss,phoneme,mean_z,n_langs,n_families,family_sign_concord,total_count,p_perm,q_fdr,significant
BRIGHT,bright / light,n,1.513,6,6,1.0,36,0.005,0.0618,True
FAST,fast / quick,t,1.056,16,9,1.0,140,0.005,0.0618,True
SMOOTH,smooth / sleek,e,1.037,13,8,0.88,153,0.005,0.0618,True
SLOW,slow / sluggish,e,0.965,17,8,0.88,230,0.005,0.0618,True
SMOOTH,smooth / sleek,ɑ,1.416,5,4,1.0,49,0.01,0.0666,True
SLOW,slow / sluggish,ʃ,1.359,8,5,0.8,74,0.01,0.0666,True
FAST,fast / quick,p,1.233,13,7,1.0,76,0.01,0.0666,True
SMOOTH,smooth / sleek,u,1.173,10,8,0.88,102,0.01,0.0666,True
SMOOTH,smooth / sleek,ə,1.434,9,5,0.8,76,0.0149,0.0866,True
FAST,fast / quick,e,0.98,13,8,0.88,171,0.0149,0.0866,True
FAST,fast / quick,b,1.281,9,7,1.0,98,0.0199,0.0962,True
SMOOTH,smooth / sleek,v,2.295,6,3,1.0,47,0.005,0.0618,False
SMOOTH,smooth / sleek,f,1.651,6,3,1.0,31,0.005,0.0618,False
SLOW,slow / sluggish,f,1.502,7,3,1.0,51,0.005,0.0618,False
QUIET,quiet / faint,n,1.667,5,3,1.0,34,0.01,0.0666,False
FAST,fast / quick,f,1.491,5,3,1.0,32,0.01,0.0666,False
FAST,fast / quick,v,1.401,6,3,1.0,45,0.0199,0.0962,False
SMOOTH,smooth / sleek,b,1.214,9,3,1.0,77,0.0199,0.0962,False
SMOOTH,smooth / sleek,d,0.899,12,5,1.0,92,0.0249,0.1031,False
SLOW,slow / sluggish,p,0.896,16,7,0.86,108,0.0249,0.1031,False
SLOW,slow / sluggish,a,0.724,19,9,1.0,569,0.0249,0.1031,False
SMOOTH,smooth / sleek,m,0.872,13,8,0.88,123,0.0299,0.118,False
SMOOTH,smooth / sleek,ɪ,1.07,5,3,0.67,34,0.0348,0.1262,False
SLOW,slow / sluggish,k,0.753,22,11,0.82,229,0.0348,0.1262,False
SLOW,slow / sluggish,ɡ,0.905,12,7,0.57,96,0.0398,0.1385,False
FAST,fast / quick,m,0.74,16,9,0.89,123,0.0448,0.1498,False
SMOOTH,smooth / sleek,h,1.094,7,6,1.0,90,0.0547,0.1587,False
SLOW,slow / sluggish,y,1.056,5,3,0.67,25,0.0547,0.1587,False
QUIET,quiet / faint,a,0.86,6,4,1.0,41,0.0498,0.1587,False
SMOOTH,smooth / sleek,t,0.722,16,10,0.9,120,0.0547,0.1587,False
SLOW,slow / sluggish,ɑ,0.887,5,3,0.67,63,0.0597,0.1623,False
FAST,fast / quick,d,0.804,12,7,1.0,88,0.0597,0.1623,False
SLOW,slow / sluggish,ɪ,0.921,8,5,0.8,62,0.0697,0.1782,False
SLOW,slow / sluggish,u,0.772,15,9,1.0,154,0.0697,0.1782,False
SMOOTH,smooth / sleek,z,1.032,5,3,1.0,27,0.0746,0.1803,False
FAST,fast / quick,a,0.66,19,9,0.89,337,0.0746,0.1803,False
SMOOTH,smooth / sleek,p,0.931,6,4,1.0,37,0.0995,0.2164,False
BRIGHT,bright / light,a,0.837,9,6,1.0,46,0.1045,0.2164,False
SLOW,slow / sluggish,v,0.822,9,3,0.67,54,0.0995,0.2164,False
SMOOTH,smooth / sleek,o,0.774,9,5,1.0,86,0.0995,0.2164,False
SMOOTH,smooth / sleek,a,0.633,19,9,0.89,309,0.1045,0.2164,False
SLOW,slow / sluggish,s,0.62,19,9,0.89,180,0.0945,0.2164,False
SHARP,sharp / angular,a,0.765,9,6,1.0,56,0.1294,0.2617,False
SLOW,slow / sluggish,t,0.635,19,10,0.9,196,0.1343,0.2656,False
SLOW,slow / sluggish,ɛ,0.802,10,7,1.0,84,0.1393,0.2693,False
SLOW,slow / sluggish,ɔ,0.956,6,3,1.0,39,0.1542,0.2917,False
ROUND,round / curved,a,0.708,8,5,1.0,63,0.1741,0.3223,False
SLOW,slow / sluggish,b,0.739,12,7,0.86,91,0.1891,0.3427,False
SLOW,slow / sluggish,h,0.689,7,6,1.0,102,0.194,0.3445,False
FAST,fast / quick,ɛ,0.687,7,5,1.0,64,0.199,0.3463,False
FAST,fast / quick,r,0.59,14,7,1.0,119,0.2139,0.3649,False
ROUND,round / curved,n,0.794,5,3,1.0,36,0.2239,0.3746,False
SMOOTH,smooth / sleek,ɡ,0.737,5,3,0.67,41,0.2289,0.3757,False
FAST,fast / quick,i,0.615,17,9,0.78,194,0.2388,0.3847,False
SLOW,slow / sluggish,x,0.758,5,1,1.0,24,0.2438,0.3856,False
FAST,fast / quick,ə,0.768,8,5,0.8,83,0.2537,0.3942,False
FAST,fast / quick,l,0.602,15,7,0.71,99,0.2587,0.3949,False
FAST,fast / quick,o,0.575,9,4,1.0,81,0.2836,0.4182,False
SLOW,slow / sluggish,ʌ,0.517,5,2,1.0,56,0.2836,0.4182,False
FAST,fast / quick,j,0.502,8,6,0.5,43,0.2985,0.4328,False
FAST,fast / quick,n,0.569,19,9,0.89,166,0.3134,0.4397,False
FAST,fast / quick,ɑ,0.516,5,4,0.75,39,0.3085,0.4397,False
SMOOTH,smooth / sleek,k,0.458,17,9,0.89,114,0.3184,0.4397,False
FAST,fast / quick,s,0.548,15,8,1.0,89,0.3284,0.4464,False
FAST,fast / quick,ɡ,0.565,8,5,1.0,44,0.3532,0.4728,False
SLOW,slow / sluggish,m,0.532,18,9,0.67,172,0.3682,0.4781,False
SLOW,slow / sluggish,j,0.511,10,7,0.86,69,0.3682,0.4781,False
SMOOTH,smooth / sleek,n,0.519,22,11,0.82,167,0.3781,0.4838,False
FAST,fast / quick,u,0.531,9,8,0.75,105,0.4328,0.538,False
SMOOTH,smooth / sleek,ɛ,0.501,8,6,0.5,49,0.4279,0.538,False
SLOW,slow / sluggish,d,0.469,16,8,1.0,139,0.4577,0.5609,False
SLOW,slow / sluggish,ŋ,0.588,5,5,0.4,42,0.4876,0.5891,False
