pole,gloss,phoneme,mean_z,n_langs,n_families,family_sign_concord,total_count,p_perm,q_fdr,significant
坤卦-static,earth / void,h,0.375,13,9,0.67,406,0.0398,0.1831,False
巽卦-dynamic,wind / seepage,o,1.034,10,6,0.83,83,0.0448,0.1947,False
離卦-static,fire / enclosure,m,0.706,19,9,0.78,152,0.0448,0.1947,False
巽卦-static,wind / detachment,a,0.58,19,9,0.67,462,0.0448,0.1947,False
中卦-static,center / uniformity,i,0.503,21,11,0.73,550,0.0448,0.1947,False
坎卦-dynamic,water / dispersal,t,-0.421,20,10,0.9,331,0.0448,0.1947,False
坤卦-dynamic,earth / stillness,v,0.308,14,6,0.67,536,0.0448,0.1947,False
兌卦-dynamic,marsh / emission,t,-0.256,22,11,0.64,1105,0.0448,0.1947,False
離卦-dynamic,fire / contraction,p,0.249,20,10,0.6,733,0.0448,0.1947,False
巽卦-static,wind / detachment,l,0.531,20,10,0.7,198,0.0498,0.2025,False
乾卦-static,sky / fullness,z,0.492,12,6,0.5,87,0.0498,0.2025,False
艮卦-dynamic,mountain / descent,ʊ,0.401,8,3,1.0,219,0.0498,0.2025,False
乾卦-static,sky / fullness,u,0.37,19,8,0.62,364,0.0498,0.2025,False
坎卦-static,water / core,w,0.365,12,7,0.43,220,0.0498,0.2025,False
坤卦-static,earth / void,j,0.364,16,8,0.62,237,0.0498,0.2025,False
震卦-static,thunder / base,ʃ,0.352,12,5,0.4,410,0.0498,0.2025,False
坤卦-dynamic,earth / stillness,j,0.243,20,10,0.6,697,0.0498,0.2025,False
艮卦-dynamic,mountain / descent,s,-0.241,22,11,0.91,1073,0.0498,0.2025,False
艮卦-static,mountain / cover,ɡ,0.229,17,9,0.78,495,0.0498,0.2025,False
乾卦-static,sky / fullness,t͡s,0.89,5,3,1.0,31,0.0547,0.2172,False
艮卦-dynamic,mountain / descent,ŋ,0.358,10,7,0.57,315,0.0547,0.2172,False
震卦-dynamic,thunder / rising,o,-0.317,19,10,0.7,516,0.0547,0.2172,False
艮卦-static,mountain / cover,d,-0.257,18,9,0.67,575,0.0547,0.2172,False
坤卦-static,earth / void,ɲ,0.576,6,5,0.8,41,0.0597,0.2298,False
中卦-dynamic,center / mixture,d,0.536,14,8,0.62,92,0.0597,0.2298,False
坎卦-static,water / core,ð,0.509,5,2,0.5,96,0.0597,0.2298,False
震卦-dynamic,thunder / rising,j,0.326,18,9,0.67,278,0.0597,0.2298,False
坎卦-static,water / core,j,-0.264,18,9,0.78,356,0.0597,0.2298,False
離卦-static,fire / enclosure,l,0.66,15,6,0.83,149,0.0647,0.2445,False
艮卦-static,mountain / cover,v,-0.255,14,6,0.67,340,0.0647,0.2445,False
坤卦-dynamic,earth / stillness,h,0.244,16,10,0.7,1056,0.0647,0.2445,False
巽卦-dynamic,wind / seepage,s,0.708,14,7,0.57,100,0.0746,0.2693,False
坎卦-static,water / core,t͡s,0.527,5,3,0.67,69,0.0746,0.2693,False
艮卦-static,mountain / cover,ø,0.503,5,3,1.0,89,0.0746,0.2693,False
離卦-dynamic,fire / contraction,ɲ,0.403,6,5,0.2,79,0.0746,0.2693,False
震卦-dynamic,thunder / rising,w,0.391,11,6,0.5,121,0.0746,0.2693,False
震卦-dynamic,thunder / rising,ʃ,0.361,11,4,0.5,234,0.0746,0.2693,False
離卦-dynamic,fire / contraction,ɔ,-0.331,10,4,0.75,220,0.0746,0.2693,False
震卦-static,thunder / base,o,0.225,19,10,0.6,1145,0.0746,0.2693,False
巽卦-static,wind / detachment,ŋ,0.866,5,5,0.6,52,0.0796,0.2793,False
中卦-dynamic,center / mixture,e,0.491,16,9,0.67,180,0.0796,0.2793,False
震卦-dynamic,thunder / rising,x,0.472,7,3,0.67,58,0.0796,0.2793,False
離卦-dynamic,fire / contraction,c,0.4,5,3,1.0,133,0.0796,0.2793,False
艮卦-dynamic,mountain / descent,i,-0.246,22,11,0.82,1853,0.0796,0.2793,False
離卦-static,fire / enclosure,v,1.122,5,3,1.0,35,0.0846,0.2872,False
乾卦-dynamic,sky / tumult,ʃ,0.937,6,4,0.75,55,0.0846,0.2872,False
坎卦-dynamic,water / dispersal,w,0.67,6,6,0.83,81,0.0846,0.2872,False
乾卦-dynamic,sky / tumult,i,0.55,19,9,0.89,278,0.0846,0.2872,False
坤卦-static,earth / void,l,-0.272,20,10,0.9,420,0.0846,0.2872,False
坤卦-dynamic,earth / stillness,m,-0.184,22,11,0.82,1261,0.0846,0.2872,False
兌卦-static,marsh / cavity,k,0.619,17,8,0.88,126,0.0896,0.2993,False
艮卦-static,mountain / cover,n,-0.209,22,11,0.64,1571,0.0896,0.2993,False
震卦-static,thunder / base,k,0.207,22,11,0.82,1244,0.0896,0.2993,False
艮卦-static,mountain / cover,ɪ,-0.305,9,5,0.6,345,0.0945,0.3126,False
坤卦-dynamic,earth / stillness,ɪ,-0.283,10,5,0.8,435,0.0945,0.3126,False
巽卦-static,wind / detachment,ɑ,1.036,6,3,1.0,47,0.0995,0.324,False
巽卦-static,wind / detachment,n,0.448,21,10,0.7,270,0.0995,0.324,False
艮卦-static,mountain / cover,ɛ,0.256,15,8,0.62,605,0.0995,0.324,False
兌卦-static,marsh / cavity,ɔ,1.106,5,2,1.0,23,0.1045,0.3268,False
中卦-static,center / uniformity,x,0.892,5,2,0.5,37,0.1045,0.3268,False
中卦-dynamic,center / mixture,y,0.768,7,4,0.75,32,0.1045,0.3268,False
離卦-static,fire / enclosure,b,0.768,8,6,0.83,74,0.1045,0.3268,False
艮卦-dynamic,mountain / descent,ɪ,-0.293,10,5,0.6,373,0.1045,0.3268,False
震卦-dynamic,thunder / rising,l,-0.236,20,10,0.5,553,0.1045,0.3268,False
坎卦-static,water / core,d,0.233,19,9,0.56,640,0.1045,0.3268,False
震卦-static,thunder / base,a,0.181,21,10,0.7,3089,0.1045,0.3268,False
離卦-dynamic,fire / contraction,ð,0.472,6,3,0.67,119,0.1095,0.3358,False
中卦-static,center / uniformity,a,-0.38,21,10,0.6,656,0.1095,0.3358,False
艮卦-static,mountain / cover,z,-0.227,13,7,0.71,463,0.1095,0.3358,False
艮卦-static,mountain / cover,j,-0.214,18,9,0.56,360,0.1095,0.3358,False
中卦-static,center / uniformity,ʃ,0.534,8,4,0.75,117,0.1144,0.3477,False
坎卦-dynamic,water / dispersal,k,0.276,21,10,0.7,388,0.1144,0.3477,False
巽卦-static,wind / detachment,h,0.657,8,7,0.71,80,0.1194,0.3527,False
坎卦-dynamic,water / dispersal,ɔ,0.495,8,4,0.75,82,0.1194,0.3527,False
離卦-dynamic,fire / contraction,d͡ʒ,-0.377,6,4,0.75,59,0.1194,0.3527,False
坤卦-dynamic,earth / stillness,c,0.376,6,3,0.33,165,0.1194,0.3527,False
艮卦-static,mountain / cover,r,-0.247,16,7,0.86,718,0.1194,0.3527,False
艮卦-static,mountain / cover,h,-0.218,16,10,0.7,859,0.1194,0.3527,False
兌卦-static,marsh / cavity,ʃ,1.142,5,3,1.0,39,0.1244,0.3623,False
兌卦-static,marsh / cavity,d,0.75,8,4,0.75,57,0.1244,0.3623,False
離卦-dynamic,fire / contraction,a͡ɪ,0.411,7,4,0.75,273,0.1244,0.3623,False
中卦-static,center / uniformity,ɑ,-0.714,6,4,0.75,71,0.1294,0.3683,False
艮卦-static,mountain / cover,t͡ʃ,0.27,10,8,0.62,474,0.1294,0.3683,False
離卦-dynamic,fire / contraction,ə,0.26,11,6,0.5,788,0.1294,0.3683,False
坤卦-static,earth / void,i,0.229,22,11,0.55,1022,0.1294,0.3683,False
離卦-dynamic,fire / contraction,b,-0.182,20,10,0.8,728,0.1294,0.3683,False
巽卦-dynamic,wind / seepage,m,0.691,12,8,0.75,82,0.1343,0.3741,False
艮卦-static,mountain / cover,ʊ,0.32,7,3,1.0,178,0.1343,0.3741,False
震卦-static,thunder / base,ə,-0.269,10,6,1.0,427,0.1343,0.3741,False
震卦-static,thunder / base,y,-0.267,8,5,0.8,113,0.1343,0.3741,False
坤卦-dynamic,earth / stillness,t͡ʃ,-0.264,10,8,0.75,345,0.1343,0.3741,False
中卦-dynamic,center / mixture,v,0.659,7,5,0.6,54,0.1393,0.3829,False
巽卦-static,wind / detachment,ɔ,0.647,7,3,1.0,37,0.1393,0.3829,False
乾卦-static,sky / fullness,ɪ,0.413,11,5,0.8,180,0.1393,0.3829,False
乾卦-dynamic,sky / tumult,ɾ,0.866,5,3,0.33,62,0.1443,0.3932,False
坎卦-static,water / core,n,0.19,22,11,0.64,2237,0.1443,0.3932,False
離卦-dynamic,fire / contraction,ʊ,-0.318,7,3,0.67,140,0.1493,0.3982,False
艮卦-dynamic,mountain / descent,w,0.239,11,7,0.57,258,0.1493,0.3982,False
坤卦-static,earth / void,u,-0.21,20,10,0.7,501,0.1493,0.3982,False
坤卦-dynamic,earth / stillness,f,-0.2,16,7,0.86,362,0.1493,0.3982,False
離卦-dynamic,fire / contraction,d,0.194,19,9,0.44,757,0.1493,0.3982,False
中卦-dynamic,center / mixture,ɡ,0.515,9,7,0.71,57,0.1542,0.4047,False
巽卦-static,wind / detachment,u,0.389,16,9,0.78,144,0.1542,0.4047,False
離卦-dynamic,fire / contraction,z,0.23,14,8,0.62,454,0.1542,0.4047,False
坤卦-dynamic,earth / stillness,d,0.167,19,9,0.22,860,0.1542,0.4047,False
巽卦-dynamic,wind / seepage,p,0.769,7,2,1.0,43,0.1592,0.411,False
坎卦-dynamic,water / dispersal,b,0.354,14,8,0.62,224,0.1592,0.411,False
坤卦-dynamic,earth / stillness,y,0.232,8,5,0.8,189,0.1592,0.411,False
坤卦-dynamic,earth / stillness,ŋ,0.223,11,7,0.57,340,0.1592,0.411,False
兌卦-static,marsh / cavity,ɪ,0.948,6,2,1.0,47,0.1642,0.417,False
乾卦-static,sky / fullness,p,-0.294,19,9,0.67,174,0.1642,0.417,False
坎卦-dynamic,water / dispersal,n,-0.277,22,11,0.82,404,0.1642,0.417,False
離卦-dynamic,fire / contraction,a,0.154,21,10,0.5,3150,0.1642,0.417,False
離卦-static,fire / enclosure,z,0.993,5,3,0.67,26,0.1692,0.4246,False
兌卦-static,marsh / cavity,s,0.601,14,7,1.0,120,0.1692,0.4246,False
坤卦-static,earth / void,e,-0.233,18,10,0.7,486,0.1692,0.4246,False
兌卦-static,marsh / cavity,p,0.651,11,5,0.8,50,0.1741,0.4336,False
坎卦-static,water / core,r,0.194,16,7,0.71,863,0.1741,0.4336,False
巽卦-static,wind / detachment,w,0.683,5,5,0.6,41,0.1791,0.4391,False
兌卦-static,marsh / cavity,t,0.489,17,8,0.62,131,0.1791,0.4391,False
坎卦-static,water / core,v,-0.217,14,6,0.5,360,0.1791,0.4391,False
兌卦-dynamic,marsh / emission,k,-0.17,21,10,0.6,1098,0.1791,0.4391,False
兌卦-dynamic,marsh / emission,c,0.319,7,3,0.67,90,0.1841,0.4428,False
坎卦-dynamic,water / dispersal,o,-0.289,19,10,0.6,254,0.1841,0.4428,False
震卦-dynamic,thunder / rising,h,0.254,15,9,0.56,489,0.1841,0.4428,False
艮卦-dynamic,mountain / descent,v,-0.187,14,6,1.0,355,0.1841,0.4428,False
兌卦-dynamic,marsh / emission,u,-0.186,21,10,0.8,877,0.1841,0.4428,False
離卦-dynamic,fire / contraction,ɾ,0.368,5,3,0.33,389,0.1891,0.4513,False
坤卦-dynamic,earth / stillness,ð,0.273,6,3,0.67,144,0.1891,0.4513,False
兌卦-dynamic,marsh / emission,ɪ,-0.26,10,5,0.6,289,0.194,0.4615,False
兌卦-static,marsh / cavity,a,-0.581,15,8,1.0,210,0.199,0.4698,False
震卦-dynamic,thunder / rising,ɪ,0.282,10,5,0.6,259,0.199,0.4698,False
坎卦-static,water / core,ɛ,0.192,16,8,0.88,567,0.204,0.4797,False
兌卦-static,marsh / cavity,ɡ,0.843,5,3,0.67,28,0.209,0.4843,False
離卦-static,fire / enclosure,ŋ,0.73,5,5,0.4,40,0.209,0.4843,False
兌卦-dynamic,marsh / emission,ɔ,-0.246,9,5,0.6,171,0.209,0.4843,False
兌卦-dynamic,marsh / emission,h,0.205,16,10,0.6,713,0.209,0.4843,False
巽卦-dynamic,wind / seepage,ɑ,0.816,5,4,0.75,44,0.2189,0.4902,False
巽卦-dynamic,wind / seepage,ɡ,0.781,6,4,0.75,41,0.2239,0.4902,False
巽卦-dynamic,wind / seepage,r,0.537,12,5,0.6,79,0.2239,0.4902,False
乾卦-dynamic,sky / tumult,o,0.509,14,7,0.71,145,0.2189,0.4902,False
兌卦-static,marsh / cavity,i,0.455,19,11,0.64,164,0.2189,0.4902,False
中卦-dynamic,center / mixture,u,0.399,12,7,0.43,133,0.2139,0.4902,False
坎卦-dynamic,water / dispersal,ʃ,0.388,10,5,0.8,132,0.2239,0.4902,False
坎卦-dynamic,water / dispersal,ɡ,0.333,13,6,0.5,150,0.2239,0.4902,False
艮卦-dynamic,mountain / descent,d͡ʒ,0.31,7,5,1.0,90,0.2239,0.4902,False
艮卦-dynamic,mountain / descent,θ,0.305,5,2,1.0,82,0.2239,0.4902,False
坎卦-static,water / core,x,0.287,6,3,0.67,98,0.2189,0.4902,False
兌卦-dynamic,marsh / emission,ɑ,0.274,7,4,0.75,349,0.2189,0.4902,False
坎卦-dynamic,water / dispersal,e,-0.266,17,10,0.8,321,0.2239,0.4902,False
坎卦-static,water / core,t͡ʃ,0.211,10,8,0.5,1070,0.2239,0.4902,False
兌卦-dynamic,marsh / emission,r,-0.194,16,7,0.71,928,0.2189,0.4902,False
坎卦-static,water / core,m,-0.168,21,10,0.7,864,0.2139,0.4902,False
巽卦-dynamic,wind / seepage,t,0.584,11,5,0.8,102,0.2289,0.4926,False
坎卦-dynamic,water / dispersal,ɑ,0.46,7,4,0.75,151,0.2289,0.4926,False
艮卦-dynamic,mountain / descent,c,0.258,7,4,0.75,123,0.2289,0.4926,False
坎卦-static,water / core,y,-0.253,7,5,0.6,96,0.2289,0.4926,False
坤卦-static,earth / void,k,-0.184,22,11,0.64,509,0.2289,0.4926,False
坎卦-dynamic,water / dispersal,ə,0.34,10,6,0.67,184,0.2338,0.4983,False
坎卦-dynamic,water / dispersal,s,-0.247,21,10,0.7,308,0.2338,0.4983,False
艮卦-static,mountain / cover,m,-0.141,22,11,0.55,900,0.2338,0.4983,False
巽卦-static,wind / detachment,ɪ,0.588,6,3,0.67,61,0.2388,0.5005,False
震卦-dynamic,thunder / rising,ɾ,0.347,6,3,0.67,184,0.2388,0.5005,False
坤卦-dynamic,earth / stillness,a͡ɪ,0.284,8,5,0.6,266,0.2388,0.5005,False
離卦-dynamic,fire / contraction,e,0.171,19,10,0.5,1601,0.2388,0.5005,False
艮卦-static,mountain / cover,o,0.139,19,10,0.5,1082,0.2388,0.5005,False
中卦-dynamic,center / mixture,ɛ,0.523,9,5,0.4,83,0.2438,0.5042,False
離卦-static,fire / enclosure,e,0.453,15,8,0.75,127,0.2438,0.5042,False
震卦-dynamic,thunder / rising,t,0.18,22,11,0.55,701,0.2438,0.5042,False
艮卦-dynamic,mountain / descent,f,-0.167,17,7,0.71,286,0.2438,0.5042,False
離卦-static,fire / enclosure,u,0.474,12,8,0.38,110,0.2488,0.5063,False
震卦-dynamic,thunder / rising,ʊ,-0.383,6,3,0.67,80,0.2488,0.5063,False
巽卦-static,wind / detachment,m,0.332,20,11,0.64,172,0.2488,0.5063,False
乾卦-static,sky / fullness,t,-0.232,20,10,0.8,406,0.2488,0.5063,False
兌卦-dynamic,marsh / emission,z,0.171,13,7,0.57,296,0.2488,0.5063,False
巽卦-dynamic,wind / seepage,h,0.851,5,5,0.6,87,0.2537,0.5115,False
乾卦-static,sky / fullness,ɔ,0.31,10,5,0.8,84,0.2537,0.5115,False
艮卦-static,mountain / cover,d͡ʒ,0.286,6,4,0.75,80,0.2537,0.5115,False
巽卦-dynamic,wind / seepage,j,0.718,7,5,0.8,41,0.2587,0.5166,False
乾卦-dynamic,sky / tumult,m,0.36,20,9,0.56,146,0.2587,0.5166,False
震卦-static,thunder / base,h,-0.162,15,9,0.67,745,0.2587,0.5166,False
兌卦-dynamic,marsh / emission,t͡ʃ,-0.185,10,8,0.62,205,0.2637,0.5249,False
乾卦-static,sky / fullness,b,0.225,19,10,0.6,283,0.2687,0.5331,False
巽卦-dynamic,wind / seepage,ɪ,0.724,6,3,0.67,44,0.2736,0.5363,False
乾卦-static,sky / fullness,ʃ,-0.296,9,4,0.75,123,0.2736,0.5363,False
坎卦-static,water / core,d͡ʒ,-0.257,6,4,0.75,61,0.2736,0.5363,False
兌卦-dynamic,marsh / emission,l,-0.128,21,11,0.55,957,0.2736,0.5363,False
離卦-static,fire / enclosure,w,0.703,5,5,0.8,29,0.2786,0.5394,False
震卦-dynamic,thunder / rising,a,0.16,21,10,0.5,1724,0.2786,0.5394,False
艮卦-dynamic,mountain / descent,p,-0.139,20,10,0.6,548,0.2786,0.5394,False
坤卦-dynamic,earth / stillness,ɡ,0.125,17,9,0.44,584,0.2786,0.5394,False
離卦-static,fire / enclosure,ɡ,0.639,7,5,0.6,41,0.2836,0.5408,False
坎卦-dynamic,water / dispersal,v,0.291,12,5,0.6,148,0.2836,0.5408,False
兌卦-dynamic,marsh / emission,ɾ,0.257,6,3,0.33,449,0.2836,0.5408,False
兌卦-dynamic,marsh / emission,e,0.139,19,10,0.5,1336,0.2836,0.5408,False
坤卦-dynamic,earth / stillness,l,0.119,21,11,0.45,1451,0.2836,0.5408,False
離卦-static,fire / enclosure,o,0.448,15,9,0.56,97,0.2886,0.5453,False
坤卦-static,earth / void,ɡ,-0.204,12,7,0.71,161,0.2886,0.5453,False
坤卦-dynamic,earth / stillness,w,0.177,9,6,0.67,245,0.2886,0.5453,False
坤卦-static,earth / void,x,0.281,7,3,0.67,55,0.2935,0.5531,False
乾卦-static,sky / fullness,t͡ʃ,-0.42,6,6,0.67,33,0.2985,0.5542,False
乾卦-static,sky / fullness,f,-0.247,13,6,0.33,94,0.2985,0.5542,False
坤卦-static,earth / void,o,0.184,19,10,0.5,559,0.2985,0.5542,False
坎卦-static,water / core,ɪ,-0.183,10,5,0.8,339,0.2985,0.5542,False
坤卦-dynamic,earth / stillness,ɔ,0.159,11,5,0.8,267,0.2985,0.5542,False
乾卦-static,sky / fullness,l,-0.21,20,10,0.8,336,0.3035,0.5618,False
中卦-dynamic,center / mixture,a,0.26,20,10,0.6,403,0.3134,0.5786,False
坤卦-static,earth / void,ʊ,0.259,7,3,0.67,75,0.3184,0.5793,False
坎卦-dynamic,water / dispersal,i,0.223,21,10,0.6,600,0.3184,0.5793,False
離卦-dynamic,fire / contraction,x,-0.204,9,4,0.75,93,0.3184,0.5793,False
兌卦-dynamic,marsh / emission,v,0.167,13,5,0.4,329,0.3184,0.5793,False
震卦-static,thunder / base,v,-0.162,14,6,0.67,363,0.3184,0.5793,False
中卦-dynamic,center / mixture,ə,0.44,8,5,0.6,81,0.3234,0.5817,False
中卦-dynamic,center / mixture,l,0.267,19,10,0.7,160,0.3234,0.5817,False
坤卦-static,earth / void,ɛ,0.186,14,8,0.5,300,0.3234,0.5817,False
震卦-dynamic,thunder / rising,ɡ,0.172,16,8,0.5,238,0.3234,0.5817,False
艮卦-static,mountain / cover,ð,-0.29,5,3,0.67,69,0.3284,0.5841,False
震卦-dynamic,thunder / rising,ŋ,-0.221,8,6,0.67,117,0.3284,0.5841,False
震卦-static,thunder / base,ɑ,0.18,8,4,0.75,369,0.3284,0.5841,False
坎卦-static,water / core,s,-0.122,22,11,0.64,1080,0.3284,0.5841,False
艮卦-dynamic,mountain / descent,ɲ,0.237,6,4,0.25,56,0.3333,0.5863,False
坎卦-static,water / core,ʌ,0.231,6,3,0.67,260,0.3333,0.5863,False
艮卦-dynamic,mountain / descent,ɛ,-0.132,15,8,0.75,559,0.3333,0.5863,False
兌卦-dynamic,marsh / emission,d,0.129,19,9,0.33,693,0.3333,0.5863,False
中卦-dynamic,center / mixture,h,0.473,7,5,0.6,85,0.3383,0.5902,False
中卦-dynamic,center / mixture,r,-0.376,11,5,0.6,91,0.3383,0.5902,False
坎卦-dynamic,water / dispersal,u,0.219,19,10,0.8,375,0.3383,0.5902,False
中卦-dynamic,center / mixture,t͡ʃ,0.465,5,5,0.6,29,0.3433,0.5924,False
巽卦-dynamic,wind / seepage,l,0.346,12,5,0.8,81,0.3433,0.5924,False
震卦-dynamic,thunder / rising,b,-0.153,19,9,0.78,410,0.3433,0.5924,False
震卦-static,thunder / base,j,-0.115,17,9,0.67,427,0.3433,0.5924,False
坎卦-dynamic,water / dispersal,p,0.205,19,9,0.78,197,0.3483,0.5977,False
震卦-static,thunder / base,e,-0.112,19,10,0.6,1078,0.3483,0.5977,False
中卦-static,center / uniformity,ɡ,0.281,10,6,0.5,94,0.3582,0.6131,False
中卦-static,center / uniformity,k,-0.224,22,11,0.64,257,0.3632,0.6183,False
離卦-dynamic,fire / contraction,i,0.127,22,11,0.73,2244,0.3632,0.6183,False
乾卦-dynamic,sky / tumult,ə,0.476,6,4,1.0,72,0.3682,0.6234,False
乾卦-dynamic,sky / tumult,ɪ,0.416,8,4,0.25,66,0.3682,0.6234,False
乾卦-static,sky / fullness,r,0.191,15,7,0.71,323,0.3731,0.6302,False
巽卦-static,wind / detachment,r,0.299,13,6,0.67,133,0.3831,0.6452,False
乾卦-static,sky / fullness,i,0.149,22,11,0.55,680,0.3881,0.6502,False
坤卦-dynamic,earth / stillness,z,0.124,15,8,0.62,456,0.3881,0.6502,False
震卦-dynamic,thunder / rising,n,0.13,22,11,0.64,930,0.393,0.6551,False
艮卦-dynamic,mountain / descent,k,-0.102,22,11,0.55,1176,0.393,0.6551,False
中卦-static,center / uniformity,t͡ʃ,0.334,8,7,0.86,54,0.398,0.6582,False
中卦-static,center / uniformity,f,0.263,10,4,0.75,79,0.398,0.6582,False
坎卦-static,water / core,k,0.1,21,10,0.4,1069,0.398,0.6582,False
乾卦-dynamic,sky / tumult,n,0.272,19,10,0.5,203,0.403,0.6612,False
坎卦-static,water / core,ɾ,0.224,5,3,0.67,264,0.403,0.6612,False
坤卦-dynamic,earth / stillness,ə,-0.144,10,6,0.67,643,0.403,0.6612,False
離卦-static,fire / enclosure,ɪ,0.468,7,4,0.75,70,0.408,0.666,False
坤卦-static,earth / void,m,0.13,22,11,0.45,556,0.408,0.666,False
兌卦-static,marsh / cavity,m,0.44,12,7,0.71,73,0.4129,0.6723,False
兌卦-dynamic,marsh / emission,w,-0.145,9,8,0.75,139,0.4179,0.6787,False
坤卦-static,earth / void,ɔ,-0.205,9,4,0.75,74,0.4229,0.685,False
震卦-dynamic,thunder / rising,v,0.136,13,5,0.4,214,0.4279,0.6913,False
坎卦-static,water / core,θ,0.22,5,2,0.5,69,0.4328,0.6941,False
艮卦-static,mountain / cover,w,0.123,10,6,0.67,186,0.4328,0.6941,False
離卦-dynamic,fire / contraction,j,0.103,19,9,0.44,497,0.4328,0.6941,False
巽卦-dynamic,wind / seepage,ʌ,0.65,5,2,0.5,29,0.4378,0.7003,False
離卦-static,fire / enclosure,i,-0.208,20,10,0.5,181,0.4478,0.7108,False
乾卦-static,sky / fullness,ə,0.173,10,6,0.67,222,0.4478,0.7108,False
坎卦-static,water / core,l,0.082,20,10,0.5,1793,0.4478,0.7108,False
震卦-static,thunder / base,a͡ɪ,0.165,5,3,0.33,72,0.4527,0.7151,False
坎卦-static,water / core,i,-0.097,22,11,0.64,2654,0.4527,0.7151,False
離卦-static,fire / enclosure,h,0.428,5,5,0.6,61,0.4627,0.7184,False
兌卦-static,marsh / cavity,o,0.357,11,7,0.86,111,0.4627,0.7184,False
中卦-dynamic,center / mixture,p,-0.287,9,5,0.6,53,0.4627,0.7184,False
乾卦-static,sky / fullness,ŋ,0.264,6,5,0.6,69,0.4577,0.7184,False
坎卦-dynamic,water / dispersal,ɪ,-0.231,8,5,0.8,124,0.4627,0.7184,False
兌卦-dynamic,marsh / emission,ʊ,-0.189,6,3,0.67,130,0.4627,0.7184,False
震卦-static,thunder / base,t͡ʃ,0.126,11,8,0.38,184,0.4577,0.7184,False
巽卦-static,wind / detachment,e,-0.22,14,8,0.75,141,0.4677,0.7208,False
坎卦-static,water / core,b,0.111,21,10,0.5,742,0.4677,0.7208,False
兌卦-dynamic,marsh / emission,n,0.089,22,11,0.36,1475,0.4677,0.7208,False
中卦-dynamic,center / mixture,t,0.177,18,9,0.44,184,0.4726,0.7215,False
艮卦-static,mountain / cover,x,-0.127,9,4,0.5,88,0.4726,0.7215,False
坤卦-dynamic,earth / stillness,u,0.086,21,10,0.6,1409,0.4726,0.7215,False
艮卦-dynamic,mountain / descent,j,0.081,20,9,0.67,481,0.4726,0.7215,False
坎卦-dynamic,water / dispersal,t͡ʃ,0.2,10,8,0.38,58,0.4876,0.7337,False
坎卦-dynamic,water / dispersal,d,0.15,17,8,0.62,225,0.4876,0.7337,False
震卦-static,thunder / base,ɾ,-0.146,6,3,0.67,249,0.4876,0.7337,False
艮卦-dynamic,mountain / descent,t͡s,0.137,7,4,0.5,75,0.4876,0.7337,False
艮卦-static,mountain / cover,ɑ,0.126,8,4,0.5,376,0.4876,0.7337,False
震卦-static,thunder / base,r,-0.107,16,7,0.43,813,0.4876,0.7337,False
巽卦-static,wind / detachment,t,-0.199,18,9,0.44,171,0.4925,0.7394,False
艮卦-dynamic,mountain / descent,ɾ,-0.16,6,3,0.67,248,0.4975,0.7433,False
坤卦-dynamic,earth / stillness,ɑ,-0.138,8,4,0.75,409,0.4975,0.7433,False
離卦-static,fire / enclosure,j,0.331,7,6,0.5,47,0.5025,0.7438,False
兌卦-dynamic,marsh / emission,d͡ʒ,0.173,6,5,0.4,79,0.5025,0.7438,False
艮卦-static,mountain / cover,a͡ʊ,0.172,5,2,0.5,36,0.5025,0.7438,False
艮卦-static,mountain / cover,a,0.081,21,10,0.4,2813,0.5025,0.7438,False
離卦-static,fire / enclosure,k,0.211,19,8,0.38,146,0.5075,0.7477,False
兌卦-dynamic,marsh / emission,f,0.087,18,8,0.38,296,0.5075,0.7477,False
兌卦-static,marsh / cavity,r,0.321,11,5,0.6,99,0.5124,0.7498,False
艮卦-dynamic,mountain / descent,ʌ,-0.167,5,2,0.5,266,0.5124,0.7498,False
坤卦-dynamic,earth / stillness,ɾ,-0.145,6,3,0.67,325,0.5124,0.7498,False
中卦-static,center / uniformity,b,-0.186,16,8,0.75,175,0.5174,0.7536,False
中卦-static,center / uniformity,u,0.159,15,9,0.33,255,0.5174,0.7536,False
巽卦-dynamic,wind / seepage,e,0.267,11,5,0.8,111,0.5224,0.7573,False
坤卦-static,earth / void,f,0.131,14,6,0.5,156,0.5224,0.7573,False
中卦-dynamic,center / mixture,ɾ,-0.314,5,3,0.67,49,0.5274,0.7628,False
乾卦-dynamic,sky / tumult,a,-0.179,20,10,0.6,333,0.5323,0.7648,False
坤卦-static,earth / void,t͡ʃ,-0.141,9,7,0.86,72,0.5323,0.7648,False
兌卦-dynamic,marsh / emission,ŋ,0.11,9,6,0.5,206,0.5323,0.7648,False
艮卦-static,mountain / cover,ə,-0.084,11,6,0.67,757,0.5373,0.7702,False
乾卦-dynamic,sky / tumult,u,0.253,11,7,0.57,129,0.5423,0.7704,False
離卦-dynamic,fire / contraction,ʌ,0.147,6,3,0.67,359,0.5423,0.7704,False
兌卦-dynamic,marsh / emission,ə,0.126,11,6,0.5,613,0.5423,0.7704,False
坤卦-dynamic,earth / stillness,r,-0.073,16,7,0.57,1094,0.5423,0.7704,False
離卦-dynamic,fire / contraction,h,0.097,14,9,0.56,873,0.5522,0.781,False
坤卦-dynamic,earth / stillness,b,0.081,20,10,0.5,1030,0.5522,0.781,False
兌卦-static,marsh / cavity,n,-0.243,16,8,0.62,101,0.5572,0.7811,False
