pole,gloss,phoneme,mean_z,n_langs,n_families,family_sign_concord,total_count,p_perm,q_fdr,significant
巽卦-dynamic,wind / seepage,ə,0.184,5,3,0.67,33,0.7463,0.8908,False
中卦-static,center / uniformity,ɾ,0.143,6,3,0.33,76,0.7463,0.8908,False
震卦-static,thunder / base,u,0.04,21,10,0.5,1120,0.7512,0.895,False
兌卦-dynamic,marsh / emission,ɛ,0.039,13,8,0.38,569,0.7562,0.8976,False
艮卦-dynamic,mountain / descent,t,-0.038,21,11,0.45,1252,0.7562,0.8976,False
離卦-dynamic,fire / contraction,t͡s,0.079,6,4,0.5,83,0.7612,0.9018,False
兌卦-static,marsh / cavity,h,0.187,5,5,0.6,51,0.7761,0.9026,False
中卦-static,center / uniformity,ŋ,0.124,6,6,0.67,60,0.7711,0.9026,False
坎卦-dynamic,water / dispersal,ʌ,-0.115,6,3,0.67,80,0.7662,0.9026,False
中卦-static,center / uniformity,v,0.086,10,5,0.8,89,0.7761,0.9026,False
中卦-static,center / uniformity,o,-0.073,16,10,0.5,255,0.7711,0.9026,False
乾卦-static,sky / fullness,d,0.068,16,8,0.5,223,0.7761,0.9026,False
震卦-static,thunder / base,d͡ʒ,0.065,6,4,0.75,83,0.7761,0.9026,False
坤卦-static,earth / void,n,-0.041,22,11,0.45,714,0.7711,0.9026,False
坤卦-dynamic,earth / stillness,t,-0.036,21,11,0.55,1674,0.7662,0.9026,False
坎卦-static,water / core,u,0.031,20,10,0.4,967,0.7761,0.9026,False
中卦-dynamic,center / mixture,n,-0.096,20,11,0.64,213,0.7811,0.9035,False
坎卦-static,water / core,ʊ,0.076,7,3,0.67,128,0.7811,0.9035,False
坤卦-dynamic,earth / stillness,d͡ʒ,0.059,6,4,0.25,98,0.7811,0.9035,False
坤卦-static,earth / void,p,0.05,20,10,0.4,271,0.7861,0.9076,False
離卦-static,fire / enclosure,ə,0.141,6,3,0.67,70,0.791,0.9116,False
中卦-dynamic,center / mixture,s,0.104,20,10,0.4,178,0.796,0.9157,False
離卦-dynamic,fire / contraction,y,-0.053,8,5,0.6,137,0.806,0.9188,False
坎卦-static,water / core,ʃ,0.047,10,5,0.4,362,0.806,0.9188,False
坎卦-static,water / core,h,-0.046,14,8,0.62,676,0.801,0.9188,False
坤卦-static,earth / void,d,0.045,18,9,0.44,298,0.806,0.9188,False
震卦-static,thunder / base,m,-0.03,22,11,0.55,1044,0.806,0.9188,False
乾卦-dynamic,sky / tumult,t,-0.089,16,6,0.67,161,0.8109,0.9212,False
艮卦-dynamic,mountain / descent,e,0.032,19,10,0.5,1190,0.8109,0.9212,False
艮卦-dynamic,mountain / descent,y,0.045,7,5,0.4,149,0.8159,0.9235,False
離卦-dynamic,fire / contraction,t͡ʃ,-0.038,10,8,0.62,340,0.8159,0.9235,False
坎卦-static,water / core,a,-0.032,21,10,0.5,2750,0.8209,0.9275,False
震卦-static,thunder / base,ø,-0.049,5,3,0.33,74,0.8259,0.9315,False
巽卦-static,wind / detachment,d,-0.093,11,7,0.57,70,0.8458,0.9506,False
震卦-static,thunder / base,c,-0.039,7,3,0.33,83,0.8458,0.9506,False
震卦-static,thunder / base,ɔ,-0.039,10,4,0.75,180,0.8507,0.9545,False
巽卦-static,wind / detachment,k,0.047,20,10,0.5,173,0.8557,0.9567,False
艮卦-dynamic,mountain / descent,z,-0.028,13,7,0.57,257,0.8557,0.9567,False
乾卦-static,sky / fullness,ɑ,0.048,7,4,0.5,125,0.8657,0.9577,False
坤卦-static,earth / void,z,0.039,10,7,0.43,107,0.8607,0.9577,False
兌卦-dynamic,marsh / emission,ʃ,-0.029,11,5,0.6,317,0.8657,0.9577,False
離卦-dynamic,fire / contraction,r,0.028,16,7,0.43,1026,0.8657,0.9577,False
坤卦-dynamic,earth / stillness,ɛ,0.025,16,8,0.62,704,0.8657,0.9577,False
兌卦-dynamic,marsh / emission,p,-0.023,21,11,0.64,565,0.8607,0.9577,False
震卦-dynamic,thunder / rising,t͡ʃ,-0.034,10,7,0.71,105,0.8706,0.9598,False
艮卦-dynamic,mountain / descent,n,0.018,22,11,0.45,1599,0.8706,0.9598,False
中卦-static,center / uniformity,l,-0.05,21,11,0.64,240,0.8756,0.962,False
震卦-dynamic,thunder / rising,s,-0.019,22,11,0.55,652,0.8756,0.962,False
兌卦-dynamic,marsh / emission,t͡s,0.024,6,4,0.5,65,0.8806,0.9641,False
坤卦-dynamic,earth / stillness,o,-0.012,19,10,0.7,1489,0.8806,0.9641,False
坎卦-static,water / core,ɔ,0.023,9,4,0.5,187,0.8856,0.9679,False
中卦-static,center / uniformity,d,0.038,15,7,0.57,150,0.8955,0.9771,False
震卦-dynamic,thunder / rising,z,0.024,11,6,0.67,128,0.9005,0.9775,False
震卦-static,thunder / base,n,-0.022,22,11,0.64,1491,0.9005,0.9775,False
艮卦-dynamic,mountain / descent,r,-0.021,16,7,0.43,885,0.9005,0.9775,False
坎卦-dynamic,water / dispersal,ɾ,0.052,5,3,0.33,84,0.9204,0.979,False
坎卦-dynamic,water / dispersal,ɛ,-0.036,13,8,0.5,178,0.9104,0.979,False
乾卦-static,sky / fullness,ʊ,-0.035,7,3,0.33,47,0.9154,0.979,False
艮卦-static,mountain / cover,θ,-0.034,5,2,0.5,68,0.9104,0.979,False
乾卦-static,sky / fullness,ɛ,-0.027,14,7,0.43,194,0.9154,0.979,False
震卦-dynamic,thunder / rising,ʌ,0.023,6,3,0.33,159,0.9204,0.979,False
中卦-static,center / uniformity,t,0.021,21,11,0.36,316,0.9055,0.979,False
中卦-static,center / uniformity,n,-0.018,22,11,0.55,360,0.9204,0.979,False
艮卦-static,mountain / cover,c,0.017,6,3,0.33,106,0.9204,0.979,False
離卦-dynamic,fire / contraction,v,0.017,14,6,0.5,471,0.9104,0.979,False
坎卦-static,water / core,o,0.015,19,10,0.5,1020,0.9204,0.979,False
震卦-static,thunder / base,l,0.015,20,10,0.3,998,0.9055,0.979,False
中卦-static,center / uniformity,ʊ,-0.079,6,3,0.67,39,0.9254,0.9826,False
離卦-dynamic,fire / contraction,θ,0.038,5,3,0.33,53,0.9403,0.9837,False
兌卦-static,marsh / cavity,ɛ,-0.037,9,6,0.5,46,0.9403,0.9837,False
離卦-static,fire / enclosure,s,0.034,17,9,0.33,152,0.9303,0.9837,False
巽卦-static,wind / detachment,ɛ,0.024,10,5,0.2,76,0.9353,0.9837,False
坎卦-static,water / core,c,0.02,6,3,0.67,97,0.9403,0.9837,False
坤卦-static,earth / void,ə,-0.014,10,6,0.67,205,0.9403,0.9837,False
坤卦-dynamic,earth / stillness,ʃ,0.013,11,5,0.2,523,0.9303,0.9837,False
坎卦-static,water / core,z,0.011,12,7,0.29,1069,0.9353,0.9837,False
離卦-dynamic,fire / contraction,ŋ,0.009,11,7,0.43,238,0.9403,0.9837,False
坎卦-dynamic,water / dispersal,x,0.041,5,2,0.5,28,0.9502,0.986,False
中卦-static,center / uniformity,ɪ,0.026,9,5,0.4,111,0.9502,0.986,False
震卦-dynamic,thunder / rising,a͡ɪ,0.018,6,3,0.33,50,0.9502,0.986,False
坤卦-static,earth / void,ŋ,-0.012,9,7,0.43,92,0.9502,0.986,False
震卦-static,thunder / base,ʌ,-0.009,6,3,0.33,320,0.9502,0.986,False
兌卦-dynamic,marsh / emission,ʌ,0.018,6,3,0.33,295,0.9552,0.9863,False
坎卦-dynamic,water / dispersal,r,0.011,16,7,0.57,269,0.9552,0.9863,False
離卦-dynamic,fire / contraction,ɪ,-0.01,10,5,0.4,471,0.9552,0.9863,False
兌卦-static,marsh / cavity,ɾ,0.044,5,3,0.67,27,0.9701,0.9891,False
乾卦-static,sky / fullness,ɾ,0.027,5,3,0.67,112,0.9751,0.9891,False
巽卦-static,wind / detachment,i,-0.019,20,10,0.6,269,0.9652,0.9891,False
坎卦-static,water / core,a͡ʊ,-0.018,6,2,0.5,25,0.9751,0.9891,False
艮卦-static,mountain / cover,y,-0.014,7,5,0.4,105,0.9602,0.9891,False
坤卦-static,earth / void,ɑ,-0.012,7,4,0.5,171,0.9701,0.9891,False
震卦-dynamic,thunder / rising,ɑ,0.01,8,4,0.5,210,0.9652,0.9891,False
離卦-static,fire / enclosure,t,0.01,17,8,0.5,142,0.9701,0.9891,False
中卦-dynamic,center / mixture,o,-0.008,14,8,0.5,136,0.9751,0.9891,False
艮卦-dynamic,mountain / descent,t͡ʃ,0.006,10,8,0.5,204,0.9751,0.9891,False
坤卦-static,earth / void,ʃ,-0.003,10,5,0.6,213,0.9701,0.9891,False
中卦-dynamic,center / mixture,ʃ,0.014,5,3,0.67,49,0.9801,0.991,False
艮卦-dynamic,mountain / descent,ə,0.005,10,6,0.5,565,0.9801,0.991,False
坤卦-dynamic,earth / stillness,ɣ,-0.009,5,4,0.5,50,0.9851,0.9913,False
中卦-static,center / uniformity,m,-0.004,21,10,0.6,268,0.9851,0.9913,False
震卦-static,thunder / base,f,-0.001,19,9,0.56,325,0.9851,0.9913,False
兌卦-static,marsh / cavity,ə,0.004,5,2,0.5,37,0.99,0.9916,False
艮卦-dynamic,mountain / descent,ɔ,-0.001,10,4,0.5,232,0.99,0.9916,False
兌卦-dynamic,marsh / emission,y,-0.001,8,5,0.6,133,0.99,0.9916,False
離卦-static,fire / enclosure,d,0.001,9,6,0.5,62,1.0,1.0,False
