pole,gloss,phoneme,mean_z,n_langs,n_families,family_sign_concord,total_count,p_perm,q_fdr,significant
艮卦-dynamic,mountain / descent,j,0.057,19,10,0.6,386,0.7413,0.872,False
震卦-dynamic,thunder / rising,ɑ,0.078,7,3,0.67,174,0.7463,0.8746,False
震卦-static,thunder / base,ɛ,0.047,16,8,0.38,489,0.7463,0.8746,False
中卦-static,center / uniformity,ɡ,0.094,11,7,0.29,80,0.7562,0.883,False
坤卦-dynamic,earth / stillness,ɪ,0.041,10,5,0.4,430,0.7562,0.883,False
艮卦-dynamic,mountain / descent,ɾ,-0.082,6,3,0.67,240,0.7612,0.8871,False
坎卦-static,water / core,y,-0.072,8,5,0.8,96,0.7662,0.8896,False
震卦-dynamic,thunder / rising,v,0.05,13,5,0.4,157,0.7662,0.8896,False
中卦-static,center / uniformity,o,0.098,15,9,0.56,217,0.7761,0.8962,False
艮卦-dynamic,mountain / descent,z,0.043,13,7,0.57,224,0.7761,0.8962,False
坤卦-dynamic,earth / stillness,r,-0.033,16,7,0.71,1075,0.7761,0.8962,False
中卦-static,center / uniformity,ɾ,-0.118,6,3,0.67,67,0.7811,0.9003,False
乾卦-dynamic,sky / tumult,ʌ,-0.166,5,2,1.0,42,0.7861,0.9043,False
離卦-dynamic,fire / contraction,ɑ,-0.07,7,3,0.67,338,0.791,0.9084,False
離卦-dynamic,fire / contraction,w,-0.047,11,7,0.86,187,0.796,0.9108,False
震卦-static,thunder / base,v,0.043,14,6,0.5,358,0.796,0.9108,False
坎卦-static,water / core,ʃ,-0.053,11,5,0.6,237,0.801,0.9148,False
離卦-static,fire / enclosure,ɾ,0.164,5,3,0.67,38,0.806,0.9171,False
中卦-static,center / uniformity,t͡ʃ,0.115,9,7,0.71,48,0.806,0.9171,False
兌卦-dynamic,marsh / emission,a͡ɪ,0.049,5,3,0.67,75,0.8109,0.9211,False
坎卦-dynamic,water / dispersal,y,0.091,5,3,0.33,40,0.8159,0.9234,False
中卦-static,center / uniformity,n,-0.05,22,11,0.55,376,0.8159,0.9234,False
坎卦-dynamic,water / dispersal,b,-0.054,12,9,0.67,101,0.8209,0.9241,False
坎卦-static,water / core,l,0.032,20,10,0.4,1615,0.8209,0.9241,False
坎卦-static,water / core,s,-0.029,21,10,0.6,998,0.8209,0.9241,False
坎卦-dynamic,water / dispersal,ʃ,0.057,10,5,0.4,75,0.8308,0.9303,False
兌卦-dynamic,marsh / emission,w,0.05,7,6,0.17,115,0.8308,0.9303,False
離卦-dynamic,fire / contraction,j,0.032,19,9,0.44,423,0.8308,0.9303,False
坎卦-static,water / core,x,0.043,9,4,0.75,104,0.8358,0.9308,False
坤卦-static,earth / void,ɛ,0.037,15,8,0.5,223,0.8358,0.9308,False
兌卦-dynamic,marsh / emission,l,0.027,21,11,0.55,851,0.8358,0.9308,False
離卦-static,fire / enclosure,d,0.066,14,8,0.5,70,0.8408,0.9331,False
坎卦-static,water / core,m,-0.032,21,10,0.6,803,0.8408,0.9331,False
坤卦-static,earth / void,ʃ,0.059,8,4,0.75,130,0.8458,0.9353,False
兌卦-dynamic,marsh / emission,ɔ,0.041,10,5,0.6,159,0.8458,0.9353,False
離卦-static,fire / enclosure,t,0.049,18,9,0.56,167,0.8507,0.9391,False
乾卦-dynamic,sky / tumult,n,0.061,19,9,0.67,179,0.8557,0.9413,False
坎卦-dynamic,water / dispersal,j,0.04,10,7,0.57,100,0.8557,0.9413,False
兌卦-static,marsh / cavity,ə,-0.135,6,3,0.67,33,0.8607,0.9418,False
乾卦-static,sky / fullness,d͡ʒ,0.073,5,3,0.67,28,0.8607,0.9418,False
巽卦-dynamic,wind / seepage,t,-0.063,14,7,0.57,72,0.8607,0.9418,False
巽卦-static,wind / detachment,ɪ,0.086,7,3,0.33,64,0.8657,0.944,False
中卦-static,center / uniformity,b,-0.035,13,9,0.67,107,0.8657,0.944,False
中卦-static,center / uniformity,ʊ,0.074,5,3,0.67,42,0.8806,0.9471,False
艮卦-dynamic,mountain / descent,t͡s,0.042,7,4,0.5,63,0.8756,0.9471,False
中卦-static,center / uniformity,p,-0.037,14,7,0.57,137,0.8756,0.9471,False
坤卦-static,earth / void,ŋ,-0.035,7,7,0.71,87,0.8806,0.9471,False
坤卦-dynamic,earth / stillness,d͡ʒ,-0.031,6,4,0.75,81,0.8756,0.9471,False
艮卦-dynamic,mountain / descent,r,-0.022,16,7,0.71,809,0.8756,0.9471,False
艮卦-dynamic,mountain / descent,u,-0.02,20,10,0.3,693,0.8806,0.9471,False
坎卦-static,water / core,n,-0.02,22,11,0.64,1990,0.8806,0.9471,False
離卦-static,fire / enclosure,i,-0.049,21,11,0.45,234,0.8856,0.9508,False
坎卦-dynamic,water / dispersal,ʌ,-0.069,6,3,0.67,86,0.8905,0.9512,False
離卦-dynamic,fire / contraction,ð,0.038,5,2,0.5,114,0.8905,0.9512,False
兌卦-dynamic,marsh / emission,d,0.026,18,9,0.33,436,0.8905,0.9512,False
兌卦-dynamic,marsh / emission,r,0.017,16,7,0.29,804,0.9005,0.9602,False
坤卦-static,earth / void,x,0.024,6,3,0.67,56,0.9055,0.9639,False
坎卦-static,water / core,a,-0.017,21,10,0.6,2314,0.9154,0.9728,False
乾卦-static,sky / fullness,ɪ,-0.034,9,4,0.75,149,0.9353,0.9764,False
巽卦-dynamic,wind / seepage,i,0.032,16,9,0.56,127,0.9403,0.9764,False
乾卦-static,sky / fullness,ɑ,0.031,7,3,0.67,102,0.9254,0.9764,False
兌卦-dynamic,marsh / emission,y,-0.024,8,5,0.6,105,0.9204,0.9764,False
坎卦-dynamic,water / dispersal,m,-0.022,22,11,0.55,298,0.9353,0.9764,False
震卦-static,thunder / base,c,-0.021,6,3,0.67,91,0.9403,0.9764,False
離卦-static,fire / enclosure,k,-0.02,18,8,0.75,165,0.9453,0.9764,False
坤卦-static,earth / void,w,-0.017,8,7,0.43,80,0.9403,0.9764,False
坤卦-dynamic,earth / stillness,w,0.017,12,8,0.5,239,0.9303,0.9764,False
震卦-dynamic,thunder / rising,a,-0.017,21,10,0.5,1287,0.9453,0.9764,False
艮卦-static,mountain / cover,θ,0.016,5,2,1.0,66,0.9453,0.9764,False
艮卦-dynamic,mountain / descent,h,-0.012,14,8,0.62,412,0.9303,0.9764,False
震卦-static,thunder / base,h,-0.012,15,9,0.56,537,0.9453,0.9764,False
兌卦-dynamic,marsh / emission,b,-0.012,19,10,0.7,330,0.9403,0.9764,False
坎卦-static,water / core,o,-0.011,19,10,0.5,865,0.9403,0.9764,False
坤卦-dynamic,earth / stillness,s,0.01,22,11,0.55,1481,0.9303,0.9764,False
坤卦-dynamic,earth / stillness,d,-0.009,19,9,0.78,664,0.9353,0.9764,False
巽卦-static,wind / detachment,f,0.043,5,3,0.67,38,0.9552,0.9818,False
坤卦-static,earth / void,ɪ,0.015,10,5,0.4,174,0.9552,0.9818,False
艮卦-static,mountain / cover,t͡s,0.014,5,3,0.67,45,0.9552,0.9818,False
坎卦-dynamic,water / dispersal,e,-0.007,15,8,0.38,271,0.9602,0.9853,False
乾卦-dynamic,sky / tumult,ɡ,0.024,6,3,0.67,35,0.9701,0.9859,False
乾卦-static,sky / fullness,t͡ʃ,0.016,5,5,0.4,37,0.9701,0.9859,False
兌卦-dynamic,marsh / emission,t͡s,-0.011,5,4,0.5,49,0.9652,0.9859,False
艮卦-static,mountain / cover,w,0.008,11,7,0.57,185,0.9701,0.9859,False
坤卦-static,earth / void,n,0.005,22,11,0.64,695,0.9652,0.9859,False
艮卦-dynamic,mountain / descent,v,-0.005,14,6,0.5,308,0.9701,0.9859,False
乾卦-dynamic,sky / tumult,e,-0.016,10,5,0.6,94,0.9751,0.9893,False
巽卦-static,wind / detachment,ɛ,0.014,12,6,0.33,76,0.9801,0.9896,False
乾卦-static,sky / fullness,ɛ,-0.004,14,7,0.43,157,0.9801,0.9896,False
坎卦-dynamic,water / dispersal,d,-0.003,15,9,0.33,140,0.9801,0.9896,False
兌卦-static,marsh / cavity,ʌ,0.022,5,2,0.5,27,0.9851,0.993,False
坎卦-dynamic,water / dispersal,ɔ,-0.004,9,4,0.25,66,0.995,0.9998,False
中卦-static,center / uniformity,f,-0.001,10,4,0.5,62,0.995,0.9998,False
乾卦-dynamic,sky / tumult,b,-0.004,6,5,0.6,50,1.0,1.0,False
兌卦-dynamic,marsh / emission,v,0.002,14,6,0.5,274,1.0,1.0,False
震卦-dynamic,thunder / rising,ɲ,-0.001,5,4,0.5,30,1.0,1.0,False
