pole,gloss,phoneme,mean_z,n_langs,n_families,family_sign_concord,total_count,p_perm,q_fdr,significant
艮卦-static,mountain / cover,ɪ,-0.204,9,5,0.4,305,0.2836,0.5717,False
離卦-dynamic,fire / contraction,v,0.172,14,6,0.67,379,0.2836,0.5717,False
巽卦-static,wind / detachment,ʊ,0.537,6,3,1.0,28,0.2935,0.5769,False
離卦-static,fire / enclosure,l,0.322,20,10,0.7,184,0.2886,0.5769,False
巽卦-static,wind / detachment,k,0.319,19,9,0.67,211,0.2935,0.5769,False
離卦-static,fire / enclosure,s,-0.291,18,8,0.62,188,0.2935,0.5769,False
兌卦-dynamic,marsh / emission,d͡ʒ,0.288,6,5,0.6,61,0.2886,0.5769,False
震卦-static,thunder / base,ə,-0.189,10,6,0.67,622,0.2935,0.5769,False
兌卦-dynamic,marsh / emission,j,0.157,17,8,0.62,300,0.2935,0.5769,False
震卦-static,thunder / base,u,0.131,21,10,0.7,860,0.2935,0.5769,False
坎卦-static,water / core,f,-0.165,17,7,0.71,241,0.2985,0.5831,False
震卦-static,thunder / base,j,-0.132,19,9,0.56,411,0.2985,0.5831,False
艮卦-dynamic,mountain / descent,ɔ,-0.171,11,5,0.8,193,0.3035,0.5891,False
震卦-static,thunder / base,f,0.137,18,8,0.62,320,0.3035,0.5891,False
離卦-dynamic,fire / contraction,c,0.24,6,3,1.0,131,0.3085,0.5951,False
艮卦-static,mountain / cover,n,-0.127,22,11,0.73,1273,0.3085,0.5951,False
中卦-dynamic,center / mixture,u,0.377,11,8,0.62,99,0.3134,0.6028,False
巽卦-dynamic,wind / seepage,ə,0.575,6,4,0.75,50,0.3184,0.605,False
坎卦-static,water / core,z,-0.172,13,7,0.86,939,0.3184,0.605,False
兌卦-dynamic,marsh / emission,a,0.135,21,10,0.5,2131,0.3184,0.605,False
艮卦-dynamic,mountain / descent,f,-0.122,17,7,0.71,242,0.3184,0.605,False
兌卦-static,marsh / cavity,n,0.514,13,9,0.44,99,0.3234,0.6071,False
巽卦-static,wind / detachment,z,0.432,6,5,0.8,43,0.3234,0.6071,False
巽卦-dynamic,wind / seepage,n,-0.383,15,7,0.71,90,0.3234,0.6071,False
震卦-static,thunder / base,y,-0.184,8,5,0.6,110,0.3234,0.6071,False
震卦-dynamic,thunder / rising,ɾ,0.3,6,3,0.67,153,0.3284,0.6109,False
坎卦-dynamic,water / dispersal,s,-0.179,21,10,0.7,333,0.3284,0.6109,False
