language,pole,phoneme,z,count,p_perm,q_fdr,significant
Arabic,SLOW,f,3.236,4,0.0249,0.8263,False
Arabic,SMOOTH,ʔ,3.089,7,0.005,0.8263,False
Arabic,SLOW,k,2.903,3,0.0149,0.8263,False
Arabic,BRIGHT,l,2.402,3,0.0697,0.8263,False
Arabic,QUIET,m,2.016,3,0.1194,0.8263,False
Arabic,SMOOTH,ħ,1.968,3,0.0945,0.8263,False
Arabic,BRIGHT,m,1.894,3,0.1642,0.8263,False
Arabic,SMOOTH,n,1.886,3,0.0896,0.8263,False
Arabic,SLOW,b,1.64,3,0.1542,0.8263,False
Arabic,SLOW,a,1.525,39,0.005,0.8263,False
Arabic,FAST,t,1.255,6,0.1791,0.8263,False
Arabic,FAST,a,0.939,34,0.2338,0.875,False
Arabic,FAST,ħ,1.059,3,0.2388,0.8841,False
Arabic,BRIGHT,a,1.013,8,0.2488,0.8919,False
Arabic,FAST,r,0.99,8,0.2537,0.8919,False
Arabic,FAST,n,0.991,3,0.3284,0.9344,False
Arabic,SMOOTH,a,0.931,22,0.3284,0.9344,False
Arabic,FAST,ʔ,0.874,4,0.3134,0.9344,False
Arabic,SLOW,q,0.721,3,0.3383,0.9344,False
Arabic,SMOOTH,t,0.788,3,0.393,0.9584,False
Arabic,SLOW,r,0.754,6,0.3682,0.9584,False
Arabic,SMOOTH,l,0.734,4,0.393,0.9584,False
Arabic,FAST,q,0.572,3,0.408,0.9584,False
Arabic,FAST,l,0.46,5,0.6169,0.9893,False
Arabic,QUIET,a,0.57,6,0.7761,1.0,False
Arabic,SMOOTH,i,0.398,4,0.6269,1.0,False
Arabic,SLOW,s,0.377,4,0.6716,1.0,False
Arabic,SLOW,t,0.371,3,0.7313,1.0,False
Arabic,FAST,i,0.369,6,0.6567,1.0,False
Arabic,FAST,m,0.112,4,0.8706,1.0,False
Arabic,SLOW,l,0.079,3,0.9502,1.0,False
Arabic,SLOW,d,-0.046,3,0.9652,1.0,False
Arabic,FAST,s,-0.033,3,0.9602,1.0,False
