,f,j,k,kʰ,l,m,n,p,pʰ,s,t,tʰ,t͡s,t͡sʰ,t͡ɕ,t͡ɕʰ,x,ɕ,ɻ,ʂ,ʈ͡ʂ,ʈ͡ʂʰ,∅
an,"ɡʌn,kɔ,dɔ,pɔ,bɔɪ,dɔn,du,tɔɪ,kɔn,ɡʊəd",,"pɔ,pɔt,ʃeɪk,pʊt,tɔɪ,pɔɪnt,ɛɡzɪt,ɐkɔdɪŋtu,bɔɪ,tu","bɔɪ,tɔɪ,ʃeɪk,sɪk,ʃi,ɛnd͡ʒɔɪ,pɔ,θɪk,θɪk,sɪkɐmɔ","eəkəndɪʃənə,ɡleɪʃə,baɪɒləd͡ʒi,kaʊ,plaʊ,ʃaʊə,ʃəʊldə,pəʊləbeə,pɒpjʊleɪʃən,paʊə","bəʊ,dəʊ,ɡəʊ,bɑ,vɛt,haʊ,təʊ,ðat,ðeɪ,dju","ɡəʊ,haʊ,kaʊ,ʃaʊə,dju,vju,nju,bəʊ,ju,ju","tɔl,nʌt,bʌt,pinʌt,smɔl,pleɪt,pʌs,teɪl,nʌtmɛɡ,pʌpɪt","keɪk,teɪk,teɪkkeəɹɒv,kɹieɪt,heɪzəlnʌt,dɛkəɹeɪt,kɑd,sad,sʌk,kwɑsɑ̃","naʊ,haʊ,saʊə,vju,ðeɪ,ʃaʊə,nɛfju,flaʊə,fɑ,ɐlaʊ","laɪk,laɪk,keɪk,laɪt,laɪt,laɪt,ɹaɪt,ɹaɪt,ɹaɪt,bʊk","əʊkeɪ,ʃeɪk,keɪk,seɪ,tɹanspɔteɪʃən,heɪzəlnʌt,dɛkəɹeɪt,fɹaɪdeɪ,teɪk,sɪkɐmɔ",,"əʊkeɪ,fɹaɪdeɪ,steɪʃən,tɹanspɔteɪʃən,ɛd͡ʒukeɪʃən,steɪ,dɹaɡənflaɪ,t͡ʃizkeɪk,kleɪ,kɹaɪ",,,"pɔ,kɔ,tɔt͡ʃ,dɔ,tu,tu,tu,tɔɪ,ɐkɔdɪŋtu,du",,"θaʊzənd,ʃaʊə,saʊnd,haʊ,saʊə,faɪnd,kaʊ,bɪhaɪnd,ɡɹaʊnd,tɛnθaʊzənd","naʊ,saʊnd,saʊθ,nɛfju,saʊə,haʊ,daʊn,snəʊ,dɛf,flaʊə","d͡ʒanjuəɹi,valju,dɹɛs,sand,daɪɹɛkʃən,tiʃɜt,ʃɜt,dɛzət,vɒljum,dɛf","taɪ,fəɹɛvə,ɹɛfəɹi,ti,sɛvən,kandi,kamfətɹi,tɹavəl,deɪ,daɪ","tɔɪ,du,tu,tu,tu,pɔɪnt,ɡʊəd,dɔ,tuθ,kɑ","ɪ 16%, ə 13%, a 11%, t 11%, n 10%, k 9%, ʊ 9%, l 7%, s 7%, d 7%"
aɪ,,,"pʌb,pʊʃ,kʌntɹi,pʌŋk,kəmpʌlsəɹi,bʊʃ,kʌm,kʌɹi,kɔz,əbʌv","t͡ʃizkeɪk,keɪk,əʊkeɪ,kiwi,paŋkeɪk,ʃeɪk,ʃeɪp,kaŋɡɐɹu,kəmpʌlsəɹi,weɪkʌp","kəmpeə,eəkəndɪʃənə,kənsɪstənt,kɪt͡ʃən,peɪʃənt,kənsʌltənt,ɐsɪstənt,balkəni,ɔɪstə,kəmand","sɛntə,kʌmpəs,hʌnt,kʌntɹi,stɛpsʌn,vɛktə,stʌmp,vɛt,hʌni,kʌmpəni","kəntɪnju,balkəni,wɪntə,kənsʌltənt,wɪndəʊ,wɪspə,kənsɪstənt,njuzpeɪpə,ɐkaʊntənt,badmɪntən","sɔs,sɛl,sʌn,sʌn,hɛl,sɔɪsɔs,hʌnt,həʊtɛl,kwɪlt,bɹɛd","teɪl,keɪɒs,əʊkeɪ,keɪs,həʊtɛl,teɪkkeəɹɒv,ɛskeɪp,pinʌt,teɪbəltɛnɪs,teɪbəl","nɛst,mɪl,nɛsɪsəɹi,mɛlt,wɛst,mɪs,mɪs,sneɪl,stɪl,mɪlk","əʊkeɪ,ɪɹɪɡeɪt,keɪk,skɛlɪtən,pɛlɪkən,kəmpʌlsəɹi,tɛlɪskəʊp,neɪkɪd,hʌɹɪkeɪn,θɜzdeɪ","kəmpʌlsəɹi,keɪk,skɛlɪtən,t͡ʃizkeɪk,kiwi,ɛd͡ʒukeɪʃən,əʊkeɪ,kʌlt͡ʃə,keɪd͡ʒ,kənsʌltənt","d͡ʒʌstɪs,t͡ʃɛstnʌt,d͡ʒʌst,d͡ʒʌst,d͡ʒanjuəɹi,ɡaɹɪd͡ʒ,t͡ʃalɪnd͡ʒ,balkəni,t͡ʃɜt͡ʃ,nɛsɪsəɹi","ɡaɹɪd͡ʒ,kəlɪʒən,kaʒuəl,kənstɹʌkʃənwɜkə,stɹɛt͡ʃ,ɡɹad͡ʒuəli,kɑneɪʃən,stjuədɛs,ɛd͡ʒukeɪʃən,jɛstədeɪ",,,"kɒfi,kɔ,kɒntɛst,kɔz,kɑ,pʊʃ,ʃi,kɒf,sihɔs,hu",,,,"stand,nɛst,ɹɛstɹɒnt,kɒntɛst,standəd,ʌndəstand,nɜs,stɹɛt͡ʃ,nɜsəɹi,kandi",,"ant,ant,kwɪlt,ɡɪlti,hʌnt,stʌmp,balkəni,wɒnt,kənsʌltənt,ʌntɪl","ɪ 15%, t 13%, s 12%, ə 12%, k 11%, n 11%, l 8%, e 6%, ɛ 6%, ɹ 5%"
eɪ,"kɒfi,lʌv,nɜv,lʌŋ,wɜm,jʌŋ,tʌŋ,kʌm,kɒf,wɔm",,"pʊʃ,əbʌv,tuθ,ɛɡ,bʊʃ,tɔɪ,pʌb,kɒfi,tɔt͡ʃ,pɪɡ",,"aftə,patən,kaʃiə,katəpɪlə,atəm,piəni,pɪstaʃɪəʊ,aɪlənd,kəmpeə,peəɹənt","kləʊðz,fɹɛʃ,fɹiz,pɹɛfɹəns,ɡʌts,θɹʌʃbɜd,pis,kɔz,θɹɛd,nis","ɡɛs,bʌsdɹaɪvə,wɛst,d͡ʒɛləs,waɪf,vaɪɹəs,ɡʌts,d͡ʒɪɹaf,wɛft,ɡalɐksi","tuθ,tɹʌmpɪt,tap,pʌb,stʌmp,tɜbɪd,pil,pʌpɪt,hɜb,nɜv","θɹɛd,flʌd,tuθ,θɹʌʃbɜd,əbʌv,lʌv,dʌm,tʌŋ,tɹʌmpɪt,pʌb",,,,"əbʌv,lʌv,pʊʃ,avɹɪd͡ʒ,wɪð,bʊʃ,ɒv,hav,leɪdɪbʌɡ,muv",,,,"kɒfi,kɒf,tuθ,tɔt͡ʃ,pʊʃ,ɡus,hɑf,kɔz,stɑfɪʃ,sihɔs",,,"nɜv,fɹɛnd,fɹɛʃ,ni,nɜs,ɹʌf,θɹɪfti,fɹʌnt,θɹi,θɹɛd",,,,"ɪ 14%, t 14%, s 13%, l 10%, ə 10%, k 9%, p 8%, n 8%, ʌ 8%, i 7%"
i,,,,,"mitɪə,baktiəɹiə,kliə,peə,peə,beə,beə,eə,feə,jiə","pɹəʊsɛs,vakjumklinə,pɜfɛkt,bʌs,məʃin,pɹɪnsɛs,pɹɪsaɪs,nɛptjun,pɹiviəs,pʌs","ju,ju,vju,stju,nju,dju,ʃaʊə,fju,saʊə,stjuədɛs","bat,ɹabɪt,baskɪt,bad,tɜbɪd,badmɪntən,patən,atəm,bɪtə,dɪpɛndənt","flat,bat,baskɪt,pɛn,plan,bad,klɒθ,tɛn,at,klɒk",,"ɛlɪfənt,last,plastɪk,ɛlɪveɪtə,dɪpɛndənt,skɛlɪtən,lavəndə,lɒk,ɹandəm,ɹɒk","klɒk,fɹɒɡ,plastɪk,lɒk,ɹɒk,dɹaɡənfɹut,teɪkkeəɹɒv,fɹɒst,flat,klɒθ",,,"ɐnaləsɪs,pɹəfɛsə,ɛksəsaɪz,d͡ʒɛləs,ɡladɪəʊləs,junɪvɜs,dɪsɐpiə,ɪnɜʃə,ɔkɪstɹə,tɛknɒləd͡ʒi","klɛvə,ʌðə,ɐɡɛn,tɹɛʒə,kaʃiə,plʌmə,it͡ʃʌðə,kɹɔl,ɡʌn,klɔɪstə",,"siɐnɛməni,maθɪmatɪks,mitɪə,ɐnɛməni,maksɪməm,sʌnɪnlɔ,mɛni,ɛnəmi,mɪnɪməm,ɪmidɪətli",,,,,"wɒnt,ant,ant,swɒmp,and,wɒn,wɒt,ɛnd,ʌndəstand,wɒʃ","ə 16%, t 13%, ɪ 13%, n 12%, s 11%, k 8%, l 8%, a 7%, ɹ 6%, ɛ 6%"
in,,,,,"djʊəɹiən,kjʊəɹiəs,d͡ʒəɹeɪniəm,t͡ʃeəmən,eəkəndɪʃənə,ʃaʊə,mətiəɹiəl,jʊəɹanəs,linɪənt,ziəɹəʊ","ɡɑdənə,ɡus,faɪbə,bɐnɑnə,nəʊvɛmbə,kɑpəntə,mɒnjumənt,vinəs,kjukʌmbə,jus",,"ɔtʌm,ɪmpʌls,ɪmpɔtənt,səpɔt,nɛbjʊlə,ɪmɔtəl,dɪvɛləp,ɔɹɪəʊl,ɪɹəʊd,dəʊnʌt","kwaiət,pɹɪzən,pɹaɪvət,ɡɑdən,kɹɪsanθəməm,kɑt,kwɑsɑ̃,klɒk,ɑt,ɪnfəmeɪʃən",,,,,,"ɪnɜʃə,ɛksəsaɪz,səʊld͡ʒə,ɪnəsənt,nɛbjʊlə,səʊləsɪstəm,ʃəʊldə,ɹaɪnəʊ,səsaiəti,fətɒɡɹəfə","pɒpjʊleɪʃən,pɒpjʊlə,ɡɑdənə,səʊld͡ʒə,kɹɪsanθəməm,ɪnɜʃə,kəlɪʒən,kʌlt͡ʃə,kwɑsɑ̃,ɪnfəmeɪʃən",,"sɪmfəni,haɪɐsɪnθ,dɪnaɪ,səsaiəti,siɐnɛməni,ɹaɪnəʊ,sɪnəmən,maksɪməm,kɒlənaɪz,saɪlənt",,,,,"mɒnjumənt,haɪɐsɪnθ,swɒmp,ɡʊəd,ɪnəsənt,ɡʊdbaɪ,wɒnt,jʊəɹanəs,wʊmən,ɛnvaɪɹənmənt","ə 22%, ɪ 14%, n 13%, a 9%, t 8%, m 7%, s 7%, k 7%, ɹ 6%, l 6%"
iŋ,,,,,"ʃaʊə,kɒɹəl,saʊə,handəl,haʊ,paʊə,kaʃiə,ʃaləʊ,list,ləʊ","faɪbə,hamə,vakjumklinə,faiəfaɪtə,nəʊvɛmbə,kjukʌmbə,klinə,faɪnəli,pɹəvaɪd,faɪt","pəlismən,wɪspə,d͡ʒanjuəɹi,tjubə,switpəteɪtəʊ,bəʊ,mʌlbəɹitɹi,bəlun,ju,ju","pɹəvaɪd,ad,paɪp,ɑmpɪt,tɜmaɪt,taɪp,lamp,eɪpɹəl,faɪt,paɪlət","pɹəvaɪd,eɪpɹəl,aɪdəl,haɪd,paɪp,faɪbə,pɑt,eɪbəl,paɪn,pleɪt",,"ɹəʊst,ɹəʊp,stɹaɪp,maɪkɹəʊweɪv,spaɹəʊ,steɪbəl,laɪbɹəɹi,maɹəʊ,ʃeɪp,njuzpeɪpə","flaɪ,flaɪ,fɹaɪdeɪ,laɪk,laɪk,fɹaɪ,jəʊk,kəlɪʒən,ɹɪfɹɪd͡ʒəɹeɪtə,faiəflaɪ",,,"ɛksəsaɪz,kɒlənaɪz,ɪɹəʊd,ɪnɜʃə,ɐnaləsɪs,ɛnəd͡ʒi,aɪskɹim,avəkɑdəʊ,ɛksaɪtɪd,aɪɹɪs","kɹeɪn,kɹeɪn,klɛvə,aɪskɹim,aɪdiə,kɹaɪ,kɹeɪzi,klinə,ʃaɪn,kaʃiə",,"ɹaɪnəʊ,faɪnəli,ɹaɪm,faiəflaɪ,taɪm,feɪməs,laɪtnɪŋ,maksɪməm,mɪnɪməm,hamə",,,,,"kamp,swɒmp,ant,ant,aɪ,aɪ,stamp,faɪv,wɒnt,ɐʃeɪmd","ə 18%, ɪ 17%, a 15%, l 9%, n 8%, t 8%, k 7%, ɹ 7%, m 6%, p 6%"
iɑ,,,,,,,,,,,,,,,"d͡ʒʌmp,d͡ʒɛlɪfɪʃ,t͡ʃɜp,kɛt͡ʃʌp,ɔtʌm,t͡ʃɛk,d͡ʒɪm,t͡ʃɜt͡ʃ,t͡ʃɪp,ɑm","d͡ʒʌmp,d͡ʒʌd͡ʒ,tɹɛʒə,t͡ʃɜt͡ʃ,pɹɛʃə,kɛt͡ʃʌp,ʃɛl,tɹʌŋk,ɪlɛktɹɪʃən,kɑneɪʃən",,"t͡ʃɪp,ʃɪp,t͡ʃɜp,t͡ʃip,d͡ʒɪm,t͡ʃɛk,sɪɹamɪk,ʃip,d͡ʒʌmp,d͡ʒɛlɪfɪʃ",,,,,"ɑm,d͡ʒʌmp,swɒmp,kamp,ant,ant,ɑmpɪt,ʃɹɪmp,ɒn,ɪf","ɪ 19%, m 13%, p 10%, s 9%, n 9%, t 9%, k 8%, l 8%, ə 8%, ʌ 7%"
iɑŋ,,,,,"dɪsɛmbə,ɪmad͡ʒɪn,d͡ʒɪm,kəmplit,ɹɪmɛmbə,kəmpeə,nəʊvɛmbə,d͡ʒɛndə,kɹɪsanθəməm,t͡ʃeəmən",,,,,,,,,,"ɪmad͡ʒɪn,d͡ʒɪm,d͡ʒʌmp,dɪsɛmbə,pʌmpkɪn,ɪmpʌls,d͡ʒɪŋkɡəʊ,d͡ʒɛndə,nəʊvɛmbə,ɹɪmɛmbə","it͡ʃʌðə,kʌlt͡ʃə,dɒlfɪn,ɛnd͡ʒɪn,ɪmad͡ʒɪn,fɛðə,kwin,d͡ʒɪnd͡ʒə,d͡ʒɪŋkɡəʊ,ʌðə",,"d͡ʒɪm,ɪmad͡ʒɪn,ɹɪmɛmbə,ɹaɪm,ɪmpʌls,mɪnɪməm,ɔlðətaɪm,sɪmɛnt,d͡ʒulaɪ,sʌmə",,,,,"ɪmpʌls,d͡ʒʌmp,pʌmpkɪn,kjukʌmbə,kʌmpəs,ɪmpɔtənt,pʌŋk,kʌlt͡ʃə,kamp,ʃɹɪmp","ɪ 16%, ə 16%, n 14%, m 12%, l 9%, t 7%, s 7%, a 6%, ɛ 6%, p 6%"
iɑʊ,,,,,"kəlɪʒən,eəkəndɪʃənə,ɹɪfɹɪd͡ʒəɹeɪtə,ɹaʃənəl,kɒlɪflaʊə,t͡ʃeəmən,d͡ʒəɹeɪniəm,kɑneɪʃən,pɒpjʊleɪʃən,tɛlɪvɪʒən","skɜt,ʃaʊə,pjupəl,tjubə,kjukʌmbə,saʊə,kəmpjutə,d͡ʒʌmp,kjub,swɒmp","ʃaʊə,saʊə,wɪspə,pjupəl,djʊəɹɪŋ,jʊəɹɪn,ju,ju,kəmpjutə,flaʊə","t͡ʃɜp,sɜtən,tɜmaɪt,ʃɜt,tɜn,skɛlɪtən,sʌm,t͡ʃɜt͡ʃ,sʌn,sʌn","swɪm,skɪn,skwɪd,tɜn,ʃɹɪmp,skan,swip,tɛmpəl,swɪŋ,swɪŋ",,"kəmpʌlsəɹi,pɒpjʊleɪʃən,pɛlɪkən,peɪʃənt,kəmpjutə,kənsʌltənt,kənsɪstənt,bɒtəm,ɛlɪmənt,kɑpəntə","skɛlɪtən,skwɒt,skweə,kəlɪʒən,steɪʃən,fjut͡ʃə,skwɪd,skɹat͡ʃ,kɪt͡ʃən,skwiz",,,"sɔd,t͡ʃɜt͡ʃ,kɛt͡ʃʌp,ʃɛdjul,t͡ʃɜp,tɛlɪvɪʒən,fɔl,kəlɪʒən,tiʃɜt,it͡ʃʌðə","kʌlt͡ʃə,kəlɪʒən,it͡ʃʌðə,pɹɛʃə,kɪt͡ʃən,tit͡ʃə,ɛd͡ʒukeɪʃən,fit͡ʃə,tɹɛʒə,kɑneɪʃən",,"fɔl,sɔd,sɔt,ʃɔt,ʃɔt,sisɔ,t͡ʃɜt͡ʃ,spɪnɪt͡ʃ,sɔ,tit͡ʃə",,,,,"swɒmp,d͡ʒʌmp,ʃɹɪmp,kjub,swɒn,d͡ʒun,t͡ʃɜp,kamp,skwɒt,stʌmp","ə 17%, ɪ 13%, s 12%, n 11%, t 11%, l 9%, p 8%, k 8%, m 6%, a 5%"
iɛ,,,,,"ʃakəl,baɪsɪkəl,t͡ʃitə,sɪkəl,t͡ʃiz,d͡ʒɛlɪfɪʃ,sɪstə,klasɪkəlmjuzɪk,t͡ʃik,ɐksɛləɹeɪʃən",,,"səʊləsɪstəm,pɹəʊsɛs,ləʊtəs,t͡ʃɒklət,sʌmtaɪmz,sʌmwɒt,dɪpɛndənt,d͡ʒɛləs,saɪlənt,səpɹaɪzd",,,"klasɪkəlmjuzɪk,bɪɡsɪstə,bɪkɒz,lɪɹɪks,aɡɹɪkʌlt͡ʃə,ɒstɹɪt͡ʃ,mjuzɪk,dɪstɹɪkt,bɪldɪŋ,hʌndɹɪd","klasɪkəlmjuzɪk,t͡ʃɛɹi,ʃeɪk,mjuzɪk,aɡɹɪkʌlt͡ʃə,t͡ʃizkeɪk,plastɪk,ʃeə,lɪtəlsɪstə,pɹɒsɪkjutə",,,"ɛksəsaɪz,ɪlɛktɹɪsɪti,ɪlɛktɹɪʃən,səʊləsɪstəm,d͡ʒʌstɪs,ɹɪsɛpʃənɪst,bɪɡsɪstə,d͡ʒɛləs,ɛkspləʊd,ɐksɛləɹeɪʃən","d͡ʒʌd͡ʒ,ɡʌn,t͡ʃɪn,kɹeɪzi,d͡ʒɪnd͡ʒə,t͡ʃɪkɪn,t͡ʃɛɹi,d͡ʒɪŋkɡəʊ,ɛnd͡ʒɪn,pɹɪdɪkt",,"hʌni,fʌni,θɹɪfti,hʌndɹɪd,ni,θʌndə,ɛɡzaktli,mɛni,mɪks,fʌnd",,,,,"d͡ʒʌmp,d͡ʒɔɪnts,d͡ʒaz,d͡ʒun,wɒnt,ɒv,ant,ant,hʌnt,d͡ʒɒb","ɪ 16%, s 13%, ə 13%, t 11%, k 9%, n 9%, ɹ 8%, l 7%, ɛ 7%, i 6%"
