,f,j,k,kʰ,l,m,n,p,pʰ,s,t,tʰ,t͡s,t͡sʰ,t͡ɕ,t͡ɕʰ,x,ɕ,ɻ,ʂ,ʈ͡ʂ,ʈ͡ʂʰ,∅
an,"ɹɪɡɹɛt,ʃaʊəhɛd,dɪzɜt,ʃɜt,jɛt,kɐsɛt,lɪd,wɜk,lɪzəd,ɹɛk",,"dɛkəɹəɪt,tʌɡbəʊt,bʌt,kʌpkəɪk,bɛltbʌkəɫ,bʌkɪt,pɔt,bɜd,pʌlpɪt,pɔthəʊl","dɛkəɹəɪt,bʌkɪt,ɜθkwəɪk,fəɡɛt,sɪɡəɹɛtbʌt,kɹɪkɪt,kʌpkəɪk,fɔwəd,sɪɡəɹɛt,fɜkəʊt","ɡɹənəɪd,satədəɪ,pəʊlɐɹɔɪd,sɪɡəɹɛthəʊldə,ɡladɪəʊləs,kɔdənblu,tədəɪ,ɡɔlbladə,pɹɛzɪdənt,blakbəɹi","bɑ,d͡ʒuəl,saʊə,tɹaʊəɫ,taʊəɫ,dɑt,bəʊə,tɛnθaʊzənd,daʊn,bat","ɡʊəd,saʊə,saʊθ,ʃaʊə,kəntɪnju,taʊə,d͡ʒuəlɹi,d͡ʒɑ,tɛnθaʊzənd,taʊəɫɹak","dɑtbɔd,kɑdbɔd,bɛltbʌkəɫ,bəɪsbɔlbat,daʃbɔd,bəɪsbɔl,bɑbɛl,skəɪtbɔd,pʌdəɫ,bʌt","dɑtbɔd,skəɪtbɔd,kɑdbɔd,sɪɡəɹɛtbʌt,sɜfbɔd,bɔdɡəɪm,dɛkəɹəɪt,t͡ʃɔkbɔd,daʃbɔd,pʌdəɫ","dɪzɜt,θɜzdəɪ,səpɹaɪzd,nɜsəɹi,sɪɡəɹɛthəʊldə,lɪzəd,dɛzət,nɛɡətɪv,həɪzəɫnʌt,saɪzməɡɹaf","dɛkəɹəɪt,laɪtbʌlb,sɪɡəɹɛtbʌt,bɛltbʌkəɫ,bʌkɪt,pʌlpɪt,dɜtbaɪk,bəɪsbɔlɡlʌv,bəɪsbɔlbat,tʌɡbəʊt","dɛkəɹəɪt,sɪɡəɹɛtbʌt,bɛltbʌkəɫ,bʌkɪt,ləɪdɪbʌɡ,skəɪtbɔd,pʌlpɪt,bəɪsbɔlɡlʌv,bəɪsbɔlbat,laɪtbʌlb",,"sɪɡəɹɛthəʊldə,dɛkəɹəɪt,təɡɛðə,stjuədɛs,kəɪsədiə,ɡladɪəʊləs,spɐɡɛti,nɛɡətɪv,t͡ʃɛkəz,dɪzɜt",,,"kɐsɛt,ɹɪɡɹɛt,kəɹɛkt,jɛt,kəlɛkt,bɹɛkfəst,hɜt,wɜk,ɹɛk,ʃɜt",,"taʊəɫɹak,d͡ʒuəl,d͡ʒuəlɹi,taʊəɫ,bəʊə,sandəɫ,dəɪ,tɹaʊəɫ,ɡʊəd,taʊə","dɪzɜt,dəʊnʌt,dəʊnʌt,ɹaft,lɛft,lɛft,dɛzət,kɐsɛt,nɜs,lɛs","dɪzɜt,dɛzət,tiʃɜt,həɪzəɫnʌt,dafədɪl,ditəɪl,nɜsəɹi,dɹɛs,tɛlɪfəʊn,stjuədɛs","dɛf,tiʃɜt,dɛzət,dɜti,tɜf,dɪzɜt,sɜfbɔd,sɜkəɫ,kɐsɛt,stjuədɛs","dɪzɜt,ɐvɔɪd,dɪskɛt,dɛkəɹəɪt,dɪsaɪd,ɡʊəd,d͡ʒuəl,ʃɜt,kʌt,ɐbaʊt","d 259%, ɡ 202%, ɜ 194%, t 103%, b 99%"
aɪ,,,"aɪsskəɪt,spəɪsʃʌtəɫ,spəɪssut,kʌpkəɪk,sutkəɪs,hɑddɪsk,hɒttʌb,pɛɹɪskəʊp,baɪsɪkəɫ,pəʊstkɑd","kʌpkəɪk,baskɪtbɔlhup,wəɪkʌp,kʊkikʌtə,waɪtbɔd,t͡ʃɔkbɔd,skaɪskɹəɪpə,bɔdɡəɪm,aɪsskəɪt,spəɪsʃʌtəɫ","peəɹəntsɪnlɔ,ɡɹad͡ʒuəɫi,kəntɪnju,ɛnəd͡ʒi,d͡ʒuəlɹi,eəkəndɪʃənə,kəmpeə,piəni,d͡ʒəɹəɪniəm,kaʃiə","maʊntɪn,badmɪntən,ɐmaʊnt,ɡɹaʊndhɒɡ,faʊntɪnpɛn,mɪnt,ɐɹaʊnd,ɡʊdbaɪ,bɹaʊni,maʊθ","badmɪntən,kəntɪnju,d͡ʒuəlɹi,bijuzdtu,balkəni,kɒtənkandi,ɡɪlti,wɪndʃild,peəɹəntsɪnlɔ,ɡʊdbaɪ","spəɪsʃʌtəɫ,pʌlpɪt,təɪst,aɪsskəɪt,bɛltbʌkəɫ,bɹəɪs,spəɪssut,pəɪst,tuθpəɪst,pɔt","baskɪtbɔlhup,bɛltbʌkəɫ,bɔdɡəɪm,kɑdbɔd,baskɪtbɔl,t͡ʃɔkbɔd,waɪtbɔd,skəɪtbɔd,dɑtbɔd,pʌlpɪt","bijuzdtu,mɪlɪpid,ɹɪspɒnsəbɪlɪti,lɔndɹibaskɪt,səpɹaɪzd,bɪzi,stat͡ʃu,ɹadɪʃ,ɹəɪzəbləɪd,əɪzliə","ɹɛdkɑpɪt,pʌlpɪt,ləɪdɪbʌɡ,laɪtnɪŋbʌɡ,laɪtbʌlb,lɔndɹibaskɪt,dɛkəɹəɪt,pəɪpəwəɪt,pʌblɪk,baɡpaɪp","pʌlpɪt,ɹɛdkɑpɪt,ləɪdɪbʌɡ,bɛltbʌkəɫ,baskɪtbɔlhup,spaɪdəwɛb,pəɪpəwəɪt,laɪtbʌlb,stəɪpəɫɡʌn,dɛkəɹəɪt","satəlaɪtdɪʃ,nɛsɪsəɹi,sɪstəɹɪnlɔ,səpɹaɪzd,ɡasəlin,ɹɪlis,stəɪndɡlas,dɪziz,ɹisəntli,bɹɛθɐlaɪzə","ɹɪfɹɪd͡ʒəɹəɪtə,pɛtɹidɪʃ,satəlaɪtdɪʃ,lɔndɹibaskɪt,switpətəɪtəʊ,sɪstəɹɪnlɔ,bijuzdtu,səpɹaɪzd,kəɪsədiə,ɹɪspɒnsəbɪlɪti",,,"sihɔs,ʃiθ,handkət͡ʃif,ɡiəʃɪft,wɛft,ʃuləɪs,wɛst,ɹɪst,ðɪs,ʃupɒlɪʃ",,,"sihɔs,ʃiθ,t͡ʃuz,d͡ʒun,sil,d͡ʒus,stɹɪŋt͡ʃiz,sifud,səksid,sɛntəpis","ɹɪlis,nɜsəɹi,d͡ʒuəlɹi,nis,stɪlɛtəʊ,əʊnli,nɛsɪsəɹi,ɹɪvju,stat͡ʃu,nju","mʌʃɹum,baθɹum,ɹiəvjumɪɹə,mʌstaʃ,mʌðəɹɪnlɔ,ɪmidɪətli,bɛdɹum,pɑkɪŋmitə,bijuzdtu,kaʃju","kəntɪnju,d͡ʒuəl,d͡ʒuəlɹi,vɔɪs,d͡ʒɔɪnts,ɐkaʊntənt,ɐsɪstənt,jʊəɹɪn,bɪskɪt,dɪstəns","ʃ 123%, z 114%, ɪ 108%, ɔ 71%, s 69%"
eɪ,"lɛft,lɛft,plastɪk,past,plastɪkfɪlm,last,hɛdɹɛst,pik,lɛɡ,plastəkast",,,,"mitɪə,stat͡ʃu,pɪstaʃɪəʊ,pati,peəɹəntsɪnlɔ,istəɹɛɡ,bləʊə,plastɪkfɪlm,stɪlɛtəʊ,plastɪk","last,sʌnflaʊə,flaʊə,flaʊə,past,ɐlaʊ,paʊəlaɪn,mast,bɛnd,maʊntɪn","sɒft,ɹaft,ɹufɹak,lʌvsit,pastə,past,kɒfi,last,lɛft,lɛft","pɛt,pɛdəɫ,pʌlpɪt,tʌt͡ʃpad,baθtʌb,pʌpɪt,baɹɛt,bɛdpan,past,pɛtəɫ","pʌdəɫ,pʌlpɪt,baθtʌb,pɛdəɫ,bɛd,bʌɡ,pʌb,bɑbɛl,pʌpɪt,pʌpi",,,,"tʌt͡ʃpad,ɹɛdkɑpɪt,ɹʌbəband,baθtʌb,bɛdpan,bɑbɛl,baɹɛt,ləɪdɪbʌɡ,ɡɑbɪd͡ʒtɹʌk,sɛntɪpid",,,,"jɛt,ɹaft,lɛft,lɛft,pɛt,last,bʌt,baɹɛt,bɛd,bʌfɪt",,,,"ɐtɛnd,dɪsɛnd,lɛnd,dɛntɪst,ʌndəstand,ɡɹinbinz,kɒntaktlɛnz,ɪntɛstɪn,ɡɹandsʌn,pɹəɪɪŋmantiz",,,"ɛ 247%, t 183%, b 152%, d 151%, p 125%"
i,,,,,"sidipləɪə,klinə,mitɪə,ɡɹɐfiti,ʃandəliə,ɹiəvjumɪɹə,sidə,kliə,ɪmidɪətli,nɪtɪŋnidəɫ","basɪnɛt,kwɑsɑ̃,maʊntɪn,kɒpɪ,kɹəʊbɑ,ɡɑtə,wɒʃbɔd,kɒfi,kɹaʊn,faʊntɪnpɛn","ɹɪklaɪnə,ɡɹaɪndə,mitɡɹaɪndə,bɜnə,bɐnɑnə,wɒʃklɒθ,ɡɑdənə,dwɔf,mɜdə,nəʊvɛmbə","tʌt͡ʃpad,dɪsɡʌstɪd,pʌlpɪt,baskɪt,dɪskɛt,ɪntɛstɪn,dɪskʌs,pʌpɪt,dʌstbɪn,pɛt","pʌnt͡ʃɪŋbaɡ,pləɪpɛn,pɒkɪtwɒt͡ʃ,baskɪtbɔlhup,baskɪt,pʌlpɪt,ɛnt͡ʃɪlɑdə,flask,pɛn,ɹɒkɪŋt͡ʃeə",,"stɪk,stɪk,stəɪk,stəɪk,dɛkəɹəɪt,tɪk,ləɪk,təɪk,ɹəɪk,d͡ʒɔɪstɪk","stɪkə,spɐɡɛti,stɹəɪtd͡ʒakɪt,dɹaɡənflaɪ,stɪk,stɪk,təɪkkeəɹɒv,sɪɡɑ,bɜθdəɪkəɪk,kɪk",,,"fudpɹəʊsɛsə,kanɪstə,wɔtəhitə,ɛksəsaɪzə,pɹəfɛsə,d͡ʒɛnəɹəɪtə,kʊkikʌtə,dɪsɐpiə,ɹiəvjumɪɹə,mɛtəɫdɪtɛktə","təɪpɹɪkɔdə,kʊkikʌtə,kamkɔdə,t͡ʃɪkɪnwaiə,eəkɹaftkaɹiə,d͡ʒɛnəɹəɪtə,t͡ʃaɪnɐweə,waiəkʌtəz,wɔtəkulə,dɪʃwɒʃɪŋlɪkwɪd",,"zʌkinɪ,ɪmidɪətli,sihɔs,t͡ʃɪmni,snəʊʃu,napkɪnɹɪŋ,siɐnɛməni,kɪdni,manɐti,suʃi",,,,,"ɪntɜn,wɒt͡ʃ,tɛnθaʊzənd,wɒʃ,ʃʊə,sɛntə,ɐvɔɪd,dɪʃwɒʃə,dwɔf,fɜ","e 196%, ɡ 152%, θ 107%, k 81%, w 60%"
in,,,,,"bələʊni,sɪɡəɹɛthəʊldə,satədəɪ,dɛtənəɪtə,tɔnəɪdəʊ,dəʊnəɪt,əɹɪd͡ʒɪnəɫi,ɛksəsaɪzə,kɔdənblu,d͡ʒɛnəɹəɪtə","bɑ,bi,bi,maʊntɪn,bəʊə,bɜdhaʊs,bɜnə,pʊə,bɪn,faʊntɪnpɛn",,"tʌt͡ʃpad,pʌdəɫ,pɜl,pɛtəɫ,pɛdəɫ,taʊəɫ,taʊəɫɹak,paʊəlaɪn,padəɫ,pəɪpətaʊəɫ","bɪnɒkjʊləz,katɐpʌlt,baskɪtbɔlhup,pʌnt͡ʃɪŋbaɡ,pɛnsəɫʃɑpənə,swɒləʊbɜd,wɜkbɛnt͡ʃ,ɛnt͡ʃɪlɑdə,abakəs,aɡɹɪkʌlt͡ʃə",,,,,,"mɛtəɫdɪtɛktə,sɪɡəɹɛthəʊldə,ɛksəsaɪzə,ɛksəsaɪz,bɪɡsɪstə,ɹɪsɛpʃənɪst,ɛɡzɪt,dɛtənəɪtə,sɪsəz,kɐsɛt","sɪɡəɹɛthəʊldə,sɪɡəɹɛtbʌt,təɪpɹɪkɔdə,hɪbɪskəs,pinʌtbʌtə,pəʊləbeə,pɛnsəɫʃɑpənə,wʊdpɛkə,eəkəndɪʃənə,mɛtəɫdɪtɛktə",,"səsaiəti,hapɪnəs,satəlaɪtdɪʃ,kɐsɛt,mɐʃɛti,ɐsɛtɪk,nɜsəɹi,θɜməstat,ɹɪsɛpʃənɪst,sɪɡəɹɛthəʊldə",,,,,"ɛɡzɪt,fɜnɪs,ɪnəsənt,ɐnaʊns,aʊtfɪt,ɛnvaɪɹənmənt,eəkəndɪʃənə,tɛnθaʊzənd,ɐkaʊntənt,ɛksəsaɪzə","ɐ 215%, ə 118%, ɛ 70%, ɜ 67%, z 67%"
iŋ,,,,,"tambəɹin,haɪinə,junɪsaɪkəɫ,ʃandəliə,klinə,məʊtəsaɪkəɫ,paɪnnidəɫ,lɪməzin,faɪnəɫi,kɒmən","paɪnapəɫ,ɹɪklaɪnə,faɪnəɫi,bələʊni,nəʊvɛmbə,paʊəlaɪn,vakjumklinə,klinə,bɐnɑnə,kɒpə","kanəʊpənə,ɹɪklaɪnə,snəʊmən,d͡ʒakhamə,pəlismən,kɒfiməɪkə,klinə,haɪinə,nəʊvɛmbə,lɛtəɹəʊpənə","paɪnapəɫ,satəlaɪtdɪʃ,məʊtəsaɪkəɫ,satəlaɪt,paɪnnidəɫ,kɑdɪnəɫ,spəɪsʃʌtəɫ,aɪskɹimkəʊn,tambəɹin,pɑtɪkəɫ","pləɪɪŋkɑd,paɪnapəɫ,skaɪskɹəɪpə,bɒtəɫəʊpənə,pɑtɪkəɫ,məʊtəsaɪkəɫ,tɹaɪaŋɡəɫ,tɹaɪpɒd,kəlaɪdəskəʊp,pɪŋpɒŋtəɪbəɫ",,"satəlaɪtdɪʃ,stalɐɡmaɪt,satəlaɪt,məʊtəsaɪkəɫ,kəlaɪdəskəʊp,təɪlaɪt,taɪpɹaɪtə,laɪtnɪŋ,taɪp,taɪt","kɜlɪŋaiən,satəlaɪtdɪʃ,kaɪak,kəlaɪdəskəʊp,bɜθdəɪkəɪk,təɪk,stəɪk,stəɪk,satəlaɪt,faiəkɹakə",,,"məʊtəsaɪkəɫ,ɛksəsaɪzə,haɪinə,ɛksəsaɪz,ɹɪklaɪnə,junɪsaɪkəɫ,kanəʊpənə,pɹaɪmmɪnɪstə,faiəfaɪtə,aɪskɹimkəʊn","faiəfaɪtə,təɪpɹɪkɔdə,t͡ʃaɪnɐweə,məʊtəsaɪkəɫ,kamkɔdə,skaɪskɹəɪpə,taɪpɹaɪtə,faiəkɹakə,ɹɪklaɪnə,amplɪfaiə",,"lɪməzin,haɪinə,məʊtəsaɪkəɫ,ɹɪklaɪnə,faɪnəɫi,kanəʊpənə,satəlaɪtdɪʃ,hɪpəpɒtaməs,haɪɐsɪnθ,laɪtnɪŋ",,,,,"haɪinə,kaɪak,haɪɐsɪnθ,haɪt,faɪn,faɪnəɫi,haɪ,faɪnans,faɪt,faɪbə","a 271%, ə 133%, ɪ 117%, ɫ 115%, nʲ 107%"
iɑ,,,,,,,,,,,,,,,"antɛnə,tɛnɪs,kamkɔdə,d͡ʒɪnd͡ʒəbɹɛdman,dɛnt͡ʃə,d͡ʒɛlɪbin,məʃinɡʌn,ɛnt͡ʃɪlɑdə,kɹimt͡ʃiz,ɔtʌm","pʌnt͡ʃɪŋbaɡ,kaɹəsɛl,sɪɡəɹɛtbʌt,d͡ʒɪnd͡ʒəbɹɛdman,pinʌtbʌtə,sɪkɑdə,wɜkbɛnt͡ʃ,kamkɔdə,kɹɛdɪtkɑd,ɒɹaŋɡətan",,"sɪɹamɪk,sɪmɛnt,t͡ʃɪmni,zʌkinɪ,sʌmwɒt,lamt͡ʃɒp,sɪɹɪnd͡ʒ,sɪɹʌp,d͡ʒɜsi,sɪmkɑd",,,,,"sɪmɛnt,tɛnt,sɪmkɑd,ɪnhɛɹɪt,ɪmad͡ʒɪn,ʌntɪl,tɪmɪd,sɪɹɪnd͡ʒ,sɪns,dɔnɒb","d͡ʒ 308%, t͡ʃ 306%, n 201%, m 176%, ŋ 166%"
iɑŋ,,,,,"ɛnəd͡ʒi,ɡəzɛl,pɹɛzɪdənt,dɛlfɪniəm,d͡ʒəɹəɪniəm,lɪməzin,dʌmplɪŋ,məʊdɛm,bələʊni,ɛnt͡ʃɪlɑdə",,,,,,,,,,"ɔtʌm,məʊdɛm,ɛnt͡ʃɪlɑdə,d͡ʒɪɡsɔpʌzəɫ,sʌbməɹin,bɑbɛl,dʌmbɛl,məʃinɡʌn,d͡ʒʌstɪs,bɐnɑnəpil","ɛnt͡ʃɪlɑdə,wɜkbɛnt͡ʃ,vʌlt͡ʃə,d͡ʒɛm,d͡ʒɛlɪbin,ɛnd͡ʒɪn,ɡəzɛl,ɔtʌm,fɹɛnt͡ʃhɔn,ɪmad͡ʒɪn",,"bɐnɑnəpil,sʌbməɹin,lɪməzin,ɛnəd͡ʒi,sɪmɛnt,bɐnɑnə,məʃinɡʌn,məʊdɛm,ɛnt͡ʃɪlɑdə,ɔtʌm",,,,,"ɪmpʌls,bʌbəɫ,ɛnt͡ʃɪlɑdə,dʌbəɫ,sɪmɛnt,kʌməbʌnd,pɹɛzɪdənt,ɪndʌld͡ʒənt,wɜkbɛnt͡ʃ,adʌlt","d͡ʒ 410%, ʌ 398%, m 284%, ɛ 224%, t͡ʃ 164%"
iɑʊ,,,,,"kəlɪʒən,sɪɡəɹɛt,pəlismən,ɡəzɛl,pɹɛzɪdənt,ɹɪlɪd͡ʒən,dɪlɪd͡ʒənt,tɹɪliən,əɹɪd͡ʒɪnəɫi,djʊəɹiən","kɹaʊn,daʊn,saʊəkɹaʊt,saʊə,ʃaʊə,sʌnflaʊə,klaʊd,kɹaʊd,taʊn,maʊntɪn","bɜn,bɜnə,d͡ʒɑ,sɪnəmən,djʊəɹɪŋ,wʊmən,dwɔf,jʊəɹɪn,t͡ʃɪn,d͡ʒak","pʌnt͡ʃɪŋbaɡ,dɑtbɔd,bɑbɛl,dɑt,bɑk,bɑk,pɜl,pɑt,pʌlpɪt,daʃbɔd","skʌl,pʌnt͡ʃɪŋbaɡ,pɜl,bɑk,bɑk,pʌlpɪt,dɑt,bʌt,dʌsk,dɑk",,"dɪlɪd͡ʒənt,ɹɪlɪd͡ʒən,pɛlɪkən,stɪk,stɪk,sɪɡəɹɛt,tɪk,spɪt,kəlɪʒən,pɪd͡ʒən","sɪɡəɹɛtbʌt,sɪɡəɹɛt,skwɜtɡʌn,t͡ʃɛkbʊk,pɛlɪkən,t͡ʃɪk,swɒləʊbɜd,skɛlɪtən,skɜt,spɹɪŋ",,,"ɡəzɛl,pɐd͡ʒɑməz,t͡ʃɛkəz,məʃinɡʌn,t͡ʃɛspis,d͡ʒazmɪn,t͡ʃɛstnʌt,stɹɪŋt͡ʃiz,kaʃməʃin,d͡ʒʌd͡ʒ","t͡ʃɛkəz,stɹɪŋt͡ʃiz,t͡ʃɪwɑwə,kʌlt͡ʃə,skwɜtɡʌn,ɡəzɛl,t͡ʃɛkbʊk,sɪɡəɹɛt,t͡ʃɛsbɔd,wɜkbɛnt͡ʃ",,"siɜt͡ʃɪn,pɐd͡ʒɑməz,sɪnəmən,sɪɡəɹɛt,kaʃməʃin,lɪməzin,ʃiθ,sɪmɛnt,t͡ʃɛkəz,d͡ʒɜsi",,,,,"sɪlk,dɪlɪd͡ʒənt,kɪlt,kwɪlt,ɡɜl,dɑk,tɛnt,tɜn,bɜn,bɜd","t͡ʃ 375%, ŋ 231%, d͡ʒ 220%, ʒ 218%, ɜ 202%"
iɛ,,,,,"sizən,sidipləɪə,t͡ʃitə,izi,d͡ʒun,ʃandəliə,ɹisəntli,klit,dikɹis,ziəɹəʊ","mɑʃmɐləʊ,kɹəʊbɑ,slɒtməʃin,flaɪswɒtə,kləʊðslaɪn,makədəɪmiə,fɪʃnɛtstɒkɪŋz,mɛtɹənəʊm,mʌʃɹum,baθɹum","pɹəd͡ʒɛktə,laɪfd͡ʒakɪt,sɪftə,d͡ʒun,stɹɪkt,sɪks,tɹaktə,d͡ʒɛnəɹəɪtə,t͡ʃɪkpi,lɛktən","səʊləpanəɫ,satəlaɪtdɪʃ,sandkasəɫ,spəɪsʃʌtəɫ,məʊtəsaɪkəɫ,satəlaɪt,ʃʌtəɫ,fudpɹəʊsɛsə,ɡasəlin,kɑdɪnəɫ",,,"dandɪlaiən,tɪktɐktəʊ,stɹɪkt,kəɪkmɪks,fɹɪkʃən,satəlaɪtdɪʃ,stəɪʃənwaɡən,stalɐɡmaɪt,pɛlɪkən,lɛktən","stəɪʃənwaɡən,flataiən,skɛlɪtən,stɹəɪtd͡ʒakɪt,fɹutkəɪk,fɹɪkʃən,kɜlɪŋaiən,fɹəɪɡɹənt,dɹaɡənflaɪ,eəkəndɪʃənə",,,"fudpɹəʊsɛsə,ɪlɛktɹɪʃən,mɛtəɫdɪtɛktə,ɛksəsaɪzə,ɹɪsɛpʃənɪst,ɛksəsaɪz,ɪlɛktɹɪkt͡ʃeə,eəkəndɪʃənə,kəɪsədiə,ɐksɛləɹəɪʃən","pɹəd͡ʒɛktə,fudpɹəʊsɛsə,d͡ʒɛnəɹəɪtə,t͡ʃɪkɪnwaiə,ʃʌtə,faiəkɹakə,təɪpɹɪkɔdə,eəkɹaftkaɹiə,t͡ʃaɪnɐweə,tɛknɒləd͡ʒi",,"snəʊʃu,hu,ʃu,snəʊ,snak,θɹi,zʌkinɪ,ʃuhɔn,θɹɪfti,siɐnɛməni",,,,,"fɜnɪs,ʃʊə,ɔ,ɔ,vɔɪs,snəʊʃu,hu,fɑ,fʊt,fɹɪkʃən","ʃ 227%, e 124%, f 117%, s 104%, k 99%"
