,f,j,k,kʰ,l,m,n,p,pʰ,s,t,tʰ,t͡s,t͡sʰ,t͡ɕ,t͡ɕʰ,x,ɕ,ɻ,ʂ,ʈ͡ʂ,ʈ͡ʂʰ,∅
an,"ɡʌn,kɔ,bɔɪ,ʃeɪk,ɡəʊ,bɜn,pɔ,pleɪt,ɡʊəd,kleɪ",,"pɔt,bʌt,kʌt,pʊt,pɔ,kɔt,pɔɪnt,bɔɪ,bɔd,ʃeɪk","bɔɪ,pɔ,tɔɪ,pleɪ,pleɪ,pleɪt,ʃi,pʊə,ɛnd͡ʒɔɪ,bʌkɪt","eəkəndɪʃənə,ɡəʊldən,ɡəʊ,ɡleɪʃə,pəʊləbeə,kəmpeə,kəntɹəʊl,t͡ʃeəmən,ɡəʊld,bəʊ","bəʊ,dəʊ,ɡəʊ,bɑ,vɛt,bəʊn,bɛnd,ðat,ɹeɪnbəʊ,bəʊl","ɡəʊ,bəʊ,dju,vju,ju,ju,dəʊ,nju,bɔɪ,bɑ","bʌt,pʌs,bʌs,pleɪt,bɜd,pʌpɪt,bʌkɪt,pɔt,pʌb,dɛkəɹeɪt","sid,sad,ʃeɪk,seɪ,keɪk,pleɪt,teɪk,sɪɡəɹɛt,t͡ʃizkeɪk,sil","naʊ,vju,nju,nɛfju,nɛk,djʊəɹɪŋ,dju,valju,naɪt,ɡʊəd","bʊk,bɔɪ,pʊt,bɹeɪk,pɔ,bɹaɪt,pɔt,eɪt,pʊə,leɪt","ʃeɪk,dɛkəɹeɪt,keɪk,seɪ,əʊkeɪ,seɪf,teɪk,eɪfɪd,kleɪ,heɪzəlnʌt",,"kləʊk,klɛvə,jəʊk,kʊk,kʊk,klɒk,kəʊk,kəlɪʒən,ɡɑdənə,kleɪ",,,"pɔ,pʌs,bʌs,bʌt,kɒfi,kɔ,pɑk,bɑ,pʌblɪk,bɔɪ",,"kɒfi,faɪnd,ɡəʊldən,ðeɪ,əʊnli,bəʊ,ɡəʊld,bi,bi,ɒlmənd","vɛt,dɛf,d͡ʒanjuəɹi,ni,deɪ,nɛk,dəʊ,nɛfju,ɡəʊ,nju","valju,d͡ʒanjuəɹi,dafədɪl,dju,dɹɛs,dɛf,daɪɹɛkʃən,ɐsjum,ɹɛfəɹi,ʃɜt","ti,ʌvən,ivən,ivən,tɹi,ɹɛfəɹi,tɹavəl,sɛvən,θɹi,kandi","d͡ʒʌmp,ɡʊəd,tɔɪ,taiəd,eɪt,deɪt,pɔɪnt,bɔɪ,dɔn,dʌk","ɪ 17%, ə 14%, t 11%, n 10%, k 10%, l 9%, e 8%, d 7%, a 7%, ʊ 7%"
aɪ,,,"pʌb,eɪkɔn,adʌlt,mʌsəl,əbʌv,heɪzəlnʌt,bʊk,ʃeɪk,pʊt,kʊk","kalkjʊleɪt,t͡ʃizkeɪk,keɪk,paŋkeɪk,ʃampeɪn,kamp,ɜθkweɪk,ʃeɪp,weɪkʌp,ɛskeɪp","kənsɪstənt,ɐsɪstənt,ɔɪstə,peɪʃənt,dɪlɪd͡ʒənt,eəkəndɪʃənə,kɪt͡ʃən,kənsʌltənt,kəmpeə,ist","ðɛn,hʌnt,sɛntə,hɛd,vɛt,hɛl,ɹɛnt,sɛl,sɛnd,hɛlθi","kəntɪnju,vɒlkeɪnəʊ,wɪndəʊ,ju,ju,nju,vju,wɪntə,balkəni,dju","bɹɛd,hʌt,kwɪlt,ɡɹɪd,hɛd,tɔɪlɪt,hʌnt,bɔɪl,sɛl,pɔɪnt","pinʌt,kalkjʊleɪt,keɪs,ʃampeɪn,heɪzəlnʌt,teɪl,sɔt,kamp,ɛskeɪp,vɒlkeɪnəʊ","sneɪl,mɪl,nɛst,wɔtəmɛlən,mɛlt,nɛsɪsəɹi,mɛlən,mɪlk,mɪnɪt,mɛtəl","ɪɹɪɡeɪt,ɛskeɪp,ɛlɪfənt,eɪt,bʊk,skɛlɪtən,keɪk,ɐvɔɪd,neɪkɪd,tɔɪlɪt","ɛskeɪp,keɪk,t͡ʃizkeɪk,ɐvɔɪd,ɜθkweɪk,ɛlɪfənt,ɛd͡ʒukeɪʃən,skɛlɪtən,ɪɹɪɡeɪt,kwɪlt","ɪlɛktɹɪʃən,dɪlɪd͡ʒənt,ɹɪsɛpʃənɪst,fɒɹɪst,ɹɪlɪd͡ʒən,aɪɹɪs,aɪɹɪs,d͡ʒʌstɪs,valju,ɹɪspɒnsəbɪlɪti","ɡaɹɪd͡ʒ,kəlɪʒən,kɑneɪʃən,kalkjʊleɪt,ɛd͡ʒukeɪʃən,kɪt͡ʃən,kaʒuəl,balkəni,kaʃju,keɪd͡ʒ",,,"wɔ,kɒfi,bɔɪl,vɛt,kɔ,feɪl,valɪ,ɡɹeɪ,ɡɒd,weɪl",,,,"nɛst,stand,stɪl,and,ʌntɪl,ɔɪl,kɒntɛst,ɐvɔɪd,az,standəd",,"wɒnt,ant,ant,hʌnt,ʌntɪl,absənt,d͡ʒʌmp,ɐkaʊntənt,stʌmp,lʌmp","ɪ 19%, t 14%, n 11%, l 10%, k 10%, s 9%, ə 8%, e 6%, ɛ 6%, d 6%"
eɪ,"wɔm,lɛft,lɛft,jʌŋ,stɔm,mɪl,fɹɛʃ,kɔn,nɜv,mɪlk",,"pɔ,pʌb,tɔɪ,pɔɪnt,pʊʃ,stɔm,ɛɡ,pup,kɔ,pʌŋk",,"piəni,mɪliən,ɛnəmi,aɪlənd,pɪɹɐmɪd,mitɪə,məʊmɛntəm,dɪfɹənt,mɪɹə,mɛlən","kləʊðz,snəʊstɔm,bɛləʊz,snəʊ,stɔm,θɹəʊ,fləʊ,məʊmɛntəm,kɹəʊ,fɹiz","bɪləʊ,ɡɪlti,d͡ʒɪɹaf,d͡ʒɛləs,vaɪɹəs,wɪləʊ,ɡəʊld,laɪlək,ʃəʊldə,ɡəʊldən","stʌmək,pil,hɪl,pʌb,stʌmp,mɪl,stil,stɪl,sil,map","θɹɛd,flat,slaɪd,slaɪd,sil,sid,pil,θɹʌʃbɜd,flaʃ,flʌd",,,,"əbʌv,stɔm,avɹɪd͡ʒ,bɪɡsɪstə,bɪkʌm,ɔɪstə,snəʊstɔm,pɪɹɐmɪd,ɡɑbɪd͡ʒ,pʌb",,,,"kɒfi,kɒf,faɪl,ɹɪlaks,feɪl,fɪl,heɪl,mɪlkʃeɪk,vaɪɹəs,kɒkteɪl",,,"nɜv,nɛk,ni,sneɪl,sneɪk,lɛft,lɛft,nɜs,nɛst,θɹɛd",,,,"ɪ 16%, l 14%, s 11%, t 11%, ə 11%, m 8%, n 8%, k 7%, p 7%, i 7%"
i,,,,,"mitɪə,midiə,kliə,eə,peə,peə,baktiəɹiə,bɪɡsɪstə,feə,peəɹəntsɪnlɔ","pɹəʊsɛs,vakjumklinə,ðɛn,ɡʌn,pɹɪnsɛs,dɪsɛmbə,nəʊvɛmbə,bɛdʃit,pɛn,bʌs","ju,ju,stju,vju,dju,nju,wɔ,fju,stjuədɛs,wɔm","bat,ɹabɪt,dɪpɛndənt,tɜbɪd,bad,dɪvɛləp,pʌpɪt,baskɪt,badmɪntən,bɛləʊz","flat,plan,fɹɒɡ,klɒk,flaʃ,klɒθ,fɹɒst,plastɪk,planɪt,slantɪd",,"bʊk,plastɪk,last,lɪtəlsɪstə,ɛlɪfənt,skɛlɪtən,lɪp,ɹandəm,stɪk,stɪk","klɒk,fɹɒɡ,plastɪk,klɒθ,fɹɒst,dɹaɡənfɹut,teɪkkeəɹɒv,lɒk,kɪk,keɪk",,,"junɪvɜs,ɡladɪəʊləs,ɐnaləsɪs,ɪntɛstɪn,ɔdɪnəɹi,d͡ʒazmɪn,d͡ʒɛləs,tɛnɪs,d͡ʒʌstɪs,maŋɡəstin","klɛvə,tɹɛʒə,kwɑsɑ̃,kɹɔl,ɐɡɛn,kwin,təɡɛðə,kan,kʌvə,kɛmɪstɹi",,"siɐnɛməni,mɪnɪməm,maθɪmatɪks,mitɪə,ɐnɛməni,mɛni,maksɪməm,sʌnɪnlɔ,maɡnɪt,mɪnɪt",,,,,"wɒnt,wɒt,wɒʃ,wɒn,ɡɪv,ɡɪft,hʌnt,sʌmwɒt,wɔn,wʊd","ə 16%, ɪ 14%, t 12%, n 11%, s 11%, k 8%, l 8%, ɹ 7%, a 7%, d 6%"
in,,,,,"d͡ʒəɹeɪniəm,djʊəɹiən,kjʊəɹiəs,linɪənt,mətiəɹiəl,ziəɹəʊ,t͡ʃeəmən,kɒlənaɪz,klinə,eəkəndɪʃənə","nəʊvɛmbə,faɪbə,mʌðə,njuzpeɪpə,ɡɹandfɑðə,bɐnɑnə,spaɪdə,fɑðə,jus,ɡɑdənə",,"səpɔt,dəʊnʌt,ɪmpɔtənt,d͡ʒɪŋkɡəʊ,d͡ʒɪm,pəʊləbeə,ɔtʌm,bʌtəkʌp,ɪmpʌls,zəʊdiak","kwaiət,pɹaɪvət,kwɑsɑ̃,təɡɛðə,ɡɑdənə,ɡɑdən,kɹɪsanθəməm,pɹɪzən,kaɹət,kʌzən",,,,,,"ɪnɜʃə,ɪnəsənt,nɛbjʊlə,pɹaɪmmɪnɪstə,pɹəʊɡɹamə,ɹaɪnəʊ,sɪnəmən,lɪnɪn,ɔdɪnəɹi,anɪməl","ɡɑdənə,kwɑsɑ̃,bɐnɑnə,skanə,pɒpjʊlə,pɒpjʊleɪʃən,fɑðə,fɑðəɹɪnlɔ,kɹɪsanθəməm,təɡɛðə",,"dɪnaɪ,səsaiəti,satədeɪ,naɪn,saɪn,saɪn,sɪmfəni,sɪnəmən,ɹaɪnəʊ,siɐnɛməni",,,,,"ɡʊdbaɪ,avəkɑdəʊ,ɪnəsənt,haɪɐsɪnθ,aɪ,aɪ,jʊəɹanəs,wʊd,swɒmp,aɪdiə","ə 23%, ɪ 15%, n 14%, a 8%, m 8%, s 7%, ɹ 7%, t 7%, l 6%, k 6%"
iŋ,,,,,"kɒɹəl,faɪnəli,klinə,kɒmən,handəl,hamə,nidəl,kaməl,kliə,kɔməɹənt","faɪbə,nəʊvɛmbə,hamə,vakjumklinə,fɑmə,kjukʌmbə,faɪnəli,ʃadəʊ,faiəfaɪtə,klinə","məskitəʊ,switpəteɪtəʊ,pəlismən,mʌlbəɹitɹi,wɪspə,eɪnd͡ʒəl,stɹɔbəɹi,bəlun,d͡ʒanjuəɹi,haɪdɹeɪnd͡ʒə","sɪmbəl,satəlaɪt,pɹəʊɡɹamə,ɹəʊbɒt,pɹəʊɡɹam,handəl,tɹampəlin,ɹəʊp,ɹandəm,ləʊd","pɹɒbəbəl,pɹəvaɪd,pɹəʊɡɹamə,kləʊk,kaməl,plan,plʌmə,kɑd,kɹab,faɪbə",,"ɹəʊp,ɹəʊbɒt,pɹəʊɡɹamə,ɒpəɹə,steɪbəl,səʊləsɪstəm,ɹəʊst,eɪpɹəl,nəʊt,ləʊkəl","kʊk,kʊk,kləʊk,fɹɒɡ,klam,ɡɑlɪk,jəʊk,flaɪ,flaɪ,slaɪd",,,"kɒlənaɪz,ɛksəsaɪz,anɪməl,ɪnɜʃə,ɪkɒnəmi,klinə,faɪnəli,ɐnaləsɪs,ɛnəd͡ʒi,ɔdɪnəɹi","klinə,klɛvə,pɹəʊɡɹamə,klin,kliə,kaməl,kan,kɹaɪ,klam,kɹɪsanθəməm",,"ɹaɪnəʊ,faɪnəli,naɪn,mɪnɪməm,laɪtnɪŋ,anɪməl,siɐnɛməni,sɪnəmən,hamə,ɪkɒnəmi",,,,,"swɒmp,wɒnt,wɒn,kamp,ɡɒd,hamə,ɑm,aɪ,aɪ,faiəflaɪ","ə 20%, a 13%, ɪ 12%, n 10%, l 10%, ɹ 8%, m 7%, k 7%, t 7%, s 6%"
iɑ,,,,,,,,,,,,,,,"d͡ʒɛlɪfɪʃ,d͡ʒʌmp,t͡ʃɜp,ɔtʌm,kɛt͡ʃʌp,d͡ʒɪm,d͡ʒɜm,tɛknɒləd͡ʒi,ʃəʊldə,t͡ʃɜt͡ʃ","tɹɛʒə,d͡ʒʌd͡ʒ,d͡ʒɛlɪfɪʃ,tɛlɪvɪʒən,ʃɛl,tɹʌŋk,ʃɹɪŋk,t͡ʃɜt͡ʃ,ɡaɹɪd͡ʒ,ɡɑbɪd͡ʒ",,"t͡ʃɜp,sɪɹamɪk,t͡ʃɪp,ʃɪp,t͡ʃɛk,ʃeɪp,t͡ʃip,ʃip,nɛbjʊlə,d͡ʒɪm",,,,,"d͡ʒʌmp,swɒmp,ʃɹɪmp,ɑm,kamp,ɑmpɪt,stʌmp,ant,ant,ɪmpʌls","ɪ 19%, s 10%, l 10%, ə 10%, m 10%, t 10%, n 9%, p 8%, k 8%, ɛ 7%"
iɑŋ,,,,,"ɪmpɔtənt,kəmpeə,ɛlɪmənt,kəmplit,ɪmad͡ʒɪn,ɹɪmɛmbə,nəʊvɛmbə,d͡ʒɛndə,dɪsɛmbə,lamp",,,,,,,,,,"d͡ʒʌmp,d͡ʒɛndə,ɪmad͡ʒɪn,d͡ʒɪm,d͡ʒɪŋkɡəʊ,ɪmpɔtənt,dɪsɛmbə,ɪmpʌls,nəʊvɛmbə,d͡ʒɪnd͡ʒə","it͡ʃʌðə,ʃʊɡə,d͡ʒɪŋkɡəʊ,kʌlt͡ʃə,d͡ʒʌmp,fɛðə,d͡ʒɪnd͡ʒə,klam,dɒlfɪn,kwin",,"t͡ʃɜp,d͡ʒɪm,d͡ʒulaɪ,d͡ʒʌmp,ɪmad͡ʒɪn,t͡ʃɜt͡ʃ,t͡ʃɛk,d͡ʒɪnd͡ʒə,d͡ʒɜm,ʃɔt",,,,,"d͡ʒʌmp,ɪmpʌls,it͡ʃʌðə,ɪmpɔtənt,pʌmpkɪn,pʌŋk,kʌmpəs,stʌmp,kjukʌmbə,kamp","ə 18%, ɪ 15%, n 13%, m 12%, t 9%, p 8%, k 7%, l 7%, a 6%, s 6%"
iɑʊ,,,,,"kəlɪʒən,ɹɪfɹɪd͡ʒəɹeɪtə,eəkəndɪʃənə,dɪlɪd͡ʒənt,kɒlənaɪz,əɹɪd͡ʒɪnəli,tɛlɪvɪʒən,ɹɪlɪd͡ʒən,neɪt͡ʃə,kɒlɪflaʊə","sɛntə,swɒmp,hʌnt,kjukʌmbə,sʌnflaʊə,tjubə,səʊbə,jɔn,stʌmp,sʌn","ju,ju,fju,vju,sʌnflaʊə,kjukʌmbə,ʃaʊə,stjudənt,stju,jist","t͡ʃɜt͡ʃ,t͡ʃɜp,səpɔt,ʃɜt,stʌmp,skɹat͡ʃ,ʃʌtəl,kɛt͡ʃʌp,sʌm,tʌt͡ʃ","swip,swɪm,ʃɹɪmp,swɒmp,swit,stʌmp,skɹat͡ʃ,swɪŋ,swɪŋ,skwɪd",,"ɛlɪmənt,ɪmpʌls,kəmpʌlsəɹi,kənsʌltənt,teɪbəltɛnɪs,peɪʃənt,stjudənt,pɒpjʊleɪʃən,dɪstəns,ɛlɪfənt","skwɒt,skup,kjub,swip,swit,skɹat͡ʃ,twɪɡ,skweə,kəlɪʒən,kaʃju",,,"sɔd,t͡ʃɜt͡ʃ,sɔt,tiʃɜt,fɔl,kɛt͡ʃʌp,ʃɔt,ʃɔt,tɔl,səʊld͡ʒə","kʌlt͡ʃə,it͡ʃʌðə,tit͡ʃə,ɛd͡ʒukeɪʃən,tɹɛʒə,kɪt͡ʃən,pɹɛʃə,fit͡ʃə,kəlɪʒən,kwin",,"sɔd,neɪt͡ʃə,sɔt,ʃɔt,ʃɔt,tiʃɜt,fɔl,sʌk,naɪn,t͡ʃɜt͡ʃ",,,,,"swɒmp,d͡ʒʌmp,stʌmp,ʃɹɪmp,kamp,kaʊnt,sʌmwɒt,stamp,wɒnt,swip","ə 15%, ɪ 13%, s 13%, t 13%, n 11%, k 9%, l 8%, p 8%, m 6%, a 5%"
iɛ,,,,,"ɐksɛləɹeɪʃən,ɹɪsɛpʃənɪst,ʃakəl,ɪlɛktɹɪʃən,bɪɡsɪstə,ɛksəsaɪz,wɪsəl,baɪsɪkəl,səksid,t͡ʃiz",,,"saksəfəʊn,t͡ʃɒklət,səksid,sɛnd,sʌmwɒt,sɛkɹətɹi,ɹəʊbɒt,hʌndɹɪd,ɐksɛpt,ʌndəstand",,,"ɒstɹɪt͡ʃ,dɪstɹɪkt,bɪɡsɪstə,lɪɹɪks,stɹɪkt,aɡɹɪkʌlt͡ʃə,bɪkɒz,bɪldɪŋ,bʊʃ,eəkəndɪʃənə","plastɪk,klasɪkəlmjuzɪk,lɪtəlsɪstə,bɪɡsɪstə,aɡɹɪkʌlt͡ʃə,klɔɪstə,stɪk,stɪk,stɹɔ,stɹɪkt",,,"ɛksəsaɪz,ɪlɛktɹɪʃən,ɹɪsɛpʃənɪst,ɪlɛktɹɪsɪti,bɪɡsɪstə,dɪstɹɪkt,d͡ʒʌstɪs,səʊləsɪstəm,ɪntɹɛstɪŋ,ɐksɛləɹeɪʃən","kɹeɪn,kɹeɪn,d͡ʒaz,t͡ʃɪkɪn,t͡ʃɪn,pɹaktɪs,kɹeɪzi,t͡ʃeɪn,t͡ʃiz,klin",,"maɡnɪt,mɪks,maθɪmatɪks,nɛkst,ni,sɪks,hʌni,hʌndɹɪd,sɛnd,sɛks",,,,,"wɒnt,hʌnt,az,ɛnd,fʌnd,d͡ʒɔɪnts,kɜvd,ɒv,avɹɪd͡ʒ,ant","ɪ 17%, s 14%, t 13%, ə 11%, k 10%, n 9%, ɹ 8%, l 6%, ɛ 6%, a 5%"
