,f,j,k,kʰ,l,m,n,p,pʰ,s,t,tʰ,t͡s,t͡sʰ,t͡ɕ,t͡ɕʰ,x,ɔ,ɕ,ə,ɻ,ʂ,ʈ͡ʂ,ʈ͡ʂʰ,∅
an,"no (0.9),skid (0.93),ok (0.92),dash (0.92),uh (0.92)",,"ox (0.89),gun (0.94),visas (0.96),visa (0.97),cod (0.93)","brew (0.97),cubs (0.98),buy (0.95),lien (0.98),mall (0.95)","ox (0.92),uh (0.87),bra (0.92),kung (0.95),mud (0.92)","pee (0.85),pea (0.9),mud (0.92),rug (0.9),ye (0.77)","pee (0.87),pea (0.92),rug (0.9),poo (0.97),mud (0.93)","rack (0.95),mag (0.95),fax (0.95),lug (0.96),cone (0.97)","nods (0.95),doll (0.97),rent (0.97),beg (0.97),rod (0.95)","ok (0.95),uh (0.93),skid (0.92),eh (0.95),pee (0.9)","lug (0.97),tow (0.92),a (0.94),lugs (0.95),bun (0.93)","lug (0.95),mop (0.93),knelt (0.98),nods (0.97),bob (0.98)","uh (0.85),ox (0.93),ban (0.9),vow (0.93),tug (0.9)","vow (0.93),fry (0.92),uh (0.89),ox (0.92),tar (0.96)",,,"ok (0.88),den (0.93),rut (0.95),ox (0.9),skid (0.96)",,,,"war (0.94),cot (0.95),ah (0.89),ox (0.88),shy (0.91)","san (0.91),war (0.95),in (0.91),rut (0.96),colt (0.96)","war (0.93),ban (0.92),lakh (0.97),ox (0.91),gun (0.94)","war (0.95),nats (0.92),acre (0.97),lakh (0.97),ox (0.92)","kung (0.96),ox (0.9),cot (0.94),bra (0.94),hue (0.94)"
aɪ,,,"us (0.94),hop (0.94),bye (0.95),ski (0.95),cod (0.93)","hop (0.96),rink (0.97),elk (0.91),bats (0.96),smalltext (0.93)","ivy (0.91),fur (0.95),lax (0.94),eh (0.93),gut (0.94)","me (0.92),pee (0.88),bee (0.93),pea (0.89),ye (0.78)","pee (0.88),me (0.92),rug (0.9),eh (0.94),bee (0.93)","ski (0.96),bye (0.95),leg (0.95),hem (0.92),jaw (0.94)","mom (0.93),us (0.95),ski (0.94),fan (0.97),bye (0.95)","ok (0.88),hop (0.91),colt (0.93),pee (0.88),rut (0.95)","peg (0.98),flea (0.97),gum (0.91),leg (0.94),jaw (0.96)","mom (0.96),gum (0.93),flea (0.96),teddy (0.97),prom (0.97)","tar (0.94),rut (0.97),hop (0.93),awry (0.96),colt (0.96)","dad (0.96),tar (0.95),elk (0.92),brew (0.95),me (0.89)",,,"hop (0.92),colt (0.96),shy (0.93),bay (0.94),me (0.83)",,,,,"in (0.92),war (0.94),up (0.92),bay (0.93),uh (0.82)","war (0.96),hop (0.92),shy (0.94),in (0.91),awry (0.94)","war (0.95),shy (0.93),tar (0.94),hop (0.94),dad (0.95)","war (0.89),eh (0.95),uh (0.9),fur (0.92),me (0.92)"
eɪ,"adam (0.92),my (0.84),lax (0.88),jaw (0.95),by (0.88)",,,,"my (0.91),pea (0.9),bud (0.94),uh (0.91),ivy (0.88)","pea (0.89),ye (0.78),me (0.92),pee (0.88),bud (0.94)","pea (0.89),ye (0.79),pee (0.87),me (0.93),eh (0.95)","pea (0.92),rack (0.96),cog (0.96),bye (0.94),lugs (0.96)","fan (0.95),pea (0.91),adam (0.95),bud (0.95),bye (0.96)",,,,"vow (0.96),bra (0.94),arm (0.94),rack (0.95),my (0.88)",,,,"pea (0.89),by (0.89),me (0.92),lax (0.88),us (0.92)",,,,,,"no (0.91),uh (0.92),pea (0.89),am (0.95),is (0.89)",,
i,,,,,"ye (0.87),he (0.91),in (0.9),airbag (0.95),lice (0.92)","ye (0.8),mud (0.93),me (0.89),pea (0.89),bee (0.95)","ye (0.83),mud (0.91),eh (0.95),me (0.89),bee (0.95)","fig (0.97),dei (0.93),dip (0.97),pita (0.97),leaf (0.98)","gum (0.93),nod (0.94),pin (0.95),echo (0.97),iris (0.97)",,"fig (0.96),nip (0.96),imo (0.95),slim (0.96),rupee (0.95)","nod (0.96),owl (0.96),tho (0.97),mats (0.99),camo (0.97)",,,"puck (0.97),bye (0.97),ego (0.97),radio (0.97),leptin (0.96)","yell (0.98),taps (0.96),chirp (0.97),vibrate (0.98),buzzer (0.99)",,,"fig (0.92),mon (0.94),airbag (0.96),des (0.94),aces (0.95)",,,,,,"ye (0.88),ah (0.91),eh (0.94),sap (0.93),ax (0.83)"
in,,,,,"fares (0.97),go (0.93),milfs (0.99),hob (0.92),fox (0.96)","wister (0.9),hob (0.95),oat (0.94),oral (0.97),ye (0.8)",,"by (0.88),fig (0.9),bay (0.93),us (0.94),tab (0.95)","mock (0.97),scum (0.97),by (0.87),nods (0.97),jews (0.98)",,,,,,"egen (0.9),at (0.96),hunt (0.93),cadre (0.95),puck (0.95)","via (0.92),taps (0.96),filed (0.97),brews (0.98),brew (0.97)",,,"java (0.96),kink (0.98),gunmen (0.98),cadets (0.98),fauna (0.98)",,,,,,"hob (0.96),wister (0.9),och (0.96),odor (0.93),orcs (0.95)"
iŋ,,,,,"we (0.97),go (0.94),fox (0.95),polls (0.93),axes (0.91)","ye (0.8),wister (0.89),oat (0.94),hob (0.94),elm (0.94)","ye (0.81),pee (0.88),yo (0.93),me (0.91),ibn (0.86)","on (0.93),nut (0.96),oval (0.98),poll (0.96),duly (0.97)","calm (0.97),emoji (0.97),on (0.92),adam (0.94),nods (0.98)",,"on (0.94),prev (0.92),top (0.98),oval (0.95),chan (0.94)","on (0.94),tap (0.94),bond (0.96),calm (0.97),emoji (0.96)",,,"be (0.92),egen (0.95),at (0.97),go (0.94),axis (0.96)","taps (0.96),tap (0.95),egen (0.93),via (0.92),filed (0.96)",,,"axes (0.95),axis (0.98),gilt (0.94),at (0.96),prism (0.97)",,,,,,"hob (0.94),née (0.93),lice (0.94),sup (0.96),wister (0.88)"
iɑ,,,,,,,,,,,,,,,"am (0.93),chia (0.96),a (0.95),sencers (0.96),jog (0.93)","yell (0.97),och (0.93),via (0.92),pushpin (0.96),rude (0.97)",,,"gum (0.94),fig (0.93),rug (0.93),bunt (0.93),alexa (0.94)",,,,,,"am (0.93),uh (0.94),me (0.92),kung (0.9),oh (0.94)"
iɑŋ,,,,,"raft (0.97),spa (0.93),jails (0.97),yum (0.91),lice (0.94)",,"pea (0.91),ivy (0.9),me (0.9),yum (0.91),rug (0.91)",,,,,,,,"fund (0.96),kors (0.97),uni (0.93),pea (0.92),fry (0.94)","fund (0.98),drove (0.98),met (0.96),dorm (0.96),nail (0.95)",,,"alaska (0.98),van (0.97),bugs (0.97),slaw (0.97),spa (0.94)",,,,,,"pea (0.91),am (0.91),rug (0.9),ivy (0.9),spa (0.92)"
iɑʊ,,,,,"colt (0.97),spa (0.95),bee (0.97),elk (0.94),hop (0.92)","bee (0.95),pee (0.87),me (0.9),mud (0.92),rug (0.91)","pee (0.87),bee (0.95),me (0.9),rug (0.91),mud (0.92)","tan (0.94),fig (0.93),log (0.95),gum (0.94),dei (0.94)","gum (0.94),tan (0.97),die (0.95),fin (0.97),mock (0.97)",,"tan (0.95),on (0.9),bun (0.93),gum (0.92),fontsize (0.94)","tan (0.94),die (0.95),gum (0.9),tap (0.91),on (0.91)",,,"hop (0.93),tap (0.95),oil (0.92),tug (0.94),pee (0.87)","tap (0.97),pee (0.88),taps (0.97),tug (0.93),bond (0.95)",,,"pad (0.96),die (0.96),tan (0.95),ok (0.86),auf (0.9)",,,,,,"pee (0.86),ant (0.95),me (0.92),rug (0.92),tan (0.93)"
iɛ,,,,,"ye (0.89),we (0.96),thy (0.98),of (0.93),awry (0.94)","ye (0.83),bee (0.94),me (0.9),ivy (0.89),ant (0.94)","ye (0.82),pee (0.86),eh (0.95),bee (0.93),me (0.92)","dei (0.94),fig (0.94),bud (0.92),is (0.94),une (0.93)","fig (0.94),mid (0.94),leaf (0.99),pic (0.96),nod (0.96)",,"fig (0.92),dei (0.94),imo (0.96),row (0.9),foil (0.98)","nod (0.96),imo (0.94),tho (0.96),owl (0.93),die (0.95)",,,"sum (0.97),we (0.96),une (0.93),node (0.97),hereof (0.94)","gifts (0.99),taps (0.96),tokens (0.98),gift (0.99),avid (0.97)",,,"fig (0.95),imo (0.96),of (0.93),dei (0.93),bud (0.94)",,,,,,"ye (0.88),eh (0.95),ah (0.91),I (0.94),in (0.87)"
