,f,j,k,kʰ,l,m,n,p,pʰ,s,t,tʰ,t͡s,t͡sʰ,t͡ɕ,t͡ɕʰ,x,ɕ,ɻ,ʂ,ʈ͡ʂ,ʈ͡ʂʰ,∅
an, ,, , , , , , , , , , ,, ɪ,,, ,, ʊ, a ʊ, , , 
aɪ,,, , , ə , , , , , , , , , ,,, ,,,, ,, 
eɪ, ,, ,, , , , , ,,,, ,,,, ,,, ,,,
i,,,,, ə, , , , ,, , ,,, , ,, ,,,,, 
in,,,,, ə, ,, , ,,,,,, ə, ə,, ,,,,, 
iŋ,,,,, , ə, , , ,, ɪ , ɪ,,, , ,, a ɪ,,,,, 
iɑ,,,,,,,,,,,,,,, , ,, ,,,,, 
iɑŋ,,,,, ə,,,,,,,,,, m, ,, ,,,,, 
iɑʊ,,,,, ə, , , , ,, ə, ,,, , ,, ,,,,, 
iɛ,,,,, ,,, ,,, , ,,, , ,, ,,,,, 
iɛn,,,,, ə, , , , ,, ɪ , ,,, , ,, ,,,,, 
iɤʊ,,,,, ,, ,,,,,,,, , ,, ɪ ,,,,, 
iʊŋ,,,,,,,,,,,,,,,, ,, ,,,,,
u, ,, , , , , , , , ə , ə, , , ,,, ,, , ə , , , 
uan,,, , , ,,,,, , , , ,,,, a ,, ,, , , 
uaɪ,,, , ə ,,,,,,,,,,,,, ə ,,, ,,, 
ueɪ,,, , ,,,,,, , ə, t, , ,,, ,, ə, ,, , 
uɑ,,, ,,,,,,,,,,,,,, ,,, , ,, 
uɑŋ,,, , ,,,,,,,,,,,,, ,,, , , , 
uɔ,,, , a , , ,, , , , , , , ,,, ,, , , ,, 
uən,,, , , ,,,,, , , , , ,,, ,,, ,s ,s , 
y,,,,,ɹ ,,j ,,,,,,,, , ,, ,,,,,j u
yn,,,,,,,,,,,,,,, , ,, ə ,,,,, 
yœ,,,,, ,,,,,,,,,, , ,, ,,,,, 
yɛn,,,,,,,,,,,,,,, , ,, ,,,,, 
ɑ, ,, , , , , , , , , , , , ,,, ,,, , , ,
ɑŋ, ,, , , , , , , , ə, , , ə, ,,, ,,, , , , ə
ɑɻ,,,,,,,,,,,,,,,,,,,,,,, 
ɑʊ,,, , , , , , l, , , , , , ,,, ,,, , , ,
ən, ,, , ,, ,, ,, ə,,,,,,, ,,j , , , ,
əŋ, n,, , , ʊ, , , , ,, ɪ , e ɪ, , ,,, ,, , , , ,
ɤʊ, ,, , , , n,,,,, , , ,,,, ,, , , , , 
ɨ,,,,,,,,,, ,,, , ,,,,,,,,,
ɯʌ,,, ,k , , ,,,, , , , , ,,, ,, , , , , 
ɻ,,,,,,,,,,,,,,,,,,,, , , ,
ʊŋ,, , , , ,, ,,, ,ɪ , , ɪ , ,,, ə ,, ,, , ,
,,,,,,,,,,,,,,,,,,, ,,,,
