,f,j,k,kʰ,l,m,n,p,pʰ,s,t,tʰ,t͡s,t͡sʰ,t͡ɕ,t͡ɕʰ,x,ɔ,ɕ,ə,ɻ,ʂ,ʈ͡ʂ,ʈ͡ʂʰ,∅
an,"skid (0.97),tow (0.96),hull (0.97),bust (0.97),lax (0.92)",,"cod (0.93),nats (0.93),visas (0.93),ox (0.9),gun (0.95)","brew (0.97),cubs (0.98),vow (0.94),buy (0.96),buyer (0.97)","rug (0.93),toe (0.97),nats (0.91),tow (0.96),kung (0.95)","pea (0.88),rug (0.92),ye (0.78),cur (0.93),mud (0.93)","rug (0.9),pee (0.86),pea (0.92),yum (0.93),mud (0.94)","mag (0.93),cob (0.92),stoop (0.98),cone (0.98),rack (0.95)","rent (0.98),rod (0.95),stoop (0.97),beg (0.98),pin (0.96)","skid (0.97),tow (0.94),pee (0.84),colt (0.93),rug (0.92)","tow (0.95),vow (0.95),lug (0.94),boob (0.97),rod (0.96)","vow (0.95),tow (0.95),knelt (0.97),rod (0.96),sues (0.97)","ban (0.92),tow (0.95),vow (0.94),nats (0.93),tug (0.93)","vow (0.95),nats (0.92),tow (0.95),brew (0.95),tug (0.93)",,,"bay (0.95),fun (0.95),rut (0.95),née (0.94),yo (0.92)",,,,"war (0.96),nats (0.9),shy (0.94),cot (0.92),lot (0.97)","colt (0.96),rife (0.96),cod (0.94),war (0.95),in (0.92)","nats (0.92),ban (0.95),war (0.92),bans (0.96),hunts (0.96)","nats (0.93),war (0.95),acre (0.97),ban (0.91),brew (0.93)","nats (0.91),hob (0.92),kung (0.94),ox (0.92),toe (0.96)"
aɪ,,,"us (0.93),yo (0.94),dog (0.96),cod (0.94),hop (0.94)","hop (0.94),us (0.95),smalltext (0.95),fox (0.96),bats (0.97)","lax (0.93),ivy (0.91),gut (0.94),rug (0.92),eh (0.92)","pea (0.88),me (0.92),ye (0.8),cur (0.92),yo (0.94)","pee (0.9),me (0.93),rug (0.89),eh (0.94),yo (0.94)","ski (0.95),hem (0.92),cog (0.96),us (0.94),abs (0.91)","hem (0.94),us (0.93),ski (0.95),bye (0.96),dew (0.96)","colt (0.97),awry (0.96),bee (0.97),ok (0.86),gut (0.94)","rut (0.95),rack (0.98),peg (0.97),buds (0.97),slim (0.97)","prom (0.97),mom (0.96),nods (0.97),repo (0.96),flea (0.97)","hop (0.92),rut (0.95),awry (0.97),feds (0.96),spa (0.94)","dad (0.96),brew (0.97),fund (0.96),sip (0.97),hop (0.95)",,,"bay (0.95),colt (0.97),yo (0.91),in (0.91),hop (0.92)",,,,,"in (0.92),bee (0.96),bay (0.96),colt (0.98),hop (0.91)","hop (0.92),war (0.96),awry (0.94),in (0.91),shy (0.94)","hop (0.94),war (0.96),shy (0.94),sip (0.95),in (0.89)","uh (0.93),am (0.93),eh (0.95),yo (0.93),me (0.93)"
eɪ,"lax (0.91),adam (0.92),pea (0.93),lugs (0.96),rims (0.98)",,,,"uh (0.92),my (0.91),pea (0.9),bud (0.94),alma (0.92)","pea (0.88),ye (0.82),me (0.89),bud (0.94),elm (0.93)","pea (0.89),ye (0.79),eh (0.95),me (0.93),pee (0.87)","pea (0.91),rack (0.95),bye (0.96),bud (0.95),rue (0.95)","pea (0.91),adam (0.94),fan (0.95),buds (0.97),bud (0.96)",,,,"vow (0.96),rack (0.96),race (0.95),bra (0.93),pee (0.88)",,,,"pea (0.9),lax (0.92),us (0.9),bud (0.93),bay (0.93)",,,,,,"is (0.92),facie (0.96),race (0.94),am (0.9),cod (0.92)",,
i,,,,,"ye (0.87),airbag (0.97),airbags (0.96),he (0.9),arts (0.93)","ye (0.81),pea (0.89),me (0.87),elm (0.94),cob (0.9)","ye (0.83),me (0.9),eh (0.95),rug (0.9),bin (0.93)","fig (0.95),dei (0.91),pea (0.89),jury (0.96),pita (0.97)","adam (0.95),nod (0.96),iris (0.97),pin (0.95),ape (0.95)",,"rupee (0.97),fig (0.93),slim (0.96),bro (0.95),imo (0.95)","nod (0.97),nods (0.98),owl (0.96),camo (0.95),bond (0.96)",,,"puck (0.98),at (0.95),bye (0.97),radio (0.96),ego (0.97)","taps (0.95),vibrate (0.99),rover (0.98),mars (0.97),air (0.94)",,,"mon (0.94),auf (0.92),aces (0.95),airbag (0.96),fig (0.92)",,,,,,"ye (0.85),eh (0.96),ah (0.93),am (0.88),fur (0.92)"
in,,,,,"fares (0.97),desc (0.95),ye (0.83),ferry (0.96),wister (0.87)","wister (0.9),ye (0.81),oral (0.97),ape (0.95),pea (0.87)",,"pea (0.89),fig (0.9),by (0.85),us (0.94),slim (0.96)","mock (0.97),sudo (0.95),scum (0.96),nods (0.96),by (0.88)",,,,,,"at (0.95),dean (0.96),egen (0.91),hunt (0.93),campus (0.96)","via (0.93),taps (0.96),egen (0.92),brew (0.95),filed (0.97)",,,"java (0.95),gilt (0.97),figs (0.95),thai (0.97),hob (0.92)",,,,,,"hob (0.96),wister (0.92),och (0.96),ax (0.85),oat (0.94)"
iŋ,,,,,"axes (0.89),go (0.94),cock (0.95),listswas (0.95),polls (0.94)","ye (0.8),me (0.89),wister (0.88),adam (0.94),oat (0.92)","ye (0.82),me (0.91),yo (0.92),hob (0.9),axes (0.91)","num (0.93),adam (0.94),pita (0.95),poll (0.95),on (0.91)","adam (0.94),calm (0.97),emoji (0.97),nods (0.98),on (0.92)",,"on (0.92),rupee (0.96),fontsize (0.94),oust (0.97),laid (0.97)","on (0.94),tap (0.93),bond (0.97),nods (0.97),calm (0.96)",,,"be (0.92),egen (0.94),at (0.97),axis (0.98),axes (0.96)","via (0.92),egen (0.94),tap (0.94),axes (0.92),taps (0.95)",,,"axes (0.94),axis (0.97),gilt (0.95),née (0.9),at (0.96)",,,,,,"hob (0.94),née (0.93),axes (0.89),zen (0.95),chi (0.94)"
iɑ,,,,,,,,,,,,,,,"am (0.95),lip (0.91),egen (0.94),wister (0.92),chia (0.95)","yell (0.95),och (0.94),egen (0.93),via (0.93),adam (0.94)",,,"gum (0.93),fig (0.93),rug (0.93),alexa (0.94),bee (0.94)",,,,,,"am (0.94),uh (0.91),me (0.92),pea (0.92),kung (0.91)"
iɑŋ,,,,,"raft (0.97),lice (0.95),jails (0.97),alexa (0.9),roads (0.98)",,"yum (0.91),ivy (0.91),mums (0.97),coed (0.96),alexa (0.92)",,,,,,,,"uni (0.94),kors (0.97),fund (0.97),turd (0.97),bowl (0.96)","fund (0.98),drove (0.98),nail (0.96),dads (0.97),cock (0.96)",,,"slaw (0.98),lice (0.95),van (0.97),bugs (0.96),alexa (0.91)",,,,,,"pea (0.92),chi (0.96),am (0.93),ivy (0.9),hen (0.97)"
iɑʊ,,,,,"bee (0.96),colt (0.94),ok (0.9),me (0.9),elk (0.92)","me (0.92),bee (0.93),gum (0.91),pee (0.88),ant (0.95)","pee (0.89),me (0.92),rug (0.9),bee (0.93),yo (0.94)","tan (0.95),gum (0.94),fig (0.93),pita (0.97),log (0.95)","gum (0.95),adam (0.94),die (0.95),tan (0.96),fin (0.97)",,"tan (0.95),on (0.9),pee (0.83),gum (0.91),auf (0.89)","tan (0.95),die (0.96),tap (0.89),pad (0.97),fin (0.98)",,,"hop (0.94),jet (0.96),mayo (0.95),tap (0.91),ball (0.97)","tap (0.96),die (0.93),pee (0.9),taps (0.96),och (0.93)",,,"pad (0.96),tan (0.95),die (0.96),ok (0.86),auf (0.9)",,,,,,"me (0.92),ant (0.92),yo (0.94),pee (0.91),elk (0.91)"
iɛ,,,,,"ye (0.89),thy (0.97),awry (0.95),in (0.9),of (0.92)","ye (0.84),elm (0.94),bee (0.94),cob (0.91),ant (0.93)","ye (0.82),pee (0.85),yo (0.95),eh (0.96),oh (0.95)","dei (0.94),fig (0.95),is (0.93),bud (0.93),imo (0.96)","fig (0.96),dei (0.92),leaf (0.99),bud (0.93),mid (0.91)",,"fig (0.92),imo (0.96),dei (0.94),slim (0.96),row (0.9)","imo (0.94),nod (0.96),tho (0.97),owl (0.94),foil (0.99)",,,"sum (0.95),is (0.94),be (0.94),une (0.93),hereof (0.94)","sum (0.96),avid (0.94),axes (0.91),tokens (0.98),geek (0.98)",,,"fig (0.93),dei (0.95),ye (0.85),imo (0.94),of (0.94)",,,,,,"ye (0.89),in (0.88),une (0.94),I (0.95),ah (0.88)"
