,f,j,k,kʰ,l,m,n,p,pʰ,s,t,tʰ,t͡s,t͡sʰ,t͡ɕ,t͡ɕʰ,x,ɕ,ɻ,ʂ,ʈ͡ʂ,ʈ͡ʂʰ,∅
an,"crimes_,crime_,violation_,deviate_,violations_,infringing_,infringement_,offense_,transgressions_,offenses_",,"beginnings_,begun_,touched_,rethinking_,excited_,forward_,start_,opens_,starting_,anxious_","start_,opens_,begun_,open_,started_,opened_,begins_,starts_,began_,peek_","rattan_,dribble_,milfs_,wicker_,rotting_,delphinium_,virginia_,hyacinth_,fashioned_,starf_","sale_,auctions_,auction_,ebay_,southeast_,southwest_,west_,oat_,east_,sold_","northeast_,southeast_,northwest_,southwest_,eastern_,northwestern_,northeastern_,southeastern_,north-west_,west_","boards_,plank_,plywood_,planks_,decks_,flooring_,panels_,tabletop_,floors_,editions_","benches_,bench_,decks_,tortilla_,griddle_,platter_,burgers_,tables_,table_,panels_","post-season_,regular-season_,championship_,postseason_,playoff_,playoffs_,tournament_,runner-up_,semifinals_,quarterfinals_","sling_,avons_,backpacks_,belt_,buckle_,belts_,fisting_,load_,diaper_,bench_","squats_,bench_,sling_,tray_,stools_,sac_,benches_,ballistic_,dugout_,springs_","suspensions_,sponsor_,suspending_,suspension_,suspend_,dish_,suspended_,veto_,sponsorship_,championship_","dishes_,dish_,restaurant_,supper_,bistro_,tapas_,diner_,lunch_,entrees_,silverware_",,,"seas_,ocean_,sea_,marine_,coastline_,oceanic_,beachfront_,maritime_,starfish_,beach_",,"contaminated_,polluted_,pollute_,however_,polluting_,contamination_,infection_,infected_,infectious_,pollution_","mountain_,shining_,ridge_,shone_,top_,twinkling_,solitaire_,hills_,tops_,mountains_","battlefield_,battles_,battlefields_,wartime_,combat_,war_,fronts_,battle_,warfare_,display_","battles_,battlefield_,hillside_,turrets_,battle_,mines_,turret_,war_,hilltop_,vineyard_","levitra_,install_,cialis_,installations_,mounting_,installer_,repo_,installation_,reassuring_,mounted_"
aɪ,,,"changes_,alterations_,improvements_,rethinking_,rewrite_,altering_,start_,change_,alteration_,re-write_","start_,begin_,begins_,starting_,starts_,begun_,started_,opens_,commenced_,began_","fashioned_,rotting_,optimist_,non-conference_,jewish_,unreferenced_,hollywood_,homegrown_,virginia_,ole_","auction_,sale_,auctions_,buyers_,auctioneer_,buyer_,sold_,buy_,seller_,bidder_","eastern_,oldest_,women_,female_,daughter_,northeast_,girls_,male_,men_,daughters_","editions_,reprints_,decks_,consoles_,reprint_,edition_,defeat_,proofreading_,defeating_,shuffle_","decks_,bidding_,auction_,auctions_,benches_,faction_,sellers_,deck_,bidders_,siding_","post-season_,tournament_,championship_,finals_,playoff_,semifinals_,quarterfinals_,postseason_,playoffs_,tourney_","bags_,changer_,suitcase_,briefcase_,bag_,pocket_,backpacks_,belts_,wil_,diaper_","womb_,sling_,bench_,egg_,belted_,dugout_,seats_,pews_,benches_,baby_","sponsor_,championship_,playoff_,championships_,finals_,post-season_,sponsoring_,tournament_,sponsorship_,sponsorships_","supper_,lunch_,dish_,salads_,playoff_,chard_,dishes_,veg_,luncheon_,banquet_",,,"ocean_,sea_,seas_,beach_,coastline_,marine_,beachfront_,reef_,dolphins_,reefs_",,,"mountain_,top_,choosing_,hill_,hills_,choose_,shining_,mountains_,ridge_,solitaire_","choosing_,choose_,selecting_,chooses_,chosen_,choice_,selector_,dropdown_,selects_,nuclear_","demolition_,selecting_,grouping_,battles_,picking_,choosing_,demolish_,foreclosure_,faction_,choose_","sweetest_,tlie_,excepting_,beloved_,nicest_,safest_,wil_,saddest_,cuter_,funeral_"
eɪ,"airplane_,aircraft_,flying_,airliner_,airplanes_,jet_,pilots_,planes_,aviation_,fly_",,,,"categorized_,classifications_,categories_,classification_,classifying_,categorize_,categorization_,categorised_,category_,subcategories_","beauty_,perfection_,beauties_,enzymatic_,flawless_,daily_,beautifully_,exquisite_,every_,perfect_","inteira_,apto_,inner_,inteiro_,inside_,rearview_,interior_,vuitton_,enzymatic_,lingerie_","northern_,northeastern_,southeastern_,north-eastern_,southern_,north-western_,northwestern_,south-western_,southwestern_,south-eastern_","allocated_,matched_,allocating_,allocation_,allocate_,configured_,allotted_,allocations_,configure_,configuring_",,,,"accompaniment_,concerto_,soloist_,solo_,solos_,soloists_,walking_,recital_,orchestral_,symphony_",,,,"blackness_,blacks_,black_,white_,ebony_,bleached_,stallion_,clam_,skinned_,whites_",,,,"starf_,bugaboo_,scarlet_,redwood_,michigan_,defensive_,canyons_,garcinia_,hjem_,heaviest_",,
i,,,,,"power_,motivation_,effectively_,efficiency_,efficiently_,productivity_,powers_,practice_,density_,willpower_","enigma_,née_,pseudonym_,mellitus_,goat_,della_,aureus_,whit_,masks_,identities_","infant_,newborn_,della_,sweetly_,born_,maternal_,infants_,strongly_,delle_,teenage_","map_,rubric_,designations_,subtype_,designation_,graph_,epithet_,score_,variant_,averages_","ticks_,scores_,masks_,score_,ticked_,mask_,chip_,bag_,coin_,checker_",,"weakly_,similarly_,persistently_,subtly_,expertly_,smartly_,systematically_,strategically_,sparsely_,solidly_","weakly_,sweetly_,tentatively_,delicately_,persistently_,strongly_,subtly_,hotly_,forcefully_,intelligently_",,,"painstakingly_,meticulously_,highly_,richly_,skillfully_,intricately_,systematically_,powerfully_,multiplier_,intensely_","simulator_,synthesizer_,emulator_,sequencer_,recorder_,controllers_,car_,instrument_,emulation_,analyzer_",,"energies_,astrological_,direction_,regression_,shape_,forward_,horoscope_,interpersonal_,consolidation_,archetypes_",,,,,"overwhelmingly_,largely_,adversely_,unsurprisingly_,mainly_,disapproval_,specifically_,principally_,primarily_,strongly_"
in,,,,,"territories_,neighbouring_,territory_,boundaries_,contiguous_,borders_,platinum_,resource_,neighboring_,communities_","immigrants_,immigrated_,banknotes_,emigration_,emigrated_,ballots_,emigrants_,passports_,suffrage_,refugees_",,"marker_,sea_,borders_,coastline_,markers_,waterfront_,harbor_,nautical_,pens_,map_","postcards_,souvenir_,postcard_,goods_,banknotes_,currency_,coins_,passports_,artwork_,wares_",,,,,,"urgently_,lending_,tightening_,bonds_,currency_,secured_,monetary_,foreigners_,loosening_,bond_","violins_,foreigners_,cash_,oboe_,plea_,trumpet_,violin_,bond_,urgently_,trumpets_",,"bullish_,attuned_,resonance_,bearish_,horizons_,tonal_,excited_,longer-term_,nucleus_,neckline_",,,,,"consonants_,syllable_,vowels_,immigrants_,syllables_,emigration_,immigration_,attracting_,vocals_,multicultural_"
iŋ,,,,,"charisma_,guiding_,leadership_,fortitude_,sobriety_,sober_,mental_,vision_,visionary_,composure_","celiac_,anonymity_,recognition_,mellitus_,name_,prevalence_,likeness_,rename_,candid_,née_","gazing_,teenage_,tranquility_,gaze_,virgin_,teen_,star_,starry_,serenity_,reboot_","map_,subtype_,rubric_,sclerosis_,cookie_,consensus_,markers_,rename_,distinguishing_,constellations_","barometer_,objectively_,rubric_,rating_,judging_,nominees_,critic_,ratings_,subjective_,scores_",,"firmly_,arbitrarily_,dynamically_,uniquely_,solidly_,persistently_,predetermined_,stubbornly_,geographic_,grid_","reconsider_,suspend_,reconsideration_,suspending_,pause_,calming_,suspended_,moratorium_,calm_,call_",,,"calm_,post-traumatic_,binoculars_,sober_,mental_,vigilant_,attuned_,calmness_,precise_,detachment_","calmness_,calm_,invites_,refreshing_,calms_,gentle_,fairness_,gentleness_,serenity_,forceful_",,"constellations_,orientation_,impact_,transformational_,personality_,outlook_,attuned_,archetypes_,constellation_,positive_",,,,,"gaze_,eye_,preference_,favourable_,depend_,favorable_,influence_,depends_,influences_,vision_"
iɑ,,,,,,,,,,,,,,,"theorist_,ratchet_,mix-n-match_,archaeologist_,novelist_,anthropologist_,professor_,multiplier_,theorists_,sociologist_","massively_,hefty_,disproportionately_,unduly_,modestly_,amplified_,magnum_,harshly_,accentuated_,overly_",,"downward_,upward_,accentuate_,downwards_,squeeze_,sideways_,big_,pencil_,lowercase_,sketching_",,,,,"chin_,frown_,eyebrow_,jaw_,cheek_,whitening_,slaw_,potatoes_,swallow_,chew_"
iɑŋ,,,,,"mix-n-match_,intensity_,incentives_,strength_,flux_,incentive_,intensities_,brightness_,luminosity_,confinement_",,"malt_,brewer_,malty_,scotch_,honey_,malts_,rye_,viscous_,terracotta_,beer_",,,,,,,,"buckle_,monetary_,dollar_,barrel_,butter_,brandy_,buckles_,robbers_,handcuffs_,incentive_","buckle_,pistol_,gun_,handgun_,buckles_,stout_,tackle_,accordion_,pistols_,handcuffs_",,"direction_,eastward_,curvature_,sideways_,influenced_,impact_,axis_,outlook_,trajectory_,outwards_",,,,,"slaw_,brandy_,jackbot_,pills_,snottywong_,chutney_,whiskey_,acetaminophen_,probiotics_,vodka_"
iɑʊ,,,,,"dose_,dosage_,doses_,dosages_,thresholds_,colouring_,coloring_,quantity_,measurement_,nutritional_","depicts_,flour_,portrays_,banknotes_,depicting_,depiction_,caricature_,proofing_,caricatures_,crumb_","kitten_,rabbits_,puppies_,rabbit_,doves_,millet_,kitties_,kittens_,putty_,puppy_","denote_,markers_,labelled_,marker_,rubric_,denoted_,designations_,labels_,labeling_,mark_","tick_,ticks_,masks_,barometer_,whistle_,jab_,tosses_,mask_,bites_,ticket_",,"clicking_,toggle_,spikes_,click_,dips_,lower_,drops_,perch_,piped_,exclamation_","notches_,kick_,drops_,playfully_,ticked_,sweetly_,nudge_,drop_,delicately_,chirp_",,,"circled_,reduces_,flight_,teaches_,reducing_,alerts_,minimizes_,decreasing_,nudge_,escorts_","nudge_,kick_,chuckle_,kicks_,tickle_,buckle_,punching_,chirping_,knock_,chirp_",,"chuckle_,giggle_,silhouette_,silhouettes_,laughter_,giggled_,nudge_,sighting_,giggling_,circled_",,,,,"chuckle_,talk_,mix_,coloring_,depend_,accent_,chatter_,pill_,nibble_,laughter_"
iɛ,,,,,"link_,splits_,linking_,dividing_,separation_,divided_,merged_,uniting_,overlapping_,partitioned_","unreadable_,riddle_,spelt_,loaves_,identities_,crumbs_,rye_,enigma_,cryptic_,breads_","bind_,thy_,ins_,bis_,riddle_,thee_,link_,soldered_,solder_,post_","identifiable_,splits_,categorize_,subtype_,descriptive_,categories_,shorthand_,overlapping_,delineated_,classifications_","typos_,tortilla_,collages_,overlapping_,acronym_,cauliflower_,pita_,userpage_,halves_,post_",,"weakly_,strongly_,neatly_,inextricably_,uniquely_,similarly_,explicitly_,doubly_,heavily_,highly_","jacks_,finger_,dangling_,comment_,post_,sharply_,succinctly_,dangle_,linking_,weakly_",,,"piecing_,link_,linking_,linked_,bridging_,linkages_,links_,tying_,solve_,chapters_","link_,brevity_,linking_,apologies_,paragraph_,coupler_,analyzer_,synthesizer_,piecing_,apology_",,"overlapping_,merged_,symbiotic_,truncated_,restructure_,folded_,structural_,restructured_,typographical_,fold_",,,,,"industries_,link_,overlap_,linking_,overlaps_,pasted_,paragraph_,unintelligible_,web_,links_"
