,f,j,k,kʰ,l,m,n,p,pʰ,s,t,tʰ,t͡s,t͡sʰ,t͡ɕ,t͡ɕʰ,x,ɕ,ɻ,ʂ,ʈ͡ʂ,ʈ͡ʂʰ,∅
an,"pɔ,bɔɪ,bɑ,bɜn,ɡʌn,bʌt,kɔ,pʊə,bʊk,ɡʊəd",,"pɔt,bʌt,pʊt,bɔɪ,pɔɪnt,pɔ,bɔd,bʌs,dʌk,bʊk","bɔɪ,pɔ,tɔɪ,pʊə,bʌkɪt,bʌt,pɔt,bʊk,bɔd,bɔɹɪŋ","plaʊ,kəmpeə,eəkəndɪʃənə,kaʊ,kəntɪnju,naʊ,paʊə,kənteɪn,ɡəʊ,aʊə","bəʊ,haʊ,haʊs,dəʊ,ɡəʊ,saʊθ,təʊ,saʊə,bɑ,ʃaʊə","haʊ,kaʊ,ʃaʊə,paʊə,saʊə,ɡəʊ,bɑ,bəʊ,taʊə,vju","bʌt,nʌt,bʌs,dɛkəɹeɪt,nɔθ,tɜtəldʌv,pʌs,bɜd,sɪɡəɹɛt,feɪt","dɛkəɹeɪt,sɪɡəɹɛt,sɜkəl,ʃʌvəl,ʃeɪk,seɪ,ʃakəl,sɪkəl,seɪn,sʌk","naʊ,haʊ,ðeɪ,vju,saʊə,ɐlaʊ,flaʊə,ʃaʊə,mɔ,nɛfju","bɔɪ,bʊk,pɔ,pʊə,tɔɪ,pʊt,pɔɪnt,dɔ,mɔ,bɑ","ðeɪ,dɛkəɹeɪt,seɪ,ʃeɪk,tɹeɪ,pɹeɪ,fɹaɪdeɪ,ɹeɪk,seɪf,ɹeɪ",,"kleɪ,pleɪ,pleɪ,plaʊ,pɹeɪ,kɑneɪʃən,kəlɪʒən,kləʊk,keɪk,d͡ʒəɹeɪniəm",,,"bʌs,pɔ,pʌs,bʌt,bɜt͡ʃ,tɔt͡ʃ,bɔɪ,bɑ,mʌðəɹɪnlɔ,tɔɪ",,"ðeɪ,fɑ,faɪnd,ʃaʊə,haɪ,haʊ,kɒfi,d͡ʒɔɪnts,vaɪn,θaʊzənd","naʊ,saʊθ,vɛt,nɛfju,dɛf,daʊn,nɛk,saʊə,valɪ,flaʊə","valju,d͡ʒanjuəɹi,sand,nju,vɒljum,valɪ,dju,dɹɛs,nɛfju,dɛf","deɪ,ɹɛfəɹi,tɹeɪ,seɪ,ðeɪ,θɜzdeɪ,ɹeɪ,nɛfju,smuði,daɪ","ʃʊd,ʃu,tɔɪ,ʃut,sut,pʊt,seɪn,zu,sup,sɔt","ɪ 16%, ə 13%, n 11%, t 10%, a 9%, ʊ 8%, k 8%, l 8%, e 8%, s 8%"
aɪ,,,"pʌb,heɪzəlnʌt,pʊʃ,kɔz,sʌk,pʊt,tɜtəldʌv,ɔtʌm,sihɔs,pɔt","ʃampeɪn,t͡ʃizkeɪk,hʌɹɪkeɪn,paŋkeɪk,kiwi,ɜθkweɪk,keɪk,weɪkʌp,kamp,ʃeɪp","ɔɪstə,kəmpeə,kənsɪstənt,ɪntɜn,ɐsɪstənt,eəkəndɪʃənə,dɪstəns,kəntɪnju,dɛntɪst,badmɪntən","sɛnd,dɪsɛnd,dɛntɪst,ɛmpti,dɪzi,sɛntə,sʌndeɪ,sɛptɛmbə,stɛpsʌn,bɪzi","kəntɪnju,wɪndəʊ,ɐkaʊntənt,kaʊ,ɪndɪpɛndənt,ɐmaʊnt,dɪpɛndənt,kaʊnt,naʊ,nju","sɔt,sɔd,sɔɪsɔs,hʌt,hɛd,sɔs,sʌn,sʌn,bɹɛd,sɛnd","sɔt,sɔd,pinʌt,heɪzəlnʌt,sut,sʌk,sɒlti,sɔs,sɒlt,teɪbəltɛnɪs","nɛst,mɛtəl,mɪl,nɛsɪsəɹi,mɪnɪt,nʌt,mɪs,mɪs,sneɪl,mʌstəd","ɪɹɪɡeɪt,tɔɪlɪt,eɪt,ɪntʊ,ɛskeɪp,tɔɪ,ɐvɔɪd,skɛlɪtən,tɛlɪskəʊp,pɔɪnt","skwɪd,ɐvɔɪd,ɛd͡ʒukeɪʃən,ɛskeɪp,hɜb,skɛlɪtən,wɪski,tɔɪ,twɪɡ,sɔ","ɹɪsɛpʃənɪst,fɒɹɪst,d͡ʒazmɪn,d͡ʒanjuəɹi,dɪlɪd͡ʒənt,aɪɹɪs,aɪɹɪs,ɪlɛktɹɪʃən,ɹɪlɪd͡ʒən,palɪs","kɑneɪʃən,ɡaɹɪd͡ʒ,kəlɪʒən,kaʒuəl,ɛd͡ʒukeɪʃən,kaʃju,kaʊ,keɪd͡ʒ,kɪt͡ʃən,kan",,,"ʃu,hu,hʌt,fɔk,wɜk,ʃɔt,ʃɔt,vɛt,fɔ,fɔ",,,,"stand,and,nɛst,ʌndəstand,az,naɹəʊ,standəd,dɪsɛnd,kɒntɛst,ɹɛstɹɒnt",,"sʌndeɪ,ɡɪlti,hʌnt,zu,ʌntɪl,sɔd,sɔ,dɛntɪst,sɔt,sʌmwɒt","ɪ 17%, t 15%, s 13%, n 13%, ə 8%, d 8%, k 7%, l 7%, ɛ 6%, e 5%"
eɪ,"pi,bi,bi,fɹɛʃ,bɪld,hu,θɹɪfti,pup,θɹi,wɜk",,"tɔɪ,pʊʃ,hu,bɔɪ,pɔ,pɔɪnt,fild,hi,kɜvd,pup",,"aftə,ɔɪstə,patən,atəm,past,bɪfɔ,bɪfɔ,mitɪə,hu,ɐsɪstənt","fɹɛʃ,fɹiz,pis,pɹɛfɹəns,kləʊðz,pəfɔməns,θɹɛd,fɛns,flaʃ,fləʊ","baɪ,apəlpaɪ,baɪɒləd͡ʒi,d͡ʒulaɪ,waɪ,waɪf,bɪhaɪnd,bʌtəflaɪ,kaʃju,jist","hɪl,pɛt,fild,pʌpɪt,tɜtəldʌv,dɪvɛləp,mɛlt,bɪld,pil,tɜbɪd","θɹɛd,fɹɛʃ,θɹʌʃbɜd,flʌd,flaʃ,fid,feɪz,pʌb,əbʌv,fil",,,,"əbʌv,avɹɪd͡ʒ,bʊʃ,pʊʃ,stɑfɪʃ,dɪstəns,ɔɪstə,ɡɑbɪd͡ʒ,wɪð,ɒv",,,,"kɒfi,kɒf,pʊl,vaɪɹəs,fɪks,hɑf,faɪl,fɪl,sihɔs,ðeɪ",,,"θɹɪfti,fɹɛʃ,nɜv,fɹɛnd,ni,θɹi,nɜs,sneɪl,θɜzdeɪ,dɛf",,,,"ɪ 19%, s 12%, t 12%, l 10%, ə 10%, p 9%, f 8%, i 7%, d 7%, n 7%"
i,,,,,"mitɪə,feə,beə,beə,peə,peə,eə,fiə,baktiəɹiə,heə","pɹəʊsɛs,pɹɪnsɛs,pɹiviəs,bʌs,pɹəfɛsə,plutəʊ,məʃin,bʌtə,pɹɒsɪkjutə,bɛdʃit","ju,ju,ʃaʊə,vju,paʊə,stju,saʊə,haʊ,dju,nju","dɪvɛləp,dɪpɛndənt,tɜbɪd,ɹabɪt,bat,badmɪntən,bɪldɪŋblɒk,bɪld,dafədɪl,katəpɪlə","flat,klɒθ,klɒk,fəɡɛt,flaʃ,kat,bat,bad,fəbɪd,fɹɒɡ",,"last,bladə,plastɪk,lɪtəlsɪstə,ɛlɪfənt,blak,ɡlas,ɛlɪveɪtə,lavəndə,laf","plastɪk,klɒk,keɪk,pɛlɪkən,teɪkkeəɹɒv,klɒθ,avəlanʃ,kɪk,dɹaɡənfɹut,flat",,,"junɪvɜs,ɡladɪəʊləs,dɪvɛləp,nɛbjʊlə,ɐnaləsɪs,ɪntɛstɪn,ɔkɪstɹə,tɛknɒləd͡ʒi,lɒɹidɹaɪvə,tɛlɪvɪʒən","klɛvə,ɐɡɛn,kamɛliə,təɡɛðə,kaʃiə,kan,tɛlɪvɪʒən,ɡʌvən,kʌvə,tɹɛʒə",,"maθɪmatɪks,mitɪə,siɐnɛməni,mɪnɪməm,ɐnɛməni,mɛni,ɪmidɪətli,maksɪməm,nɛfju,sʌnɪnlɔ",,,,,"wɒnt,wɒt,wɒʃ,wɒn,ʌndəstand,sʌmwɒt,ant,ant,θɜzdeɪ,ɐtɛnd","ə 18%, ɪ 13%, t 12%, n 11%, s 9%, l 8%, a 8%, k 7%, ɹ 7%, d 6%"
in,,,,,"djʊəɹiən,klinə,mitɪə,kliə,linɪənt,kjʊəɹiəs,t͡ʃeəmən,d͡ʒəɹeɪniəm,mətiəɹiəl,midiə","paʊdə,pandə,ansə,ɡus,pɹɪntə,mʌðə,bɪtə,mɪnt,faɪbə,ɪnsaɪd",,"dəʊnʌt,bʌtəkʌp,səpɔt,tɔtəs,dɪvɛləp,ɔtʌm,nɛbjʊlə,ɪmpɔtənt,ɐpɹɒksɪmət,stɛpdɔtə","kwaiət,kɹɪsanθəməm,kaɹət,ɡɑdən,ɡɑdənə,d͡ʒəɹeɪniəm,dɛzət,taiəd,kalkjʊleɪt,ɪnfəmeɪʃən",,,,,,"ɪnɜʃə,nɛbjʊlə,ɛksəsaɪz,pɹaɪmmɪnɪstə,mɪɹə,ɪnəsənt,səʊld͡ʒə,sɪlvə,sɪlvə,ɪɹəʊd","pɒpjʊlə,ɡɑdənə,skanə,pɒpjʊleɪʃən,ɪluʒən,ɪnɜʃə,bɐnɑnə,tjubə,kalkjʊleɪt,mɜkjʊɹi",,"dɪnaɪ,naɪn,naɪt,ɹaɪnəʊ,mɪnɪməm,saɪn,saɪn,hapɪnəs,mɪnɪt,vaɪɹəs",,,,,"ɪnəsənt,mɒnjumənt,kɒnsət,haɪɐsɪnθ,wɒnt,swɒmp,ɡʊdbaɪ,jʊəɹanəs,ɡɑdənə,wʊd","ə 22%, ɪ 15%, n 14%, a 9%, t 8%, m 7%, s 7%, ɹ 6%, l 6%, k 6%"
iŋ,,,,,"klinə,t͡ʃitə,kliə,nidəl,klin,ʃaʊə,sidə,handəl,kaʃiə,fitə","faɪbə,klinə,sidə,ʃadəʊ,faiəfaɪtə,vakjumklinə,hamə,kliə,fitə,t͡ʃitə","məskitəʊ,pəlismən,tjubə,wɪspə,stɹɔbəɹi,d͡ʒanjuəɹi,mʌlbəɹitɹi,switpəteɪtəʊ,bəlun,ɔɪstə","satəlaɪt,kɹab,pɹəvaɪd,ləʊtəs,laɪlək,fid,ladə,tɹap,səpɹaɪzd,planɪt","pɹəvaɪd,kɹieɪt,pleɪt,kɹab,kləʊk,kaɹət,paɹət,kɑd,t͡ʃɒklət,kɹeɪtə",,"lɪtəlsɪstə,pɹaɪmmɪnɪstə,sɪstəm,bladə,səʊləsɪstəm,laɪbɹəɹi,ɡɹəneɪd,pɹəʊɡɹamə,ɹəʊst,stɹaɪp","ɡɑlɪk,kləʊk,klam,kɹieɪt,ʃeɪk,kʊk,kʊk,laɪk,laɪk,klinə",,,"klinə,kɒlənaɪz,ɐnaləsɪs,ɪɹəʊd,ɛksəsaɪz,ɛnəd͡ʒi,pɹəʊɡɹamə,ɪnɜʃə,məʃin,avəkɑdəʊ","klinə,kliə,klin,klɛvə,kaʃiə,kamɛliə,kan,kwin,kɹeɪn,kɹeɪn",,"ɹaɪnəʊ,faɪnəli,naɪn,klinə,kaməmaɪl,kɒlənaɪz,pɹaɪmmɪnɪstə,hapɪnəs,hamə,laɪtnɪŋ",,,,,"wɒnt,kamp,swɒmp,wɒn,kaɹət,haɪd,stamp,haɪɐsɪnθ,ɡɒd,waɪd","ə 20%, ɪ 13%, a 13%, l 9%, t 9%, n 8%, k 8%, ɹ 7%, i 7%, s 6%"
iɑ,,,,,,,,,,,,,,,"d͡ʒɛlɪfɪʃ,tɛlɪvɪʒən,ɔtʌm,d͡ʒʌmp,dɪsɛnd,ɹɪsɛpʃənɪst,bɪkʌm,pɑmɪzan,dɪsɛmbə,d͡ʒɜm","tɛlɪvɪʒən,tɹɛʒə,d͡ʒɛlɪfɪʃ,pɑmɪzan,kɑneɪʃən,ɡɑbɪd͡ʒ,ɪlɛktɹɪʃən,fɪzɪks,pɹɛʃə,d͡ʒʌmp",,"sɪɹamɪk,ʃɪp,t͡ʃɜp,nɛbjʊlə,t͡ʃɪp,map,nɛk,ɹap,t͡ʃɛk,d͡ʒɪm",,,,,"d͡ʒʌmp,swɒmp,ɑm,wɒnt,ʃɪp,lamp,ʃɹɪmp,kamp,ɒn,ant","ɪ 20%, m 11%, n 10%, s 9%, k 9%, ə 9%, p 9%, t 8%, l 7%, ɛ 7%"
iɑŋ,,,,,"kəmpeə,kəmplit,ɪmad͡ʒɪn,d͡ʒɪm,d͡ʒɪŋkɡəʊ,ɹɪmɛmbə,nəʊvɛmbə,ɪmpɔtənt,maksɪməm,d͡ʒɛndə",,,,,,,,,,"ɪmad͡ʒɪn,d͡ʒʌmp,d͡ʒɪm,dɪsɛmbə,d͡ʒɪŋkɡəʊ,d͡ʒɛndə,ɹɪmɛmbə,nəʊvɛmbə,pʌmpkɪn,ɪmpʌls","d͡ʒɪŋkɡəʊ,it͡ʃʌðə,pʌmpkɪn,kʌlt͡ʃə,d͡ʒʌmp,ɪmad͡ʒɪn,dɒlfɪn,mɛʒə,ɡʌn,ɐɡɛn",,"d͡ʒɪm,ɪmad͡ʒɪn,ɹaɪm,ɹɪmɛmbə,mɪnɪməm,t͡ʃɜp,d͡ʒʌmp,sɪmɛnt,pɹaɪmmɪnɪstə,d͡ʒɜm",,,,,"d͡ʒʌmp,ɪmpʌls,pʌmpkɪn,pʌŋk,d͡ʒɪŋkɡəʊ,ɪmpɔtənt,d͡ʒɪm,ʃɹɪmp,kʌmpəs,ɪŋk","ɪ 16%, ə 15%, n 15%, m 13%, t 8%, ɛ 7%, k 7%, l 7%, p 6%, a 6%"
iɑʊ,,,,,"kəlɪʒən,eəkəndɪʃənə,linɪənt,d͡ʒəɹeɪniəm,t͡ʃeəmən,ʃaʊə,djʊəɹiən,ɐmaʊnt,siəɹɪəl,kɒlɪflaʊə","saʊə,ʃaʊə,swɒmp,sɛntə,saʊnd,tjubə,taʊə,tɛmpəl,səʊbə,paʊə","ʃaʊə,saʊə,djʊəɹɪŋ,paʊə,aʊə,taʊə,jʊəɹɪn,pʊə,pjupəl,flaʊə","səpɔt,tiʃɜt,t͡ʃɜp,t͡ʃɜt͡ʃ,tɜbɪd,tɜmaɪt,ʃɜt,tʌt͡ʃ,kɛt͡ʃʌp,sɜtən","swɒmp,ʃɹɪmp,swɪm,tɛmpəl,sʌm,swip,hɜb,pʌŋk,tap,tɜn",,"kəmpʌlsəɹi,ɪmpʌls,ɛlɪmənt,kənsʌltənt,kɑpəntə,dɪstəns,pɒpjʊleɪʃən,kənsɪstənt,pʌblɪk,pɒpjʊlə","skɛlɪtən,kəlɪʒən,skwɒt,kʌlt͡ʃə,swɪŋ,swɪŋ,tjulɪp,skweə,swɒmp,tɛlɪskəʊp",,,"tɛlɪvɪʒən,dɪlɪd͡ʒənt,tɔl,ɹɪlɪd͡ʒən,səʊld͡ʒə,tiʃɜt,ɹɛkɔd,ɔɹɪəʊl,sɔd,ʃɛdjul","kʌlt͡ʃə,tɹɛʒə,tɛlɪvɪʒən,tit͡ʃə,kɑneɪʃən,kaʃiə,it͡ʃʌðə,kəlɪʒən,ɛd͡ʒukeɪʃən,mɛʒə",,"sɔt,sɔd,nɛk,mɪnɪməm,naɪn,spɪnɪt͡ʃ,taʊn,sʌk,dɪnaɪ,daʊn",,,,,"swɒmp,d͡ʒʌmp,sɪŋk,swɒn,kaʊnt,wʊlf,sɪlk,d͡ʒun,stʌmp,ɐkaʊntənt","ə 17%, ɪ 14%, n 12%, s 11%, t 11%, k 8%, l 8%, p 7%, m 6%, ʊ 6%"
iɛ,,,,,"ʃakəl,baɪsɪkəl,sɪkəl,pəlismən,bɪɡsɪstə,sɪstə,fɪzɪks,siəɹɪəl,vɛd͡ʒɪtəbəl,faktəɹi",,,"d͡ʒɛləs,t͡ʃɒklət,səʊləsɪstəm,zɛbɹə,ɐksɛləɹeɪʃən,saɪlənt,səpɹaɪzd,sɛlə,ɹɪsɛpʃənɪst,sɛkɹətɹi",,,"ɒstɹɪt͡ʃ,dɪstɹɪkt,klasɪkəlmjuzɪk,bɪɡsɪstə,ɛɡzɪt,hʌndɹɪd,aɡɹɪkʌlt͡ʃə,bɪkɒz,avɹɪd͡ʒ,wɒʃ","klasɪkəlmjuzɪk,aɡɹɪkʌlt͡ʃə,plastɪk,ʃeə,t͡ʃeə,ɜlɪ,bɹɪk,d͡ʒɛlɪfɪʃ,t͡ʃɛɹi,ɹɪfɹɪd͡ʒəɹeɪtə",,,"ɛksəsaɪz,ɪlɛktɹɪʃən,ɹɪsɛpʃənɪst,ɪlɛktɹɪsɪti,aɪskɹim,kɛmɪstɹi,bɪɡsɪstə,dɪstɹɪkt,ɛkspləʊd,d͡ʒazmɪn","ɐɡɛn,ɛnd͡ʒɪn,d͡ʒaz,t͡ʃɪkɪn,ɡʌn,t͡ʃɛɹi,pɛŋɡwɪn,klin,d͡ʒɪŋkɡəʊ,t͡ʃɪn",,"nɛkst,ni,mɪks,maθɪmatɪks,fʌni,hʌni,mɛni,hu,θɹɪfti,ɛɡzaktli",,,,,"d͡ʒaz,fʌnd,ɛnd,d͡ʒʌmp,and,hʌnt,d͡ʒɒb,ɒv,wɒnt,d͡ʒun","ɪ 18%, s 14%, ə 12%, t 11%, k 9%, n 9%, ɹ 8%, a 6%, ɛ 6%, l 6%"
