steam*,"-1.0,-1.0,1.0"
roast*,"1.0,1.0,-1.0"
bake*,"-1.0,1.0,-1.0"
shine*,"-1.0,-1.0,-1.0"
melt*,"-1.0,-1.0,-1.0"
explode*,"-1.0,-1.0,-1.0"
love*,"-1.0,-1.0,1.0"
like*,"-1.0,1.0,1.0"
want*,"-1.0,-1.0,1.0"
need*,"-1.0,-1.0,1.0"
hate*,"1.0,1.0,1.0"
fear*,"1.0,1.0,1.0"
kiss*,"1.0,1.0,1.0"
penetrate*,"-1.0,-1.0,1.0"
dash*,"-1.0,1.0,-1.0"
shoot*,"-1.0,1.0,1.0"
fight*,"-1.0,1.0,1.0"
hunt*,"-1.0,-1.0,1.0"
hurt*,"-1.0,1.0,-1.0"
attack*,"-1.0,1.0,-1.0"
protect*,"-1.0,-1.0,1.0"
pile*,"1.0,1.0,1.0"
store*,"-1.0,1.0,-1.0"
insert*,"-1.0,-1.0,1.0"
contain*,"-1.0,-1.0,1.0"
include*,"-1.0,-1.0,1.0"
inform*,"-1.0,-1.0,1.0"
announce*,"-1.0,-1.0,1.0"
sweep*,"-1.0,1.0,1.0"
rent*,"-1.0,-1.0,-1.0"
travel*,"-1.0,-1.0,1.0"
record*,"-1.0,-1.0,-1.0"
escape*,"-1.0,1.0,1.0"
avoid*,"-1.0,1.0,1.0"
focus*,"1.0,1.0,1.0"
bark*,"-1.0,-1.0,-1.0"
howl*,"-1.0,-1.0,-1.0"
call*,"-1.0,-1.0,1.0"
scream*,"-1.0,1.0,1.0"
chirp*,"1.0,1.0,1.0"
crow*,"-1.0,1.0,1.0"
shout*,"1.0,1.0,1.0"
whisper*,"1.0,1.0,1.0"
build*,"1.0,-1.0,1.0"
like/*,"-1.0,1.0,1.0"
show*,"1.0,1.0,-1.0"
hang*,"-1.0,-1.0,-1.0"
weigh*,"-1.0,-1.0,-1.0"
measure*,"-1.0,-1.0,1.0"
swing*,"-1.0,-1.0,1.0"
shake*,"-1.0,1.0,1.0"
tremble*,"-1.0,-1.0,1.0"
work*,"-1.0,-1.0,-1.0"
marry*,"-1.0,1.0,-1.0"
pray*,"-1.0,-1.0,-1.0"
win*,"-1.0,-1.0,-1.0"
lose/*,"-1.0,-1.0,1.0"
mix*,"-1.0,-1.0,-1.0"
bend*,"1.0,-1.0,-1.0"
feed*,"-1.0,-1.0,1.0"
rear*,"-1.0,1.0,-1.0"
roll*,"1.0,-1.0,-1.0"
slide*,"-1.0,1.0,-1.0"
cover*,"1.0,1.0,1.0"
support*,"1.0,-1.0,1.0"
load*,"-1.0,1.0,1.0"
develop*,"-1.0,1.0,-1.0"
fold*,"1.0,-1.0,1.0"
shrink*,"1.0,1.0,1.0"
spill*,"-1.0,-1.0,1.0"
release*,"-1.0,-1.0,-1.0"
drain*,"-1.0,-1.0,1.0"
fill*,"-1.0,-1.0,1.0"
pour*,"1.0,1.0,1.0"
soak*,"1.0,1.0,-1.0"
leak*,"1.0,1.0,1.0"
drip*,"-1.0,1.0,1.0"
expand*,"-1.0,1.0,1.0"
spread*,"-1.0,-1.0,1.0"
radiate*,"-1.0,-1.0,1.0"
infect*,"-1.0,1.0,1.0"
obstruct*,"-1.0,-1.0,-1.0"
sink*,"-1.0,-1.0,-1.0"
waste*,"-1.0,1.0,-1.0"
disappear*,"-1.0,1.0,1.0"
stretch*,"-1.0,1.0,1.0"
wrinkle*,"-1.0,1.0,1.0"
decorate*,"-1.0,-1.0,-1.0"
dye*,"-1.0,-1.0,1.0"
wrap*,"-1.0,1.0,1.0"
erode*,"-1.0,-1.0,1.0"
peel*,"1.0,1.0,1.0"
pollute*,"1.0,-1.0,1.0"
stare*,"-1.0,1.0,1.0"
handle*,"-1.0,-1.0,1.0"
translate*,"-1.0,1.0,1.0"
match*,"-1.0,-1.0,1.0"
compare*,"-1.0,1.0,1.0"
arrange*,"-1.0,-1.0,1.0"
sort*,"-1.0,-1.0,1.0"
filter*,"-1.0,-1.0,1.0"
enjoy*,"-1.0,1.0,-1.0"
relax*,"-1.0,-1.0,1.0"
hurry*,"-1.0,1.0,1.0"
inherit*,"-1.0,1.0,1.0"
train*,"1.0,-1.0,1.0"
succeed*,"-1.0,1.0,1.0"
fail*,"-1.0,-1.0,1.0"
hide*,"1.0,1.0,1.0"
crawl*,"-1.0,-1.0,1.0"
calculate*,"-1.0,1.0,-1.0"
employ*,"-1.0,-1.0,1.0"
earn*,"-1.0,1.0,1.0"
scan*,"-1.0,1.0,1.0"
print*,"-1.0,1.0,1.0"
lie/*,"-1.0,-1.0,1.0"
deceive*,"-1.0,1.0,1.0"
believe*,"-1.0,-1.0,-1.0"
imagine*,"-1.0,-1.0,1.0"
accept*,"-1.0,1.0,1.0"
deny*,"-1.0,-1.0,-1.0"
borrow*,"-1.0,-1.0,-1.0"
lend*,"-1.0,-1.0,-1.0"
edit*,"-1.0,1.0,1.0"
delete*,"1.0,1.0,1.0"
copy*,"1.0,-1.0,1.0"
paste*,"-1.0,1.0,1.0"
discuss*,"-1.0,1.0,-1.0"
argue*,"-1.0,1.0,-1.0"
chat*,"-1.0,1.0,1.0"
explain*,"-1.0,1.0,-1.0"
provide*,"-1.0,-1.0,1.0"
fund*,"-1.0,-1.0,-1.0"
control*,"1.0,-1.0,1.0"
check*,"1.0,-1.0,1.0"
practise*,"-1.0,1.0,1.0"
prepare*,"-1.0,1.0,1.0"
review*,"-1.0,-1.0,1.0"
affect*,"-1.0,1.0,-1.0"
design*,"-1.0,1.0,-1.0"
plan*,"-1.0,-1.0,-1.0"
understand*,"-1.0,-1.0,1.0"
predict*,"-1.0,-1.0,-1.0"
assume*,"-1.0,-1.0,-1.0"
guess*,"-1.0,-1.0,1.0"
respect*,"-1.0,1.0,1.0"
disdain*,"-1.0,1.0,-1.0"
challenge*,"-1.0,1.0,1.0"
suffer*,"-1.0,1.0,1.0"
endure*,"-1.0,-1.0,1.0"
meet*,"1.0,-1.0,-1.0"
