,f,j,k,kʰ,l,m,n,p,pʰ,s,t,tʰ,t͡s,t͡sʰ,t͡ɕ,t͡ɕʰ,x,ɕ,ɻ,ʂ,ʈ͡ʂ,ʈ͡ʂʰ,∅
uan,,,əʊpən,kəʊt,wɒlɹəs,,,,,ɹaʊnd,klaʊd,kləʊs,bəʊt,,,,flaʊə,,kɹaʊd,,kəʊt,kəʊt,ɡəʊt,"ʊ 374%, k 73%, ə 73%, ɹ 61%, d 17%, t 12%, a -3%, l -8%, w -52%, f -60%, p -68%, ɡ -70%, b -75%, ɒ -79%, s -99%, n -105%"
uaɪ,,,kəmand,kəʊst,,,,,,,,,,,,,balkəni,,,kʌntɹi,,,kəmand,"k 196%, n 156%, a 71%, d 56%, ə 19%, m 5%, i -12%, b -12%, ʌ -17%, t -39%, ʊ -43%, ɹ -52%, l -78%, s -104%"
ueɪ,,,nəʊz,mat͡ʃ,,,,,,snəʊstɔm,ɹəʊst,stɑ,nɛst,klɛvə,,,paɪlət,,ɒpəɹə,dʌbəl,,dʌm,wɛst,"s 77%, t 56%, ə 33%, ɛ 27%, ʊ 11%, ʌ -4%, m -22%, p -29%, d -34%, ɹ -35%, l -39%, v -48%, w -51%, ɑ -52%, n -54%, t͡ʃ -63%, b -74%, ɒ -77%, z -84%, a -95%, k -111%, ɔ -121%, ɪ -178%"
uɑ,,,flat,,,,,,,,,,,,,,flaɪ,,,lʌk,land,,planɪt,"a 308%, l 300%, f 162%, n 54%, ʌ 43%, t 25%, ɪ 4%, d -0%, p -5%, k -50%"
uɑŋ,,,flaɪ,flat,,,,,,,,,,,,,flaɪ,,,flʌd,bʌbəl,kəʊt,θɹɛd,"f 284%, l 179%, ʌ 133%, b 132%, θ 100%, a 80%, d 62%, ɛ -21%, t -34%, ʊ -40%, ɹ -46%, ə -57%, ɪ -58%, k -77%"
uɔ,,,meɪpəl,paɪnapəl,nidəl,mʌsəl,,mɛtəl,paɪnapəl,nʌt,nɜsəɹi,manɪd͡ʒə,nɛk,nɛk,,,faiəflaɪ,,ikwəl,tɹʌŋk,mɛsɪd͡ʒ,,faɪv,"a 56%, n 51%, l 34%, p 18%, ɛ 9%, ə 0%, ʌ -9%, f -10%, m -13%, ɪ -26%, i -31%, d͡ʒ -33%, k -51%, ɜ -55%, e -73%, w -80%, v -94%, s -100%, ŋ -105%, d -106%, ɹ -107%, t -109%"
uən,,,skwɒt,stju,skwɒt,,,,,dju,stju,stju,stju,spɪt,,,stju,,,stju,spɪt,splɪt,stju,"s 347%, t 308%, u 245%, j 238%, ɒ 45%, w 33%, p 11%, k -72%, d -86%, ɪ -89%, l -106%"
y,,,,,kjʊəɹiəs,,ju,,,,,,,,tu,tɛn,,peəɹəntsɪnlɔ,,,,,vju,"ɹ 135%, u 126%, j 126%, n 67%, v 60%, t 35%, ə 19%, ɔ -14%, ɛ -23%, s -25%, e -27%, p -36%, ʊ -43%, i -44%, l -78%, k -80%, ɪ -142%"
yn,,,,,,,,,,,,,,,nəʊz,dɔ,,siɐnɛməni,,,,,ɪnsaɪd,"n 308%, d 140%, ɔ 86%, ɐ 67%, z 53%, s 43%, i 16%, ɛ 10%, ɪ 4%, ʊ -6%, ə -26%, m -38%, a -65%"
yœ,,,,,mɒdəl,,,,,,,,,,maɡɐzin,maŋɡəʊ,,siɐnɛməni,,,,,hɪstəɹi,"ɐ 126%, m 118%, ɡ 100%, i 37%, ŋ 36%, n 35%, ə 0%, ɒ -4%, h -8%, z -32%, ɛ -33%, a -36%, s -44%, ʊ -53%, d -54%, ɹ -74%, l -86%, t -122%, ɪ -151%"
yɛn,,,,,,,,,,,,,,,maɹɪɡəʊld,sɒlti,,nʌtmɛɡ,,,,,baɪɒləd͡ʒi,"ɒ 268%, ɡ 152%, l 58%, d͡ʒ 48%, m 15%, b -3%, a -3%, ʌ -7%, i -7%, ɛ -18%, t -28%, d -35%, ʊ -37%, ɹ -39%, ɪ -52%, ə -54%, s -99%, n -105%"
ɑ,bɒm,,ʃeɪk,hi,əʊld,and,wɪnd,ɑmpɪt,hɪt,flaɪ,θɪk,hɪt,lɪli,mɛsɪd͡ʒ,,,θɪk,,,hand,sand,ɑm,,"h 183%, ɪ 174%, d 105%, θ 88%, ɑ 39%, m 5%, a -16%, l -17%, n -22%, i -44%, k -45%, w -58%, e -63%, ɛ -63%, f -63%, p -71%, ʃ -71%, t -76%, d͡ʒ -79%, b -80%, ʊ -86%, ɒ -86%, s -104%, ə -119%"
ɑŋ,laɪt,,kul,ɔlsəʊ,waɪd,bəʊl,ɡɔlbladə,tul,həʊl,stɹɔbəɹi,ɹaɪt,aɪ,pɹaɪvət,kəʊɪnsɪdəns,,,ʃi,,,vɛt,ɔɡəst,ɔɡəst,mɜdə,"ɔ 160%, l 32%, ɹ 22%, t 20%, ə 13%, ɡ 1%, d -4%, b -6%, a -8%, ʊ -9%, v -12%, s -17%, ɪ -28%, i -54%, ɜ -56%, u -64%, ɛ -75%, w -80%, p -81%, h -100%, k -101%, ʃ -101%, m -118%, n -138%"
ɑɻ,,,,,,,,,,,,,,,,,,,,,,,iə,"ə 453%, i 407%"
ɑʊ,,,kul,kɔl,ɐkaʊntənt,spɪl,spɪndəl,pɛtəl,kɹɔl,ʃaʊə,laɪk,kʌlt͡ʃə,lɪst,stɹɔbəɹi,,,kɔn,,,stjuədɛs,stjuədɛs,θɜsti,,"ɔ 86%, s 72%, l 58%, t 25%, k 24%, ɛ -18%, ə -26%, p -30%, u -33%, d -35%, ɹ -39%, j -52%, i -53%, ɜ -55%, ʊ -67%, n -73%, t͡ʃ -80%, a -96%, b -99%, ʃ -99%, ʌ -107%, ɪ -108%, ɐ -120%, θ -142%"
ən,mɪnɪt,,dju,spɹɪŋ,,nju,,tjulɪp,,ɪkɒnəmi,,,,,,,sɪt,,nju,wɒn,wɒlɹəs,d͡ʒɛləs,,"ɒ 202%, j 83%, u 80%, n 72%, ɪ 69%, w 50%, s 11%, ɹ -10%, p -20%, l -27%, ŋ -36%, t -51%, m -53%, d͡ʒ -54%, ɛ -54%, i -56%, ə -66%, d -80%, k -107%"
əŋ,wɛn,,maməl,swɒmp,dəʊ,dəʊ,maksɪməm,ɹeɪnbəʊ,kɹeɪn,,ɹeɪk,pɹeɪ,vɒlkeɪnəʊ,laɪ,,,mɪnɪməm,,kaʊ,mɛməɹi,dəʊm,teɪbəl,,"m 170%, ɹ 91%, ɪ 58%, ʊ 52%, e 52%, ə 0%, k -27%, w -27%, d -37%, ɒ -42%, n -43%, ɛ -47%, b -52%, l -53%, p -56%, i -65%, a -67%, v -94%, s -128%, t -161%"
ɤʊ,smuði,,hi,peɪ,mɑkɪt,kan,,,,,neɪkɪd,hapi,ti,,,,hi,,ɡɪlti,kandi,ʌndəstand,ti,mɪl,"h 116%, d 70%, i 62%, n 38%, ɪ 33%, t 12%, k -1%, a -3%, e -22%, m -24%, p -30%, ɑ -54%, ɡ -70%, l -74%, u -77%, ð -80%, ʌ -82%, s -99%, ə -118%"
ɨ,,,,,,,,,,leɪk,,,zɛbɹə,teɪk,,,,,,,,,,"e 230%, ɹ 192%, z 189%, k 170%, b 164%, ɪ 143%, ɛ 80%, l 2%, t -16%, ə -48%"
ɯʌ,,,sɪks,sɪks,kɔz,mɪnɪt,,,,lɪɹɪks,bɹɪk,kaɹɪktə,ɡɹas,skɹat͡ʃ,,,kɒf,,kɑt,tɹʌŋk,kaktəs,kat͡ʃ,kɒf,"k 329%, ɹ 279%, s 110%, ɪ 70%, a 11%, ɒ 5%, t -16%, f -23%, t͡ʃ -29%, ɑ -69%, ŋ -76%, ɡ -80%, b -85%, ʌ -92%, z -97%, ə -102%, m -109%, l -112%, ɔ -140%, n -159%"
ɻ,,,,,,,,,,,,,,,,,,,,bin,tul,laɪt,,"t 258%, b 258%, l 230%, u 126%, a 71%, n 67%, i 20%, ɪ 16%"
ʊŋ,,wiv,teɪbəl,peə,wiv,,nɜvəs,,,tɹɛmbəl,ɪnsɛns,ɪnsɛns,ɹɪlis,si,,,bʌbəl,,ɛvɪdəns,,sɛntɪpid,sɛptɛmbə,,"v 207%, s 139%, b 126%, ɛ 121%, n 52%, i -11%, w -11%, p -20%, ə -27%, ɪ -29%, l -40%, e -41%, ɜ -46%, d -61%, t -67%, m -83%, ɹ -87%, ʌ -100%"
∅,,,,,,,,,,,,,,,,,,,diteɪl,,,,,"d 350%, e 257%, t 184%, ɪ 174%, l 168%, i 85%"
,"ɒ 282%, m 209%, ɔ 174%, b 110%, ŋ 98%, t 85%, ɪ 75%, l 60%, u 55%, ʌ 51%, n 40%, ɛ 22%, ð 17%, p 1%, w -13%, i -19%, k -76%, s -112%, a -122%","i 419%, w 329%, v 298%","l 199%, p 170%, ʃ 109%, k 101%, e 71%, u 55%, ə 40%, m 37%, ʊ 10%, ɒ -3%, f -7%, z -30%, i -36%, w -40%, d -46%, ɪ -48%, a -49%, j -55%, h -71%, s -76%, t -78%, ɔ -80%, ʌ -88%, n -103%, b -112%","p 243%, s 132%, a 104%, ɔ 102%, t͡ʃ 94%, k 77%, l 66%, ʊ 50%, e 31%, f 16%, h -24%, ə -31%, w -37%, j -38%, ɪ -44%, i -50%, t -50%, ɒ -59%, m -73%, ʌ -73%, u -85%, ɹ -92%, ŋ -156%, n -214%","ə 270%, ʃ 222%, ʊ 150%, l 149%, ɒ 90%, k 52%, a 45%, d 11%, n -11%, w -18%, t -36%, i -36%, e -47%, ɹ -48%, v -49%, p -56%, z -71%, j -80%, ɑ -86%, t͡ʃ -87%, ɐ -92%, m -92%, ʒ -100%, s -101%, ɪ -104%, ɔ -123%","ə 189%, b 127%, ʊ 84%, p 68%, ʌ 61%, n 61%, d 50%, j 28%, m 3%, u -16%, z -24%, s -31%, k -33%, i -34%, a -35%, ɪ -35%, t -38%, ɑ -39%, t͡ʃ -47%, f -57%, l -66%, ɹ -101%, ð -130%","j 364%, u 337%, a 138%, ɡ 130%, ɔ 126%, m 105%, ə 47%, d 38%, s 17%, ɜ 13%, l 7%, ʃ -11%, ʊ -12%, n -14%, d͡ʒ -19%, v -24%, w -36%, b -77%, ɪ -78%, p -94%, ɛ -114%, k -135%, t -166%","t 255%, m 197%, ʌ 145%, b 140%, p 139%, ɑ 98%, a 57%, l 22%, u -9%, z -19%, ɪ -25%, ɜ -30%, ɹ -37%, ɛ -44%, j -48%, ʃ -50%, ə -62%, s -63%, e -63%, ɔ -69%, ʊ -106%, n -154%","e 320%, h 278%, k 143%, a 138%, p 127%, l 99%, ɪ 83%, ɹ 63%, t 48%, ɑ -7%, n -14%, t͡ʃ -20%, v -24%, w -36%, ɔ -40%, ɒ -52%, ʌ -67%, b -77%, ʊ -93%, ə -116%, m -121%, s -174%","ɹ 227%, ʊ 174%, n 97%, ɔ 81%, a 73%, j 41%, b 29%, s 26%, ə -4%, t -24%, m -31%, i -31%, d -35%, ɛ -37%, h -42%, l -42%, ʃ -42%, f -53%, e -60%, ɪ -61%, k -61%, ɒ -65%, ʌ -79%, u -92%","ɪ 274%, ɹ 164%, k 136%, a 76%, e 32%, n 19%, s 16%, p 16%, j -7%, t -23%, ʊ -23%, m -37%, z -52%, u -53%, i -57%, d -62%, l -75%, θ -79%, ɜ -85%, ɛ -88%, ʃ -98%, ə -131%, b -132%","k 170%, ɪ 113%, l 67%, a 49%, p 47%, h 42%, s 28%, ɹ 13%, t͡ʃ 1%, n -7%, j -15%, ə -17%, e -33%, t -34%, i -44%, ʌ -52%, z -58%, u -61%, f -72%, ɑ -74%, m -79%, ɒ -91%, ɛ -97%, ʃ -107%, d͡ʒ -110%, ɔ -110%, ʊ -126%","b 182%, l 151%, ɹ 116%, s 88%, ɛ 74%, t 69%, ʌ 11%, ɪ 6%, z -4%, i -7%, v -11%, ʊ -24%, d͡ʒ -35%, j -38%, n -41%, e -54%, ɒ -59%, ɡ -73%, a -75%, d -81%, ə -81%, u -85%, k -96%, p -100%","s 182%, ɪ 162%, ʒ 100%, k 81%, ɛ 78%, n 52%, ɹ 50%, e 33%, ə 25%, i -6%, t -7%, ʃ -25%, t͡ʃ -28%, d͡ʒ -32%, v -41%, ɔ -50%, d -80%, b -85%, ʊ -97%, p -99%, l -101%, m -124%, a -161%","z 259%, ɜ 203%, ʊ 174%, s 150%, d͡ʒ 138%, ɡ 79%, ə 43%, m 18%, n 17%, f 8%, ʌ -0%, u -2%, a -10%, ɹ -32%, ɛ -37%, t͡ʃ -39%, v -43%, j -44%, ɐ -47%, i -51%, ɪ -61%, d -84%, b -97%, k -101%, p -104%, l -122%, t -135%","t͡ʃ 281%, d͡ʒ 233%, ɡ 162%, ɔ 154%, ə 139%, ð 113%, ʊ 88%, ŋ 76%, ʌ 40%, n 18%, ɛ 9%, ɪ -2%, w -34%, ɒ -44%, i -46%, m -55%, l -61%, s -66%, t -70%, d -72%, ɹ -80%, k -81%, p -88%, a -134%","f 302%, a 159%, l 118%, b 102%, ɪ 66%, ɒ 63%, k 60%, i 32%, θ 8%, ə -9%, u -27%, m -51%, j -56%, p -58%, ʃ -70%, h -76%, s -79%, t -82%, ɔ -83%, ʌ -90%, ɹ -105%, n -109%, ʊ -113%, ɛ -141%","n 277%, ɛ 197%, ɐ 139%, m 134%, ʃ 122%, p 65%, ɔ 56%, s 42%, θ 41%, i 38%, ɪ 4%, ʌ -14%, ɑ -41%, ɹ -43%, t͡ʃ -49%, f -58%, h -63%, d͡ʒ -65%, e -67%, t -74%, d -88%, ɡ -99%, b -107%, ə -118%, l -142%, k -145%, a -190%","ɑ 241%, d 160%, ʊ 135%, k 115%, ɹ 30%, a 27%, i 17%, t 11%, j -3%, ɡ -6%, l -7%, e -22%, ɒ -26%, n -29%, w -31%, v -36%, u -49%, ə -55%, p -74%, ɛ -84%, ɪ -87%, s -99%","ʌ 297%, ɹ 149%, ɛ 131%, d 105%, u 77%, t 40%, j 34%, b 19%, k 11%, i 5%, f 3%, n 1%, ŋ -18%, w -39%, v -43%, ʃ -50%, h -52%, l -55%, s -63%, ɒ -68%, m -84%, a -103%, ʊ -106%, p -107%, ə -107%","d 270%, s 214%, ɛ 151%, n 138%, t 62%, ʌ 35%, ɡ 18%, ə 11%, a -4%, b -18%, u -36%, w -41%, i -55%, ʊ -60%, j -60%, p -64%, ɒ -80%, d͡ʒ -83%, k -84%, ɔ -90%, m -98%, l -102%, ɹ -108%, ɪ -180%","t 242%, θ 159%, ɛ 83%, b 56%, m 38%, ə 30%, s 6%, ɜ 2%, k -4%, i -5%, l -9%, ɑ -14%, h -17%, ʊ -20%, t͡ʃ -26%, p -27%, d͡ʒ -29%, f -46%, ɔ -48%, e -52%, a -67%, ɡ -67%, ʌ -71%, d -79%, ɪ -88%, ɹ -89%","ɒ 112%, m 103%, a 82%, ɪ 33%, h 25%, t 4%, d͡ʒ 3%, w -4%, p -5%, d -7%, u -10%, j -21%, n -26%, v -29%, i -33%, f -36%, s -37%, b -62%, ə -63%, ɹ -78%, ɑ -78%, t͡ʃ -80%, ʊ -84%, e -89%, ɜ -103%, ɛ -103%, ʌ -107%, θ -129%, k -130%, ɡ -144%, l -157%"
