,f,j,k,kʰ,l,m,n,p,pʰ,s,t,tʰ,t͡s,t͡sʰ,t͡ɕ,t͡ɕʰ,x,ɕ,ɻ,ʂ,ʈ͡ʂ,ʈ͡ʂʰ,∅
an,"ɡʌn,plaʊ,pʊə,bɔɪ,kɔn,ʃaʊə,kleɪ,pɔ,saʊə,pleɪ",,"pɔt,pʊt,ʃeɪk,kʌt,bʌt,pɔ,pɔɪnt,kɔt,ɡəʊt,d͡ʒɪŋkɡəʊ","pleɪt,ʃi,pleɪ,pleɪ,kɹɪkɪt,kleɪ,sɪt,bɔɪ,plan,pɹeɪ","eəkəndɪʃənə,ɡəʊldən,kəmpeə,pəʊləbeə,plaʊ,kəntɹəʊl,t͡ʃeəmən,kənteɪn,kaʊ,ɡəʊ","bəʊ,ɡəʊ,dəʊ,vɛt,fɛns,haʊ,ðeɪ,təʊ,bɑ,vaɪn","ɡəʊ,kaʊ,ʃaʊə,haʊ,bəʊ,vju,dju,nju,dəʊ,saʊə","bʌt,bʌs,pinʌt,nʌt,bʌkɪt,pleɪt,pʌs,dʌk,dɛkəɹeɪt,fəɡɛt","dɛkəɹeɪt,sɪɡəɹɛt,keɪk,ʃeɪk,ʃʌvəl,sɜkəl,t͡ʃeɪn,t͡ʃizkeɪk,t͡ʃans,teɪk","naʊ,saʊə,flaʊə,haʊ,ʃaʊə,vju,ðeɪ,ɐlaʊ,taʊə,nju","bɔɪ,bʊk,pɔ,dɛkəɹeɪt,tɔɪ,pɔɪnt,pʊə,pʊt,bʊt͡ʃə,dɔ","dɛkəɹeɪt,eɪnd͡ʒəl,fɹaɪdeɪ,ʃeɪk,avəlanʃ,ɐɹeɪnd͡ʒ,sɪɡəɹɛt,əʊkeɪ,keɪk,tɹeɪ",,"kleɪ,dɹaɡənflaɪ,pleɪ,pleɪ,kəlɪʒən,fɹaɪdeɪ,pɹeɪ,plaʊ,pleɪn,pleɪn",,,"pɔ,pʌs,tɔt͡ʃ,bʌs,pʌblɪk,bʌt,pʊʃ,pʊə,kɔ,tɔɪ",,"ðeɪ,ɡəʊldən,ɡɹandfɑðə,ʃaʊə,ɡəʊ,ɡəʊld,ɛnvaɪɹənmənt,θaʊzənd,tɹeɪndɹaɪvə,ɔlðəʊ","naʊ,flaʊə,daʊn,saʊə,saʊθ,ɐlaʊ,saʊnd,vɛt,tɹaɪ,taʊə","dɛf,dans,dɹɛs,ʃɜt,tɹavəl,ɡɛs,d͡ʒanjuəɹi,deɪnd͡ʒəɹəs,valju,dafədɪl","dans,avəlanʃ,tɹavəl,dɛvəl,kamfətɹi,fəɹɛvə,tɹansleɪt,ɹɛfəɹi,dɛf,tɹeɪ","tɔɪ,sɪt,t͡ʃeɪn,ʃi,seɪn,d͡ʒʌmp,ʃaʊt,seɪ,ʃaɪn,saɪn","ɪ 16%, ə 13%, n 11%, t 10%, a 10%, l 10%, k 9%, ʊ 7%, s 7%, e 7%"
aɪ,,,"pʌb,tʌŋ,t͡ʃɛɹi,kəmpʌlsəɹi,əbʌv,ʃeɪk,ɐkʌmpəni,heɪzəlnʌt,pʌblɪk,kʌmpəni","t͡ʃizkeɪk,t͡ʃɛɹi,kʌɹi,kiwi,kamfətɹi,ʃampeɪn,kʌlt͡ʃə,kəmpʌlsəɹi,kɹeɪzi,t͡ʃɪli","kəmpeə,eəkəndɪʃənə,kənsɪstənt,kənsʌltənt,ɐsɪstənt,ɪntɜn,ɐkaʊntənt,kɪt͡ʃən,aspən,t͡ʃeəmən","sɛnd,sɛntə,hʌnt,sɛl,hɛd,stɛpsʌn,ðɛn,hɛl,dɪsɛnd,hɛlθi","kəntɪnju,wɪndəʊ,balkəni,ɐkaʊntənt,nju,ju,ju,ɐmaʊnt,naʊ,kaʊ","sʌn,sʌn,bɹɛd,tɔɪlɪt,sɔɪsɔs,hʌt,ɡɹɪd,hɜb,sʌk,sɔt","pinʌt,kalkjʊleɪt,hʌɹɪkeɪn,kaməl,ʃampeɪn,kamfətɹi,teɪl,adʌlt,kamp,kaməmaɪl","nɛsɪsəɹi,maɹi,mɪnɪt,mɪl,mɪs,mɪs,nɛst,ɹɪsɛpʃənɪst,mɪliən,mɪlk","ɪɹɪɡeɪt,eɪt,weɪkʌp,ɪntʊ,neɪkɪd,ɪɡnɔ,tɔɪlɪt,ɛɡwaɪt,weɪt,weɪt","kəmpʌlsəɹi,ɪɹɪɡeɪt,t͡ʃizkeɪk,ɐkʌmpəni,ɛd͡ʒukeɪʃən,kʌmpəni,adʌlt,skɛlɪtən,balkəni,ɐvɔɪd","dɪlɪd͡ʒənt,ɹɪsɛpʃənɪst,ɹɪlɪd͡ʒən,ɪlɛktɹɪʃən,aɪɹɪs,aɪɹɪs,ɐnaləsɪs,t͡ʃalɪnd͡ʒ,balkəni,ɹɪspɒnsəbɪlɪti","kəlɪʒən,ɡaɹɪd͡ʒ,balkəni,əɹɪd͡ʒɪnəli,kaʒuəl,kɑneɪʃən,skaliən,ɹɪlɪd͡ʒən,ɡɹad͡ʒuəli,kaŋɡɐɹu",,,"ʃi,si,si,kɒfi,kɒmɪt,ni,ɡalɐksi,hi,maɹi,sihɔs",,,,"stand,and,ɐtɛnd,land,kandi,ni,ʌndəstand,nɛst,sand,ʌntɪl",,"hʌnt,stʌmp,ʌntɪl,ɡɪlti,ɑmpɪt,ant,ant,zu,ɐkʌmpəni,d͡ʒʌmp","ɪ 17%, n 13%, t 12%, ə 11%, k 10%, l 9%, s 9%, i 7%, d 6%, a 6%"
eɪ,"hi,lʌŋ,tʌŋ,jʌŋ,kɒfi,hapi,θɪk,θɪk,hɑf,θɹi",,"pʊʃ,pʌb,pɪɡ,tɔɪ,ɛɡ,θɪk,θɪk,tuθ,hi,əbʌv",,"patən,katəpɪlə,piəni,atəm,mɪliən,bɪliən,pɪstaʃɪəʊ,pɪləʊ,mitɪə,peəɹənt","kləʊðz,bɛləʊz,fɹɛʃ,θɹəʊ,fləʊ,fɹiz,təʊ,pis,fɛns,pɹɛfɹəns","d͡ʒɛləs,d͡ʒɪɹaf,vaɪɹəs,baɪɒləd͡ʒi,d͡ʒɛlɪfɪʃ,bɪləʊ,t͡ʃaɪld,waɪf,wʊlf,paɪlət","pʌb,pʌpɪt,hɪp,hɪl,hɜb,tap,stip,stʌmp,pil,tɜbɪd","θɹɛd,flʌd,θɹʌʃbɜd,əbʌv,lʌv,dʌm,pʌb,fɹɛʃ,tuθ,pil",,,,"əbʌv,avɹɪd͡ʒ,tɜbɪd,dɪstəns,ɛvɪdəns,pɪɹɐmɪd,ɪmɪd͡ʒ,wɪð,tɜtəldʌv,bʊʃ",,,,"kɒfi,kɒf,hɑf,faɪl,tuθ,fɪks,sihɔs,vaɪɹəs,hɪl,sɪks",,,"nɜv,fɹɛnd,ni,θɹi,fɹɛʃ,θɹɪfti,ti,nɛk,sneɪk,θɹɛd",,,,"ɪ 17%, l 12%, t 11%, s 11%, ə 10%, a 9%, n 8%, p 8%, k 7%, i 7%"
i,,,,,"baktiəɹiə,mitɪə,peə,peə,kliə,peəɹəntsɪnlɔ,peəɹənt,bɪɡsɪstə,beə,beə","pɹəʊsɛs,pɹɪnsɛs,pɛn,plutəʊ,pɹɒsɪkjutə,pɹəfɛsə,ɡʌn,bʌs,ðɛn,vakjumklinə","ju,ju,vju,dju,nju,stju,fju,ʃaʊə,haʊ,ɛndjʊə","ɹabɪt,bat,mɒs,bad,pʌpɪt,tɜbɪd,baskɪt,dɪsɐpiə,mɑkɪt,badmɪntən","plan,flat,pɛn,baskɪt,bad,bat,klɒθ,planɪt,kat,kɹɒs",,"bʊk,mɒθ,bʊʃ,plastɪk,bʊt͡ʃə,bɹɪk,mɒs,mjuzɪk,blak,last","plastɪk,pɛlɪkən,fɹɒɡ,kɪk,flat,ɡɑlɪk,teɪkkeəɹɒv,fɹɒst,keɪk,pɹɒsɪkjutə",,,"junɪvɜs,wɔtəfɔl,ʌndəstand,ɡladɪəʊləs,ɪntɛstɪn,dɪvɛləp,ɔkɪstɹə,dɪskʌs,ɔdə,dʌstbɪn","ɐɡɛn,təɡɛðə,klɛvə,kʌvə,ɔdə,ʌðə,ɡʌvən,kwin,fɛðə,ɡʌn",,"maθɪmatɪks,mitɪə,sʌnɪnlɔ,laɪtnɪŋ,mɛni,ɪmidɪətli,maɡnɪt,nɛfju,nɛk,snapdɹaɡən",,,,,"wɒnt,swɒmp,wɒn,wɒt,wɒʃ,ant,ant,mɒnjumənt,hʌnt,ʌndəstand","ə 15%, ɪ 13%, n 12%, t 12%, s 11%, k 8%, a 8%, l 7%, d 7%, ɹ 7%"
in,,,,,"djʊəɹiən,kjʊəɹiəs,klinə,mitɪə,d͡ʒəɹeɪniəm,t͡ʃeəmən,eəkəndɪʃənə,ziəɹəʊ,kliə,ɡɹəneɪd","paʊdə,ɛvɪdəns,pɹɪntə,ɛntə,kənsɪdə,wɪntə,tɛnθaʊzənd,bɪtə,kəʊɪnsɪdəns,ɐkaʊntənt",,"stɛpdɔtə,dəʊnʌt,səpɔt,nɛbjʊlə,dɔtə,ɹɪpɔtə,d͡ʒɪm,ɔtʌm,bʌtəkʌp,bɔɹɪŋ","kɹɪsanθəməm,pɹɪzən,kʌzən,ɡɑdən,ɡɑdənə,kwɑsɑ̃,pɹaɪvət,təɡɛðə,ɪnfəmeɪʃən,kwaiət",,,,,,"ɛksəsaɪz,səʊləsɪstəm,pɹaɪmmɪnɪstə,səʊld͡ʒə,ɐpɹɒksɪmət,ɔlðətaɪm,nɛbjʊlə,səsaiəti,ʃəʊldə,ɹɪpɔtə","ɡɑdənə,pɒpjʊlə,təɡɛðə,kɹɪsanθəməm,kənsɪdə,d͡ʒɪnd͡ʒə,ɔdə,spaɪdə,tjubə,ɔdɪnəɹi",,"dɪnaɪ,laɪtnɪŋ,səsaiəti,ɹaɪnəʊ,saɪn,saɪn,naɪn,daɪɹɛkʃən,naɪt,ɛksaɪtɪd",,,,,"ɪnəsənt,haɪɐsɪnθ,ɪnsaɪd,saiəns,ɛnvaɪɹənmənt,ɡɑdənə,səsaiəti,eəkəndɪʃənə,wʊmən,kənsɪdə","ə 22%, ɪ 14%, n 13%, s 9%, t 9%, a 8%, k 7%, ɹ 6%, l 6%, d 5%"
iŋ,,,,,"t͡ʃitə,klinə,kɒɹəl,ʃaʊə,ʃaləʊ,klin,pɹist,kliə,t͡ʃiz,kɒmən","vakjumklinə,ʃaɪn,klinə,t͡ʃitə,sidə,ʃadəʊ,faiəfaɪtə,fitə,faɪbə,ʃaʊə","tjubə,pjupəl,pəlismən,stju,ɐsjum,məskitəʊ,aɪskɹim,ɒpəɹə,d͡ʒanjuəɹi,switpəteɪtəʊ","səpɹaɪzd,satəlaɪt,pɹəvaɪd,tɹap,plan,planɪt,kɹab,pɹəʊɡɹam,sad,bɹaɪt","pleɪn,pleɪn,pɹəvaɪd,pleɪt,plan,pɑt,kɹeɪtə,kɹeɪn,kɹeɪn,plʌmə",,"pɹaɪmmɪnɪstə,səʊləsɪstəm,ɹɪfɹɪd͡ʒəɹeɪtə,sɪstəɹɪnlɔ,sɪstəm,sɪɹamɪk,lɪtəlsɪstə,laɪbɹəɹi,laɪtnɪŋ,maksɪməm","ɡɑlɪk,kəlɪʒən,plan,ɹɪfɹɪd͡ʒəɹeɪtə,klinə,flaɪ,flaɪ,ʃeɪk,pleɪn,pleɪn",,,"ɛksəsaɪz,kɒlənaɪz,aɪskɹim,klinə,ɛnəd͡ʒi,ʃaɪn,saɪn,saɪn,ɔdə,səʊləsɪstəm","klinə,klin,kwin,klɛvə,kɹeɪn,kɹeɪn,kliə,skɹin,ʃaɪn,kɹaɪ",,"ɹaɪnəʊ,laɪtnɪŋ,faɪnəli,naɪn,sɛkɹətɹi,saɪn,saɪn,pɹaɪmmɪnɪstə,maɪkɹəfəʊn,klinə",,,,,"səsaiəti,haɪ,haɪɐsɪnθ,aɪ,aɪ,ɪnsaɪd,faiəflaɪ,ʃaɪn,saɪn,saɪn","ə 19%, ɪ 15%, a 11%, n 10%, l 9%, t 8%, ɹ 8%, s 8%, k 7%, p 6%"
iɑ,,,,,,,,,,,,,,,"d͡ʒʌmp,ɔtʌm,d͡ʒɪm,t͡ʃɜp,d͡ʒɜm,d͡ʒɛlɪfɪʃ,kɛt͡ʃʌp,sʌm,ɑm,pʌmpkɪn","d͡ʒʌmp,d͡ʒʌd͡ʒ,pʌmpkɪn,tɹɛʒə,ʃampeɪn,pɹɛʃə,kamp,sʌm,d͡ʒɛlɪfɪʃ,tɹʌŋk",,"t͡ʃɜp,t͡ʃɛk,t͡ʃɪp,sɪɹamɪk,ʃɪp,d͡ʒʌmp,t͡ʃip,d͡ʒɪm,lamp,sʌk",,,,,"d͡ʒʌmp,ɑm,swɒmp,ɑmpɪt,kamp,ant,ant,ʃɹɪmp,ɒn,d͡ʒɒb","ɪ 18%, m 12%, p 10%, n 10%, s 10%, t 9%, k 9%, ə 8%, l 7%, ɛ 7%"
iɑŋ,,,,,"kənsɪdə,kənsɪstənt,t͡ʃeəmən,kəmplit,kɹɪsanθəməm,d͡ʒɛndə,kəmpeə,kənsʌltənt,t͡ʃeə,pɹɛzɪdənt",,,,,,,,,,"d͡ʒʌmp,d͡ʒɪm,ɪmad͡ʒɪn,ɪmpʌls,d͡ʒɛndə,dɪsɛmbə,ɪmpɔtənt,ɔtʌm,ɔdə,ɹɪmɛmbə","kʌlt͡ʃə,it͡ʃʌðə,dɒlfɪn,ɪmpʌls,fɔl,ɔl,d͡ʒulaɪ,tɔl,d͡ʒʌmp,fɛðə",,"d͡ʒulaɪ,t͡ʃɜp,d͡ʒʌmp,d͡ʒɪnd͡ʒə,d͡ʒɪm,sʌmə,t͡ʃɛk,d͡ʒɜm,d͡ʒɛndə,ɔdə",,,,,"ɪmpʌls,d͡ʒʌmp,kʌlt͡ʃə,kəmpʌlsəɹi,ɪmpɔtənt,kənsʌltənt,kʌmpəs,it͡ʃʌðə,ʃɛlf,ɪnfəmeɪʃən","ə 18%, n 14%, ɪ 13%, m 10%, t 9%, l 8%, s 8%, ɛ 7%, k 6%, ʌ 6%"
iɑʊ,,,,,"kəlɪʒən,eəkəndɪʃənə,t͡ʃeəmən,d͡ʒəɹeɪniəm,kənsɪstənt,pɒlɪtɪʃən,ɹɪfɹɪd͡ʒəɹeɪtə,kɒlɪflaʊə,ɐksɛləɹeɪʃən,kɒlənaɪz","saʊə,ʃaʊə,sɛntə,ʃaʊt,jɔn,taʊə,saʊnd,kaʊnt,paʊə,sʌnflaʊə","ʃaʊə,saʊə,aʊə,paʊə,naʊ,taʊə,ju,ju,flaʊə,haʊ","səpɔt,t͡ʃɜp,sɜfɪs,pɜsən,tɜmaɪt,sɜtən,tiʃɜt,sʌn,sʌn,sʌm","pʌmpkɪn,ʃɹɪmp,swɪm,tɛmpəl,kamp,swip,swɪŋ,swɪŋ,skwɪd,pʌŋk",,"peəɹənt,ɛlɪmənt,kəmpeə,peɪʃənt,pɹɪpeə,peɪpə,ɛkspɛɹɪmənt,pəʊləbeə,pɒpjʊleɪʃən,peə","kəlɪʒən,swɪŋ,swɪŋ,swit,skwɒt,skweə,swip,fjut͡ʃə,skɛlɪtən,twɪɡ",,,"sɔd,tɔl,sɔt,wɔtəfɔl,ɹɛkɔd,fɔl,junɪvɜs,ɹul,sʌn,sʌn","kʌlt͡ʃə,kwin,fɔl,tɔl,kɔl,kʌzən,kɹɔl,sʌn,sʌn,kʌvə",,"sɔd,daʊn,taʊn,sɔt,naʊ,sʌk,nɛk,ɐmaʊnt,maʊntɪn,kaʊnt",,,,,"swɒmp,d͡ʒʌmp,ɐmaʊnt,kaʊnt,ɐkaʊntənt,wʊlf,d͡ʒun,ɪnfəmeɪʃən,swɒn,peɪʃənt","ə 17%, n 13%, ɪ 12%, t 11%, s 11%, k 9%, l 8%, p 7%, a 6%, m 6%"
iɛ,,,,,"t͡ʃiz,ʃakəl,baɪsɪkəl,t͡ʃitə,ɐksɛləɹeɪʃən,sɪstə,lɪtəlsɪstə,t͡ʃik,sɪstəm,sɪkəl",,,"səpɹaɪzd,səksid,zɛbɹə,sʌmwɒt,stɹɪkt,dɪstɹɪkt,stɛpsʌn,sɛnd,ɐksɛpt,zəʊdiak",,,"bʊʃ,ɒstɹɪt͡ʃ,avɹɪd͡ʒ,wɒʃ,eəkəndɪʃənə,bɪkɒz,lɪɹɪks,bʊt͡ʃə,klasɪkəlmjuzɪk,pʊʃ","klasɪkəlmjuzɪk,plastɪk,ɹɪfɹɪd͡ʒəɹeɪtə,mjuzɪk,ʃeɪk,lɪtəlsɪstə,bɹɪk,t͡ʃizkeɪk,aɡɹɪkʌlt͡ʃə,bɪɡsɪstə",,,"ɛksəsaɪz,ɹɪsɛpʃənɪst,d͡ʒʌstɪs,səʊləsɪstəm,ɪlɛktɹɪʃən,dɪsɛnd,bɪɡsɪstə,ɪlɛktɹɪsɪti,dɪstɹɪkt,dɪziz","ɡʌn,d͡ʒɪŋkɡəʊ,d͡ʒaz,t͡ʃɪkɪn,t͡ʃɪn,kan,d͡ʒʌd͡ʒ,kaɹɪktə,t͡ʃɛɹi,t͡ʃiz",,"nɛkst,mɪks,maɡnɪt,ni,fʌnd,sɪks,ɡɹandsʌn,stɹɪkt,fʌni,hʌni",,,,,"d͡ʒʌmp,wɒnt,d͡ʒaz,d͡ʒɒb,ant,ant,az,ɒv,d͡ʒɔɪnts,d͡ʒʌd͡ʒ","ɪ 18%, s 14%, ə 11%, t 11%, k 10%, n 10%, ɹ 8%, d 6%, a 6%, ɛ 6%"
