,f,j,k,kʰ,l,m,n,p,pʰ,s,t,tʰ,t͡s,t͡sʰ,t͡ɕ,t͡ɕʰ,x,ɕ,ɻ,ʂ,ʈ͡ʂ,ʈ͡ʂʰ,∅
an,"bɑ,bɹeɪk,ɡʌn,plaʊ,dɔ,bʊk,bɔɪ,ɡəʊ,bɹɪŋ,pleɪ",,"ʃeɪk,pɔt,pʊt,kəʊt,ɡəʊt,kəʊk,bɹeɪk,kʌt,d͡ʒɪŋkɡəʊ,kʊk","bɔɪ,ʃeɪk,ʃi,θɪk,θɪk,pleɪt,sɪk,bʌkɪt,sɪt,tɔɪ","kəmpeə,eəkəndɪʃənə,ɡleɪʃə,plaʊ,d͡ʒɪŋkɡəʊ,t͡ʃeəmən,pəʊləbeə,kəmpjutə,t͡ʃeə,ɡəʊldən","bəʊ,dəʊ,ɡəʊ,faɪnd,haʊs,blaɪnd,vɛt,təʊ,bəʊt,fɛns","ɡəʊ,bəʊ,kaʊ,dju,ʃaʊə,kəntɪnju,vju,nju,paʊə,haʊ","bʌs,nʌt,nɔθ,dɛkəɹeɪt,bʌt,pʌs,pinʌt,pleɪn,pleɪn,pleɪt","teɪk,teɪbəl,teɪbəl,kaʒuəl,keɪk,dɛkəɹeɪt,sad,ʃakəl,ʃʌvəl,ʃeɪk","naʊ,ɐlaʊ,haʊ,flaʊə,saʊə,ðeɪ,vju,taʊə,nɛk,ʃaʊə","bʊk,bɹeɪk,keɪk,beɪk,kəʊk,pʊt,hʊk,ɹeɪk,leɪk,teɪk","ʃeɪk,əʊkeɪ,keɪk,tɹeɪ,dɛkəɹeɪt,fɹaɪdeɪ,teɪk,ɐɹeɪnd͡ʒ,seɪ,pɹeɪ",,"kleɪ,pleɪ,pleɪ,pɹeɪ,kləʊk,pleɪn,pleɪn,pleɪt,tɹeɪ,klɒk",,,"tɔt͡ʃ,bʌs,pɔ,pʌs,mʌðəɹɪnlɔ,bʌt,bɜt͡ʃ,dʌk,bəʊ,pɑk",,"faɪnd,ðeɪ,ɹeɪnbəʊ,ɡɹandfɑðə,fɑ,d͡ʒɪnd͡ʒə,θaʊzənd,ɒlmənd,ʃəʊldə,ɡəʊld","naʊ,dɛf,daʊn,slɪŋʃɒt,nɛk,nɛfju,saʊθ,dɪnaɪ,flaʊə,fɹɛʃ","dɛf,dɹɛs,d͡ʒanjuəɹi,valju,kandi,sand,deɪnd͡ʒəɹəs,dans,dɪsdeɪn,daɪɹɛkʃən","deɪ,tɹeɪ,ti,kandi,taɪ,ɹɛfəɹi,fəɹɛvə,tɹavəl,daɪ,daɪ","d͡ʒʌmp,deɪt,sut,tɔɪ,sɒft,sup,ʃut,sɒk,zu,lʌmp","ɪ 18%, ə 12%, k 10%, t 10%, n 10%, a 9%, e 9%, l 8%, ʊ 8%, d 7%"
aɪ,,,"heɪzəlnʌt,adʌlt,ɹʌb,pʌb,əbʌv,kʊk,kʊk,sʌk,nɔɪzi,pʊʃ","kiwi,keɪk,t͡ʃizkeɪk,weɪkʌp,paŋkeɪk,ki,kamp,kibɔd,kaɪt,kʊki","kəmpeə,kənsʌltənt,kənsɪstənt,eəkəndɪʃənə,kɪt͡ʃən,ɪntɜn,kʌmpəni,balkəni,peɪʃənt,ɐsɪstənt","sɛnd,sɛntə,dɪsɛnd,hʌnt,ɐksɛpt,stɛpsʌn,hɛd,sɛl,sɛptɛmbə,bɛnd","kəntɪnju,wɪndəʊ,ɪndɪpɛndənt,dɪpɛndənt,ɡɪlti,ɐkaʊntənt,balkəni,bijuzdtu,kaʊ,ɐmaʊnt","ɡɹɪd,bɹɛd,sʌk,hʌt,sɔɪsɔs,sɔt,ɪt,tɔɪlɪt,sʌn,sʌn","teɪbəl,teɪbəl,kaməl,teɪl,kaʒuəl,kasəl,heɪzəlnʌt,diteɪl,steɪbəl,sɔt","mɪl,stɪl,hɪl,sneɪl,kɪl,ni,mɛlədi,nɛst,ɡɪlti,mɪlk","ɪɹɪɡeɪt,neɪkɪd,weɪkʌp,ɛskeɪp,skɛlɪtən,weɪt,weɪt,ɛɡwaɪt,ɪɡnɔ,keɪk","skwɪd,twɪɡ,skɛlɪtən,ɪɹɪɡeɪt,ɐvɔɪd,skwɪɹəl,kwɪlt,ɜθkweɪk,wɪski,ɐɡɛn","d͡ʒanjuəɹi,d͡ʒʌstɪs,balkəni,ɪlɛktɹɪʃən,ɹɪsɛpʃənɪst,kandi,t͡ʃɛstnʌt,ɐnaləsɪs,dɪlɪd͡ʒənt,ɡalɐksi","ɡaɹɪd͡ʒ,kəlɪʒən,kaʒuəl,kɪt͡ʃən,kabɪd͡ʒ,keɪd͡ʒ,əɹɪd͡ʒɪnəli,kɑneɪʃən,kaʊ,ɹɪlɪd͡ʒən",,,"wɜk,ɡalɐksi,kɒfi,kɔ,wɛft,kɒntɛst,ʃild,kʌp,si,si",,,,"stand,nɛst,and,kandi,standəd,ni,naɹəʊ,ɹɛstɹɒnt,ɡɪlti,dɛntɪst",,"stʌmp,d͡ʒʌmp,ɡɪlti,hʌnt,ʌntɪl,dɛntɪst,kwɪlt,absənt,zu,ɑmpɪt","ɪ 17%, t 13%, n 12%, k 10%, s 10%, ə 9%, l 9%, d 7%, ɛ 7%, i 6%"
eɪ,"lʌŋ,lʌv,fɹɛʃ,bɑk,bɑk,bak,lɛɡ,pɑk,flaʃ,jʌŋ",,"tɔɪ,pʊʃ,tuθ,əbʌv,ɛɡ,tu,tu,tu,tɔt͡ʃ,bɔɪ",,"mitɪə,piəni,patən,aftə,mɪliən,atəm,t͡ʃeəmən,t͡ʃitə,matə,midiə","fɹiz,fɹɛʃ,pis,kləʊðz,bɜd,θɹʌʃbɜd,θɹɛd,flaʃ,bɜn,lɛnz","d͡ʒɪɹaf,baɪɒləd͡ʒi,waɪf,t͡ʃaɪld,d͡ʒɛləs,ɡɛs,laɪf,baɪ,bɪliv,ɡɪlti","tɜtəldʌv,nɜs,tʌt͡ʃ,pʌb,pɛt,sɜfɪs,hɛd,pʌpɪt,sɛks,pʌs","θɹʌʃbɜd,θɹɛd,tuθ,flʌd,fɹɛʃ,fid,flaʃ,flat,fil,əbʌv",,,,"əbʌv,avɹɪd͡ʒ,lʌv,tɜbɪd,tɜtəldʌv,bʊʃ,bɛvəɹɪd͡ʒ,ɡɑbɪd͡ʒ,nɜv,nɛɡətɪv",,,,"kɒfi,kɒf,tuθ,fɪzɪks,ɹɪlaks,sɛks,sihɔs,θɪŋk,tɔt͡ʃ,fɪks",,,"nɜv,ni,nɛk,fɹɛʃ,fɹɛnd,θɹi,lɛft,lɛft,flaʃ,ɹʌf",,,,"ɪ 14%, l 11%, s 11%, t 11%, ə 9%, d 9%, i 9%, ɛ 9%, a 8%, f 8%"
i,,,,,"mitɪə,kliə,baktiəɹiə,peə,peə,midiə,ʃeə,feə,t͡ʃeə,bɪɡsɪstə","pɹɪnsɛs,pɹəʊsɛs,pɹiviəs,pɛn,bɜn,bʌs,vakjumklinə,baθɹum,ðɛn,hɛvi","ju,ju,vju,dju,stju,nju,ʃaʊə,haʊ,paʊə,fju","bat,badmɪntən,baskɪt,dɪpɛndənt,mɒθ,mɒs,bɒtəm,dɪvɛləp,dɪskʌs,tɜbɪd","flat,ðat,bat,klɒθ,bad,fɹɒɡ,snɒt,fəbɪd,fɹɒst,flaʃ",,"bʊk,mɒθ,bʊʃ,skɛlɪtən,mɒs,bɹant͡ʃ,bɹɪk,pʊʃ,valju,plastɪk","klɒk,plastɪk,teɪkkeəɹɒv,fɹɒɡ,klɒθ,keɪk,pɛlɪkən,kɪk,fɹɒst,dɹaɡənfɹut",,,"junɪvɜs,eəkəndɪʃənə,tɛlɪvɪʒən,ɔkɪstɹə,kɛmɪstɹi,dɪsɛnd,tɛknɒləd͡ʒi,wɔtəfɔl,dɪvɛləp,nɛɡətɪv","klɛvə,təɡɛðə,ʌvən,ɐɡɛn,hɛvən,fəɹɛvə,ɛd͡ʒukeɪʃən,sɛvən,ɡʌvən,ʌðə",,"maθɪmatɪks,siɐnɛməni,mitɪə,ɐnɛməni,mɛni,maksɪməm,laɪtnɪŋ,sɪɹamɪk,mɪnɪməm,snapdɹaɡən",,,,,"ɡɪft,ant,ant,wɒnt,ɑmpɪt,dɛntɪst,hʌnt,kandi,swɒmp,ʌvən","ə 15%, ɪ 13%, n 13%, t 12%, s 11%, k 9%, d 7%, ɛ 7%, l 7%, a 7%"
in,,,,,"d͡ʒəɹeɪniəm,mətiəɹiəl,kjʊəɹiəs,mitɪə,klinə,djʊəɹiən,nidəl,t͡ʃeəmən,pəlismən,əɹɪd͡ʒɪnəli","paʊdə,kaʊnt,pandə,tɛnθaʊzənd,ɛvɪdəns,θaʊzənd,faɪbə,nəʊvɛmbə,ɐkaʊntənt,bɪhaɪnd",,"səpɔt,dəʊnʌt,sʌk,maɪkɹəfəʊn,ɔtʌm,ɪɹəʊd,nɛbjʊlə,bʌtəkʌp,tɔtəs,səʊbə","ɡɑdən,pɹɒbəbəl,təɡɛðə,pɹɪzən,ɡɑdənə,kwaiət,kɹɪsanθəməm,kəlɪʒən,pɹaɪvət,fəbɪd",,,,,,"nəʊtɪs,ɪnəsənt,ɪnɜʃə,ɛksəsaɪz,səʊld͡ʒə,pɹəʊɡɹamə,səʊləsɪstəm,nɛbjʊlə,kɹɪsanθəməm,ɐnaləsɪs","təɡɛðə,ɡɑdənə,kəlɪʒən,ʌðə,pɒpjʊleɪʃən,pɒpjʊlə,eəkəndɪʃənə,pɹɒbəbɪlɪti,pɪd͡ʒən,mʌðə",,"dɪnaɪ,naɪt,hapɪnəs,səsaiəti,kɒlənaɪz,taɪ,naɪf,maθɪmatɪks,naɪn,paɪnapəl",,,,,"swɒmp,ɑmpɪt,ɪnəsənt,ɡɑdənə,kamp,ɡʊdbaɪ,mɒnjumənt,avəkɑdəʊ,aɪ,aɪ","ə 22%, ɪ 14%, n 13%, a 9%, t 9%, s 7%, k 7%, m 7%, ɹ 6%, l 6%"
iŋ,,,,,"klinə,t͡ʃitə,kɒɹəl,nidəl,klin,faɪnəli,kliə,ʃaʊə,sidə,kaməl","faɪbə,klinə,fitə,faiəfaɪtə,vakjumklinə,hamə,sidə,pɹəvaɪd,faɪnəli,nəʊvɛmbə","məskitəʊ,pəlismən,eɪnd͡ʒəl,ɒpəɹə,switpəteɪtəʊ,pjupəl,tjubə,mʌlbəɹitɹi,ikwəl,hələʊ","pɹəvaɪd,paɹət,fat,fat,tɒp,vaɪɹəs,paɪlət,fid,ɹəʊbɒt,faɪt","pɹəvaɪd,pɑt,tɒp,haɪd,eɪpɹəl,ɒpəɹə,pɹɒbəbəl,faɪbə,pleɪt,hɑd",,"ɹəʊbɒt,pɹəʊɡɹamə,təmɒɹəʊ,eɪpɹəl,bɒɹəʊ,pɹəʊɡɹam,maɹəʊ,ɹəʊp,spaɹəʊ,pɒpjʊlə","kʊk,kʊk,kləʊk,kleɪ,klam,pleɪ,pleɪ,plan,bʊk,pup",,,"kɒlənaɪz,ɛksəsaɪz,klinə,ɪkɒnəmi,ɪnɜʃə,ɐnaləsɪs,ɪɹəʊd,ɛnəd͡ʒi,avəkɑdəʊ,kɒmən","klinə,klɛvə,kɹeɪn,kɹeɪn,kaməl,kləʊk,kleɪ,pɹəʊɡɹamə,plʌmə,kliə",,"ɹaɪnəʊ,faɪnəli,kaməmaɪl,hapɪnəs,kɒlənaɪz,paɪnapəl,hamə,ɪkɒnəmi,naɪn,feɪməs",,,,,"kamp,kaməl,kɑd,hamə,kaɹət,ɡɒd,kɒɹəl,avəkɑdəʊ,stamp,kaɪt","ə 21%, ɪ 12%, a 12%, l 10%, t 8%, n 8%, k 8%, ɹ 8%, p 6%, m 6%"
iɑ,,,,,,,,,,,,,,,"d͡ʒɛlɪfɪʃ,ɔtʌm,t͡ʃɜp,kɛt͡ʃʌp,d͡ʒʌmp,t͡ʃɛk,d͡ʒɜm,ɪlɛktɹɪʃən,aɡɹɪkʌlt͡ʃə,ɹɪsɛpʃənɪst","pɹɛʃə,tɹɛʒə,fit͡ʃə,d͡ʒʌmp,tɛlɪvɪʒən,sʌm,ʃɛl,d͡ʒɛlɪfɪʃ,kɛt͡ʃʌp,d͡ʒɜm",,"t͡ʃɜp,sɪɹamɪk,ʃɪp,t͡ʃɛk,t͡ʃɪp,t͡ʃip,ʃip,nɛbjʊlə,səpɔt,map",,,,,"d͡ʒʌmp,swɒmp,ʃɹɪmp,ɑm,ɑmpɪt,kamp,ʃɪp,lamp,lʌmp,pʌmpkɪn","ɪ 16%, ə 11%, m 11%, s 10%, n 10%, p 9%, ɛ 8%, t 8%, l 8%, k 8%"
iɑŋ,,,,,"ɪmad͡ʒɪn,d͡ʒɪm,kəmplit,ɹɪmɛmbə,kəmpeə,d͡ʒɛndə,pɹɪntə,d͡ʒɪŋkɡəʊ,t͡ʃitə,dɪsɛmbə",,,,,,,,,,"d͡ʒʌmp,ɪmad͡ʒɪn,d͡ʒɛndə,d͡ʒɪm,dɪsɛmbə,ɔtʌm,d͡ʒɪŋkɡəʊ,ɪmpɔtənt,t͡ʃɜp,ʃəʊldə","it͡ʃʌðə,kʌlt͡ʃə,d͡ʒʌmp,pʌmpkɪn,d͡ʒɪŋkɡəʊ,d͡ʒɜm,sɔd,ɪŋklud,səʊld͡ʒə,sʌn",,"t͡ʃɜp,ɹaɪm,d͡ʒɪm,sʌmə,d͡ʒʌmp,d͡ʒulaɪ,ɪmad͡ʒɪn,ɹɪmɛmbə,t͡ʃɜt͡ʃ,lamp",,,,,"d͡ʒʌmp,pʌmpkɪn,ɪmpʌls,kʌmpəs,pʌŋk,kjukʌmbə,stʌmp,d͡ʒɪŋkɡəʊ,kʌlt͡ʃə,d͡ʒɜm","ə 17%, ɪ 14%, m 13%, n 11%, t 9%, p 8%, ʌ 7%, k 7%, l 7%, s 7%"
iɑʊ,,,,,"kəlɪʒən,əɹɪd͡ʒɪnəli,vɛd͡ʒɪtəbəl,ɹɪfɹɪd͡ʒəɹeɪtə,ʃaʊə,kɒlɪflaʊə,bəlun,ʃakəl,t͡ʃeə,d͡ʒəɹeɪniəm","kjub,ʃaʊə,sɛntə,saʊə,saʊnd,tjubə,dɔn,jɔn,bɜd,kjukʌmbə","ʃaʊə,saʊə,aʊə,paʊə,pɔ,flaʊə,sʌnflaʊə,pjupəl,djʊəɹɪŋ,fju","t͡ʃɜt͡ʃ,t͡ʃɜp,səpɔt,sɜtən,ʃɜt,bʌtəkʌp,pɜsən,tʌt͡ʃ,kɛt͡ʃʌp,tɜtəl","swɪm,ʃɹɪmp,swip,swɪŋ,swɪŋ,pʌb,dʌm,swɒmp,swit,skwɪd",,"ɪmpʌls,pʌblɪk,kəmpʌlsəɹi,ɹɪspɒnsɪbəl,pɹɪns,pɹɪntə,mʌnθ,pʌb,bɛnt͡ʃ,pʌŋk","skweə,twɪɡ,skwɪd,swɪŋ,swɪŋ,skwɪɹəl,skup,swip,skɹat͡ʃ,skwɒt",,,"ʃɛdjul,t͡ʃɜt͡ʃ,kɛt͡ʃʌp,tɛlɪvɪʒən,ɹɛkɔd,tiʃɜt,sɔd,t͡ʃɜp,kʌlt͡ʃə,d͡ʒɛlɪfɪʃ","kʌlt͡ʃə,pɹɛʃə,fit͡ʃə,it͡ʃʌðə,tit͡ʃə,kəlɪʒən,ʃɛdjul,t͡ʃɜt͡ʃ,ɛd͡ʒukeɪʃən,tɹɛʒə",,"kɛt͡ʃʌp,tiʃɜt,daɪnɪŋɹum,neɪt͡ʃə,t͡ʃɜt͡ʃ,sɔd,tit͡ʃə,spɪnɪt͡ʃ,fɔl,mad͡ʒɪk",,,,,"d͡ʒʌmp,swɒmp,stʌmp,ʃɹɪmp,dɔn,pʌŋk,d͡ʒun,kʌmpəs,kaʊnt,tjulɪp","ə 16%, ɪ 13%, n 11%, s 10%, l 10%, t 10%, k 10%, p 8%, m 7%, a 6%"
iɛ,,,,,"t͡ʃitə,ʃakəl,t͡ʃiz,ʃɛl,sisɔ,t͡ʃik,sil,pɛtəl,ʃʌtəl,mɛtəl",,,"ɹəʊbɒt,sɛkɹətɹi,zɛbɹə,zəʊdiak,səʊləsɪstəm,səpɹaɪzd,ɑbɪtɹəɹi,t͡ʃɒklət,sʌndeɪ,səpɔt",,,"bʊʃ,ɒstɹɪt͡ʃ,dɪstɹɪkt,dɪsɡʌstɪd,ɛɡzɪt,dɪskʌs,eəkəndɪʃənə,maɡnɪt,aɡɹɪkʌlt͡ʃə,bɒdɪɡɑd","splɪt,bɹeɪk,bɹɪk,skweə,pɹeɪ,spɹɛd,pleɪ,pleɪ,plastɪk,stɹeɪt",,,"ɛksəsaɪz,ɹɪsɛpʃənɪst,ɪlɛktɹɪʃən,ɪlɛktɹɪsɪti,ɐksɛləɹeɪʃən,d͡ʒʌstɪs,ɛkspləʊd,t͡ʃɛstnʌt,səʊləsɪstəm,stɛpsʌn","d͡ʒʌd͡ʒ,d͡ʒɜm,d͡ʒaz,kɹeɪzi,t͡ʃɛɹi,ɡʌn,kɹeɪn,kɹeɪn,ɐɡɛn,sʌn",,"ni,hʌni,maɡnɪt,fʌni,nɛkst,maθɪmatɪks,ɡɹandsʌn,stɛpsʌn,sɛnd,mɪks",,,,,"d͡ʒʌmp,ant,ant,ðɪs,hʌnt,d͡ʒɒb,d͡ʒaz,d͡ʒɔɪnts,ɛnd,vɔɪs","ɪ 14%, s 14%, t 12%, ə 12%, n 10%, ɹ 9%, k 8%, l 7%, ɛ 7%, i 6%"
