,f,j,k,kʰ,l,m,n,p,pʰ,s,t,tʰ,t͡s,t͡sʰ,t͡ɕ,t͡ɕʰ,x,ɕ,ɻ,ʂ,ʈ͡ʂ,ʈ͡ʂʰ,∅
an,"fɒls,t͡ʃans,hɑf,t͡ʃɪp,pɹɪns,pɹɛfɹəns,pəfɔməns,ɜθ,ɜθ,sɒlstɪs",,"tɔtəs,tiʃɜt,bʌtəflaɪ,pit͡ʃ,pɹaɪvət,bit͡ʃ,bit͡ʃ,pɛt,tʌt͡ʃ,səpɔt","tɔtəs,tɜtəldʌv,ɒktəpəs,bʌtəflaɪ,switpəteɪtəʊ,dɹaɪv,pəteɪtəʊ,fəʊtəɡɹaf,kɜtən,dɹɛs","ɪlɛktɹɪsɪti,hi,dɛnsɪti,ɛksaɪtɪd,hʌɹi,mʌŋki,ʌɡli,ɛɡzaktli,ɑkɪtɛkt,sɪti","wɒʃ,waɪ,kɹaɪ,kat͡ʃ,wɪt͡ʃ,skɹat͡ʃ,laɪ,laɪ,waɪp,flaɪ","kɹaɪ,haɪ,fɪks,hi,θɪk,θɪk,fɹikwənsi,wɜk,haɪɐsɪnθ,sikwəns","t͡ʃɜt͡ʃ,kaʃju,kɛt͡ʃʌp,ɑt͡ʃ,kat͡ʃ,tʌt͡ʃ,aʃ,ɒstɹɪt͡ʃ,it͡ʃ,daʃ","səʊ,səʊ,səʊ,ʃəʊ,plutəʊ,hələʊ,sɔ,fju,vju,lʊkfɔ","nɜs,mɑt͡ʃ,dwɔf,pɹɒsɪkjutə,maθɪmatɪks,klɒθ,mat͡ʃ,matə,nɛptjun,ɑt͡ʃ","tʌt͡ʃ,dʌk,tɹʌk,bɹʌʃ,dɜti,nʌt,bɜt͡ʃ,ɑt͡ʃ,nɜs,tɔtəs","tɔtəs,ɒktəpəs,tɹu,dɔtəɹɪnlɔ,bʌtəflaɪ,tɹaɪ,ɛksəsaɪz,dɹaɪ,aktə,kaktəs",,"dɪkʃənəɹi,lʊkfɔ,ɛksplɔ,tɔɪ,fɒks,tu,tu,tu,kʊʃən,kɒfi",,,"kəntɹəʊl,kləʊðz,bɪhaɪnd,ɡəʊldən,pɹɛfɹəns,ʃəʊldə,kəʊld,wɒlɹəs,patən,fləʊ",,"flaɪ,flaɪ,laɪthaʊs,flʌd,flaʃ,pit͡ʃ,fɹaɪ,laʊs,haʊmʌt͡ʃ,fɹɛʃ","pas,wʊlf,patən,pɹɛfɹəns,wɔtəmɛlən,mʌnθ,təmɑtəʊ,map,satɜn,wɒʃ","jɛt,hat,swɒləʊ,wɔlnʌt,patən,at,ɑt,nʌt,fat,fat","kənstɹʌkʃənsaɪt,mɛnʃən,mɛdsən,ɛksplɔ,daɪɹɛkʃən,tɜmaɪt,fɹɪkʃən,ɪlɛkʃən,patən,kənɛkt","pɹaɪs,pɛt,flɔ,baɪt,flut,fɹut,bʌtəflaɪ,kaɪt,pis,pɹɛfɹəns","t͡ʃ 192%, θ 191%, f 147%, ɜ 120%, a 119%"
aɪ,,,"pɔɪnt,bɒɹəʊ,paɪp,kɹəʊ,pɹaɪvət,pɔ,ɪmpɔtənt,θɹəʊ,aɪskɹim,bambu","məskitəʊ,tɔtəs,ɪntʊ,stɔ,ɔkɪstɹə,spiə,dɪsɐpiə,pianəʊ,tu,tu","stɪŋki,θɹi,θɹɪfti,pʌmpkɪn,ɪntɛstɪn,fɹʌnt,bʌkɪt,fɹikwənsi,dɛnsɪti,ɪntɹɛstɪŋ","ɹɪspɒnsɪbəl,tɹampəlin,kaməl,ɑmpɪt,hɪbɪskəs,maŋɡəstin,ɛɡzampəl,pʌmpkɪn,kʌmpəs,baɪsɪkəl","θɪk,θɪk,kɪk,θɪŋk,kɹɪkɪt,fɪŋɡə,fɪks,tɪkɪt,stɪŋki,sɪŋɡəl","dɪskʌs,dɪsɡʌstɪd,tɛlɪskəʊp,avəkɑdəʊ,stamp,dɛntɪst,spaɹəʊ,pianəʊ,teɪbəltɛnɪs,teɪst","tɛlɪskəʊp,spaɹəʊ,pianəʊ,kɹɒkədaɪl,əʊkeɪ,həʊtɛl,paŋkɹiəs,kɹəʊ,kaŋɡɐɹu,hələʊ","pɹaktɪs,pɪləʊ,dɪstɹɪkt,ɪŋkɹis,aɹəʊ,kaktəs,dɛntɪst,plastɪk,aktə,kɹəʊ","ɪntɛstɪn,ɪndʌstɹi,ɪntɹɛstɪŋ,dəʊnʌt,dʌk,dɜti,stɪŋki,pɔɪnt,dəʊneɪt,tʌt͡ʃ","tɔɪ,du,tu,tu,tu,dɔ,ɡɪtɑ,pɔɪnt,dɛntɪst,ɪntʊ","ɑkɪtɛkt,dɒŋki,tiə,teɪkkeəɹɒv,steə,atɪk,ant,ant,eə,ɐtak","ɑkɪtɛkt,ɛkspiəɹɪəns,ʌniən,baktiəɹiə,tʌŋ,dɒŋki,piəni,paŋkɹiəs,tɔɪ,ɪnfɛkt",,,"swɒmp,dɪfɹənt,tjubə,pɪŋk,pɔɪnt,bɪtə,kɒnflɪkt,slantɪd,dɪpɛndənt,baɪt",,,,"kɒnflɪkt,tɹanspaɹənt,bɑn,stamp,kɹɪsanθəməm,amplɪtjud,dʌstpan,pan,fan,hjumən",,"fluɪd,fləʊt,kaɪt,ɪnhɛɹɪt,peɪst,pʌmpkɪn,pɔɪnt,kɒnflɪkt,θɹəʊ,tɹansleɪt","ŋ 188%, t 182%, k 145%, ɪ 95%, p 57%"
eɪ,"kəntɹəʊl,pɹɪntə,kənsɪstənt,kəʊm,ɐkaʊntənt,pɹɪnt,t͡ʃaɪld,stəʊn,maʊntɪn,kəʊld",,"stəʊn,fɹɛʃ,kəntɹəʊl,fɹiz,pɹaɪmmɪnɪstə,slaɪd,slaɪd,kɑpəntə,kəʊld,kəʊst",,"θɹɪfti,stɪŋki,kliə,ɡɪlti,ʌntɪl,kɛmɪstɹi,fɹʌnt,baktiəɹiə,kɹʌst,kɹʌst","pəʊstkɑd,kɑd,haɪ,kɹaɪ,taiəd,haɪd,steəz,spaɪk,plastɪk,faiəflaɪ","nʌtmɛɡ,nɛk,ɪɡnɔ,ɛɡplənt,nɛtwɜk,kənɛkt,ɛɡ,sɪkɐmɔ,kɪk,sɪk","avɹɪd͡ʒ,kabɪd͡ʒ,kəʊst,pəʊstkɑd,kəʊld,kɜvd,ɡɑbɪd͡ʒ,kəʊk,slaɪd,slaɪd","pəʊstkɑd,təʊfu,kəʊst,stɑ,təʊ,jɛstədeɪ,flɐmɪŋɡəʊ,fləʊ,θɹəʊ,fɹaɪ",,,,"pɹɪnt,splɪt,kwɪlt,pɹɪntə,kəmplit,ɡʊəd,sɪlk,tɹɪliən,kʌmpəni,mɪlk",,,,"wʊdpɛkə,taɪɡə,pɪkt͡ʃə,pɪɡ,t͡ʃitə,pɪŋk,bɪtə,slaɪd,slaɪd,peɪpə",,,"pɹaɪmmɪnɪstə,məʊmɛntəm,pɹɪnt,ʃɹɪmp,maʊntɪn,mɪnt,kɒnflɪkt,pɹɪntə,ɐmaʊnt,ʃɹɪŋk",,,,"k 177%, ɐ 128%, ɪ 122%, ɑ 86%, t 84%"
i,,,,,"hʌŋɡɹi,sʌmtaɪmz,sʌm,dɹim,ʌɡli,kɹim,hʌɹi,ɔtʌm,fʌni,stɛm","laŋɡwɪd͡ʒ,sɪblɪŋz,bɹʌʃ,ɡlas,kamɹə,t͡ʃalɪnd͡ʒ,bɹant͡ʃ,mɑz,ɡɹad͡ʒuəli,pɹəʊɡɹamə","sɪblɪŋz,sɪŋ,bɹɪŋ,sɪk,sɪmbəl,hɪp,θɪŋ,spɹɪŋ,spɹɪŋ,bɹɪk","ʃaləʊ,avɹɪd͡ʒ,aɹəʊ,fɹɛʃ,steɪd͡ʒ,təʊ,ɡaɹɪd͡ʒ,stamp,ʃadəʊ,az","təʊfu,jɛstədeɪ,təʊ,hələʊ,pəʊstkɑd,həʊ,kəʊst,stɑ,ʃəʊ,hɪstəɹi",,"lɛtə,lɛtə,tit͡ʃə,neɪt͡ʃə,aftə,ɹɪpɔtə,stɹɛt͡ʃ,sɪstə,dɔtə,ɒtə","təʊfu,təʊ,stɔ,lɪtəlsɪstə,sɪstə,stɑ,hɪstəɹi,pɔ,aftə,təmɑtəʊ",,,"stɛpmʌðə,stab,hamə,adʌlt,stɛpfɑðə,hɜb,hɛd,əbʌv,hɑd,hɛlθi","stɔ,hu,hɒspɪtəl,fɔ,fɔ,hɔn,hɔn,stɛpsʌn,θɜsti,pɛtəl",,"məʊmɛntəm,pʌmpkɪn,sɪmbəl,tɛmpəl,nəʊvɛmbə,pʌŋk,kjukʌmbə,θɪŋk,sɪmɛnt,dɪsɛmbə",,,,,"hamə,haʊ,kamɹə,fɹeɪm,stɒp,pɹaɪmmɪnɪstə,faɪbə,fast,paʊdə,haɪdɹeɪnd͡ʒə","h 306%, m 126%, a 102%, ʊ 84%, ɑ 81%"
in,,,,,"sʌfə,sihɔs,sɔɪsɔs,sʌm,ɪklɪps,sɔs,klɪf,kliə,sɜfɪs,hʌŋɡɹi","nɒlɪd͡ʒ,wɪt͡ʃ,laŋɡwɪd͡ʒ,fɒɹɪst,waɪp,ɡɹad͡ʒuəli,jɑn,skɹat͡ʃ,stɹɛt͡ʃ,vɔɪs",,"pɛsəl,tiʃɜt,kɪt͡ʃən,pɒlɪtɪʃən,tit͡ʃə,kɛt͡ʃʌp,kasəl,pi,kəlɪʒən,ki","sɔɪsɔs,sɔ,fɔ,fɔ,hu,təʊfu,bɪfɔ,bɪfɔ,lʊkfɔ,ʃu",,,,,,"fɹɒm,fɹɒɡ,fɔwəd,fɪʃəmən,əbʌv,θɹʌʃbɜd,ʌvən,ɔɡən,flʌd,mʌʃɹum","fɔ,fɔ,fɔwəd,hu,sɔ,bɪfɔ,bɪfɔ,ʃʊə,sɔɪsɔs,θɔn",,"fɪʃ,kɪs,vɔɪs,klɔɪstə,ɒfɪs,vɒdkə,dɒŋki,fit͡ʃə,mʌŋki,sɜfɪs",,,,,"fʊt,ɔkɪstɹə,vɔɪs,sɔɪsɔs,fʊtbɔl,feə,fud,fiə,fɔt,fɒɹɪst","ɔ 312%, f 252%, ɒ 191%, ɑ̃ 176%, θ 154%"
iŋ,,,,,"ɹɪvə,pɹiviəs,ɪklɪps,klɪf,lɪvə,ɪfɛkt,vɪktɪm,hɛvi,pɹɪpeə,skɹɪpt","fɒɹɪst,laŋɡwɪd͡ʒ,wɪt͡ʃ,wɪp,kamp,fɑmə,waiə,siəɹiəs,sihɔs,weə","ɹɪt͡ʃ,wɪt͡ʃ,kɔz,ðɪs,wɒlɹəs,bɹɪd͡ʒ,kɔn,fɪʃ,ɡɹas,kɔl","ɹɪfɹɪd͡ʒəɹeɪtə,fɒɹɪst,θɹɪfti,avɹɪd͡ʒ,lɪvə,kɒnflɪkt,ɹɪvə,kɒnt͡ʃ,kəlɪʒən,fɹɛʃ","təʊfu,fɒɹɪst,ɹɛfəɹi,ɡɪft,dɪkʃənəɹi,θɹɪfti,bɪfɔ,bɪfɔ,hu,fɔ",,"skup,kʊk,kʊk,pup,pʊt,kɒpə,kɒfi,kʊki,kɔt,ʌp","ɹɪpɔtə,sʌfə,dɪkʃənəɹi,fɜ,fɜ,ɹɛfəɹi,ɹɪvə,aftə,ɒfən,lʊkfɔ",,,"fɑðə,ɒd,fɛðə,kʌvə,fɑt,hɒt,ʌðə,kɒɹəl,pɒt,junɪvɜs","hu,fɔməl,hɛvən,fɔ,fɔ,fɔwəd,fɑðə,hɔn,hɔn,pəfɔməns",,"fɪʃ,ðɪs,ɒfɪs,fɪnɪʃ,dɪfɪkəlt,fɪŋɡə,θɪŋk,fɪzɪks,fʊt,mɪθ",,,,,"weə,weə,pʊt,pɒpjʊlə,fʊt,jiə,pɒt,ðeə,ɹɪvə,hɒt","f 324%, ɒ 240%, ð 224%, v 179%, h 161%"
iɑ,,,,,,,,,,,,,,,"nɜs,paɹət,kaɹət,dɜti,nɛtwɜk,nɜsəɹi,pinʌt,nʌt,səsaiəti,dɛzət","sɜv,sɜtən,sɜkəl,sʌfə,hɒspɪtəl,ʃʌtəl,mantəl,mʌsəl,sʌn,sʌn",,"wɔp,wɔm,pɪŋk,pɛsəl,sɪɹamɪk,sɜfɪs,wɔk,mɛsɪd͡ʒ,sandpɪt,mɪl",,,,,"wɔp,kamɛliə,wɔk,pinʌt,pɑmɪzan,kʌp,kɒpɪ,kʌt,hapɪnəs,kaɹət","ɜ 308%, w 162%, p 142%, ʌ 137%, h 119%"
iɑŋ,,,,,"ɔtʌm,ɑkɪtɛkt,ʌp,sʌk,pʌpɪt,kɛt͡ʃʌp,t͡ʃɜp,ɔkɪd,tim,bɪkʌm",,,,,,,,,,"pinʌt,pʌpɪt,bʌkɪt,bʌt,pɛt,t͡ʃɜp,dʌk,kɛt͡ʃʌp,dɜti,t͡ʃɛk","skɔpiən,bɛd,pʌpɪt,bɜd,stʌdi,pɛn,bʌkɪt,bɜn,dʌstbɪn,piəni",,"pɪŋk,mad͡ʒɪk,pɪɡ,pɪkt͡ʃə,pik,d͡ʒupɪtə,pʌpɪt,t͡ʃɪkɪn,bɪkʌm,bʊt͡ʃə",,,,,"pinʌt,pɒkɪt,bʌkɪt,pɛt,pɔt,pup,pʌpɪt,bɛd,ɡɛt,dɔtə","p 362%, ʌ 314%, t͡ʃ 290%, b 245%, k 184%"
iɑʊ,,,,,"ɑkɪtɛkt,ɐsɛtɪk,eɪfɪd,ɛksaɪtɪd,ɹɪtɜn,tɛn,hʌɹɪkeɪn,dɪsɐpiə,lɛtɪs,atɪk","az,kan,sad,kaɹət,t͡ʃiz,lɛtɪs,kɪs,hav,nɛɡətɪv,keɪs","sɪŋ,lɛtɪs,seɪn,sɪɡəɹɛt,seɪm,sɪblɪŋz,ɹɪŋ,nɛɡətɪv,lɪnɪn,lɛs","keɪs,lɛs,keɪd͡ʒ,jɛstədeɪ,ɛskeɪp,lɛtɪs,palɪs,kamp,liv,liv","jɛstədeɪ,wɛpən,weɪv,kɜtən,wɪð,keɪs,ɹeɪs,ɹeɪs,tədeɪ,wiv",,"ɹɛptaɪl,diteɪl,tim,kɪl,ti,dɜti,kaɹɪktə,ɡɪlti,dip,kɹim","ɹɪtɜn,lɛtɪs,dɛkəɹeɪt,tɜn,lɛtə,lɛtə,jɛstədeɪ,ɹeɪs,ɹeɪs,kɜtən",,,"əbʌv,ɐɡɛn,dɛd,tɜbɪd,fəɡɛt,nɛɡətɪv,bɛd,ɐvɔɪd,ad,kabɪd͡ʒ","ɹɪtɜn,bɪkʌm,pɛn,mɛdsən,pɜsən,patən,hɛvən,kɜtən,tɜn,bɜdən",,"keɪs,kɪs,pis,teɪbəltɛnɪs,pil,tɛnɪs,peɪn,pɛn,pɪn,sɛntɪpid",,,,,"wɛn,wɛn,wɛt,peɪn,keɪs,lɛtɪs,weɪt,weɪt,eɪfɪd,weɪv","ɪ 209%, ɛ 184%, w 118%, e 116%, ɜ 106%"
iɛ,,,,,"səsaiəti,sʌmtaɪmz,taɪm,seɪm,sɛntɪpid,ɐtak,tap,dɪsiv,ɛmpti,taiəd",,,"stamp,səʊp,stab,həʊp,spaɹəʊ,ɹəʊp,səʊk,steɪd͡ʒ,kamp,ɹəʊd",,,"ləʊnli,faɪnd,lɛtə,lɛtə,haɪ,lɪm,faɪn,hand,ɹɪpɔtə,fan","si,si,sɪti,saɪn,saɪn,sɪstə,stɑ,seɪ,lɪtəlsɪstə,ɹɪpɔtə",,,"steɪbəl,stab,stand,standəd,teɪbəl,teɪbəl,steɪ,stil,eɪbəl,steəz","hɒspɪtəl,spɪndəl,spid,spɪt,spiə,pɛtəl,hʌsbənd,pɛpə,pɜpəl,laʊdspikə",,"ʃampeɪn,sɪmbəl,sandpɪt,bəʊt,dɪsɛmbə,pəlut,tɛmpəl,pjupəl,spaɪsi,ʃaʊt",,,,,"saɪn,saɪn,spaɪdə,haɪd,faɪn,seɪn,aʊtsaɪd,steɪn,satɪsfaɪd,faɪnd","a 196%, h 169%, s 147%, d 104%, t 82%"
