,f,j,k,kʰ,l,m,n,p,pʰ,s,t,tʰ,t͡s,t͡sʰ,t͡ɕ,t͡ɕʰ,x,ɕ,ɻ,ʂ,ʈ͡ʂ,ʈ͡ʂʰ,∅
an,"ɡʌn,pɔ,bɑ,bɔɪ,dɔ,kɔ,pʊə,bɜn,dɔn,ʃaʊə",,"pɔt,bʌt,pʊt,bɔd,bʊk,pɔ,ʃeɪk,bʌkɪt,bɔɪ,dʌk","bɔɪ,bʊk,pɔ,bʌkɪt,pʊt,ʃeɪk,bɔd,pɔt,pʊə,sɪkɐmɔ","eəkəndɪʃənə,kəmpeə,t͡ʃeəmən,ɡleɪʃə,ʃeə,t͡ʃeə,ɡəʊldən,kaʃiə,beə,beə","bəʊ,bɑ,haʊ,dəʊ,bɔɪ,sɛnd,bʌs,haʊs,ʃadəʊ,bɛnd","haʊ,ʃaʊə,vju,bɑ,kaʊ,mɔ,ɡəʊ,dju,nju,saʊə","bʌt,bʌs,pʌs,pinʌt,bɛd,bʌkɪt,dɛd,pɔt,bʌtə,bɜd","keɪk,teɪk,sad,ʃeɪk,teɪkkeəɹɒv,sid,dɛkəɹeɪt,kɑd,sɪkəl,sɜkəl","naʊ,ðeɪ,haʊ,saʊə,ʃaʊə,vju,seɪ,veɪn,flaʊə,saʊnd","bʊk,sɪkɐmɔ,bɔɪ,kəʊk,pɛlɪkən,keɪk,dɛkəɹeɪt,pʊt,beɪk,pʊə","ʃeɪk,dɛkəɹeɪt,keɪk,sɪkɐmɔ,seɪ,əʊkeɪ,teɪk,tɹeɪ,fɹaɪdeɪ,sneɪk",,"kleɪ,pɹeɪ,pleɪ,pleɪ,dɹaɡənflaɪ,deɪ,keɪk,ɡɑdənə,steɪ,plaʊ",,,"pɔ,bʌs,bʌt,pʌs,bɑ,bəʊ,bɜt͡ʃ,bɔɪ,pʊʃ,tɔt͡ʃ",,"θaʊzənd,ðeɪ,haʊ,ɡɹandfɑðə,kɒfi,ʃaʊə,ʃi,hɛvi,bɑ,hand","naʊ,saʊnd,daʊn,haʊ,saʊθ,saʊə,ɹaʊnd,flaʊə,snəʊ,vɛt","dɹɛs,sand,dɹeɪn,dɛf,banjən,hand,dɪsdeɪn,valju,fan,kandi","θɜzdeɪ,tɹeɪ,deɪ,ɡʌvən,kandi,sɛvən,fəɹɛvə,hɛvən,wɛnzdeɪ,dɛvəl","dɔn,dɔ,taiəd,du,tɔɪ,saiəns,d͡ʒʌmp,ɡʌn,dʌm,saɪn","ɪ 15%, ə 14%, n 11%, k 10%, a 9%, t 9%, d 8%, ʊ 8%, e 8%, l 7%"
aɪ,,,"t͡ʃiz,pʌŋk,bʊk,sɪkəl,pʊʃ,dɪsiv,sɪkɐmɔ,t͡ʃizkeɪk,əbʌv,kʊk","t͡ʃizkeɪk,kiwi,paŋkeɪk,keɪk,kaŋɡɐɹu,kaɪt,kamp,ɡɑlɪk,kɪk,kalkjʊleɪt","kəmpeə,kənsɪstənt,kənsʌltənt,eəkəndɪʃənə,kɪt͡ʃən,ɐsɪstənt,kʌmpəni,ɪntɜn,dɪstəns,balkəni","sɛnd,hʌnt,sɛntə,hɛd,stɛpsʌn,dɪsɛnd,bɛnd,ɹɛnt,bɛd,hʌndɹɪd","kəntɪnju,balkəni,ju,ju,naʊ,ɐkaʊntənt,vju,ɐmaʊnt,kaʊ,wɪndəʊ","bɹɛd,dɛd,blʌnt,ɹɛd,ɹɛnt,sʌn,sʌn,spɹɛd,sil,sid","pinʌt,kamp,kaɪt,paŋkeɪk,kibɔd,t͡ʃizkeɪk,kamfətɹi,sɒlti,keɪk,kalkjʊleɪt","nɛst,nɛsɪsəɹi,mɪl,ni,ɹɪst,last,lɪst,ɹɪsɛpʃənɪst,mɪnɪt,naɪt","balkəni,skɛlɪtən,ɪɹɪɡeɪt,pɛlɪkən,mɪlk,tɛlɪskəʊp,ɡɪlti,neɪkɪd,ʌntɪl,ɛlɪfənt","skɛlɪtən,balkəni,kəmpʌlsəɹi,kənsʌltənt,kɪk,kwɪlt,skwɪd,keɪk,pɛlɪkən,t͡ʃizkeɪk","balkəni,dɪlɪd͡ʒənt,ɹɪsɛpʃənɪst,ɪlɛktɹɪʃən,fɒɹɪst,ɹɪlɪd͡ʒən,aɪɹɪs,aɪɹɪs,ɡɪlti,kəntɪnju","ɡaɹɪd͡ʒ,balkəni,kəlɪʒən,kɑneɪʃən,kɪt͡ʃən,kaʒuəl,steɪʃən,kɛmɪstɹi,keɪd͡ʒ,kaʃju",,,"kɔ,kɒfi,kɑ,ni,nɛkst,wɛft,wɜk,si,si,nɛk",,,,"stand,nɛst,dɛntɪst,dɪsɛnd,ni,and,fɹɛnd,lɛnd,fʌnd,ʌntɪl",,"absənt,d͡ʒʌmp,stʌmp,wɒnt,ɡɪlti,kənsʌltənt,ʌntɪl,lʌmp,dɛntɪst,hʌnt","ɪ 16%, t 13%, n 12%, k 11%, ə 11%, s 10%, l 8%, d 7%, a 7%, i 6%"
eɪ,"lʌŋ,jʌŋ,wɔm,lʌv,lɜn,tʌŋ,lɛft,lɛft,nɜv,lɛɡ",,"pʊʃ,kɜvd,tuθ,lʌv,lɛɡ,pɪɡ,əbʌv,ɛɡ,tɔɪ,nɜv",,"piəni,aftə,mɪliən,mitɪə,dɪfɹənt,bɪliən,katəpɪlə,peəɹənt,ʌniən,pəʊləbeə","kləʊðz,θɹɛd,θɹʌʃbɜd,kɔz,fɹiz,θɹəʊ,lɛnz,fɹɛʃ,pɹɛfɹəns,fləʊ","d͡ʒɪɹaf,bʌtəflaɪ,t͡ʃɪli,d͡ʒɛləs,wɪləʊ,vaɪɹəs,bʌsdɹaɪvə,bɪləʊ,baɪɒləd͡ʒi,katəpɪlə","pil,paɪlət,stil,sɜv,ɹʌf,tuθ,tɜtəldʌv,nɜv,lʌv,stɪl","θɹɛd,flʌd,θɹʌʃbɜd,lʌv,slaɪd,slaɪd,fid,sid,ɹɛd,pil",,,,"əbʌv,tɜbɪd,pɪɹɐmɪd,ɒv,avɹɪd͡ʒ,pʊʃ,lʌv,hav,nɜv,muv",,,,"kɒfi,kɒf,kɔz,hɑf,kɔ,kɑ,faɪl,tuθ,ɹʌf,haɪ",,,"nɜv,fɹɛnd,wɔm,ni,lɜn,lʌv,lɛft,lɛft,θɹɛd,fɹʌnt",,,,"ɪ 15%, l 13%, t 11%, s 11%, ə 10%, n 9%, d 8%, ɛ 8%, k 8%, ɹ 7%"
i,,,,,"mitɪə,baktiəɹiə,eə,jiə,beə,beə,kliə,midiə,iə,peə","pɹəʊsɛs,bʌs,vakjumklinə,pɹəfɛsə,wɒʃɪŋməʃin,məʃin,pɹɪnsɛs,plutəʊ,pɹiviəs,pɜfɛkt","ju,ju,vju,nju,haʊ,ʃaʊə,fju,dju,saʊə,stju","tɜbɪd,ɹabɪt,bat,pʌpɪt,bad,fəbɪd,səpɹaɪzd,pʌs,pɪvət,dɪvɛləp","fəbɪd,bad,fəɡɛt,θɹɛd,fɹɒst,pɛn,fid,plan,spid,flat",,"bʊk,plastɪk,mɒθ,ɛlɪfənt,last,ɛlɪveɪtə,klasɪkəlmjuzɪk,blak,ɹɒk,laf","fɹɒɡ,klɒk,plastɪk,keɪk,fɹɒst,teɪkkeəɹɒv,kɪk,klɒθ,dɹaɡənfɹut,steə",,,"junɪvɜs,ɔkɪstɹə,ɔlweɪz,tɛknɒləd͡ʒi,kɛmɪstɹi,nɛbjʊlə,wɔtəfɔl,ɹulə,t͡ʃɛstnʌt,pɹəfɛsə","klɛvə,təɡɛðə,kʌvə,ɔlweɪz,ɐɡɛn,kɹɔl,fɛðə,ʌðə,kɛmɪstɹi,ɡʌvən",,"siɐnɛməni,mitɪə,maksɪməm,maθɪmatɪks,ɐnɛməni,maɡnɪt,mɛni,mɪnɪməm,niə,nɛk",,,,,"wɒnt,wɒt,wɒn,wɒʃ,d͡ʒʌmp,ɑmpɪt,swɒmp,dɪsɐpiə,sʌmwɒt,ant","ə 17%, ɪ 13%, t 12%, n 10%, s 10%, k 9%, l 7%, a 7%, ɹ 7%, i 7%"
in,,,,,"d͡ʒəɹeɪniəm,djʊəɹiən,ziəɹəʊ,kjʊəɹiəs,mətiəɹiəl,d͡ʒanjuəɹi,t͡ʃeəmən,siəɹiəs,jʊəɹanəs,eəkəndɪʃənə","nəʊvɛmbə,paʊdə,faɪbə,njuzpeɪpə,bʌtə,bəʊn,tɛnθaʊzənd,mjuzɪk,jus,pɒpmjuzɪk",,"dəʊnʌt,səpɔt,tɔtəs,nɛbjʊlə,bʌtəkʌp,ɔtʌm,dɔtə,ɪmpɔtənt,dɪvɛləp,stɛpdɔtə","kwaiət,təɡɛðə,pɹaɪvət,ɡɑdən,kʌzən,dɛzət,kaɹət,pɪvət,ɡʌvən,ɡɑdənə",,,,,,"ʃəʊldə,səʊld͡ʒə,ɡɹandɔtə,ɒɹɪnd͡ʒ,ɒɹɪnd͡ʒ,ɪnɜʃə,səʊləsɪstəm,nɛbjʊlə,ɒlmənd,ɛksəsaɪz","ɡɑdənə,pɒpjʊleɪʃən,pɒpjʊlə,təɡɛðə,tjubə,baskɪtbɔl,skanə,ɡɑdən,swɒləʊbɜd,fɑðə",,"ɹaɪnəʊ,səsaiəti,maksɪməm,naɪn,kɒlənaɪz,dɪnaɪ,naɪt,sɪnəmən,laɪtnɪŋ,wɒlɹəs",,,,,"mɒnjumənt,ɪnəsənt,swɒmp,haɪɐsɪnθ,ɡɑdənə,swɒləʊ,eəkəndɪʃənə,jɒɡət,avəkɑdəʊ,səsaiəti","ə 23%, ɪ 14%, n 13%, s 8%, t 8%, a 8%, k 7%, m 7%, ɹ 6%, l 6%"
iŋ,,,,,"ziəɹəʊ,ʃaʊə,faɪnəli,ʃaləʊ,nidəl,kɒɹəl,klinə,ləʊ,ɹəʊm,saʊə","faɪbə,vakjumklinə,ʃadəʊ,faɪnəli,ʃaɪn,ʃaʊə,haɪɐsɪnθ,faiəfaɪtə,nəʊvɛmbə,kjukʌmbə","d͡ʒanjuəɹi,pəlismən,mʌlbəɹitɹi,tjubə,nju,pjupəl,ɐsjum,switpəteɪtəʊ,məskitəʊ,dju","ɹəʊp,ləʊtəs,pɹəvaɪd,paɪlət,vaɪɹəs,paɹət,ɹəʊbɒt,pɹəʊɡɹam,laɪlək,t͡ʃɒklət","pɹəvaɪd,paɹət,eɪpɹəl,kɹieɪt,kləʊk,pɑt,paɪp,pɹaɪvət,pleɪt,paɪlət",,"bɒtəm,sɪɹamɪk,ɹəʊbɒt,pɹaɪmmɪnɪstə,sɪstəm,təmɒɹəʊ,ɹəʊp,saɪlənt,səʊləsɪstəm,pɹəʊɡɹam","kʊk,kʊk,bʊk,ɡɑlɪk,ʃeɪk,keɪk,fɹeɪm,teɪk,tɹaɪaŋɡəl,stɒp",,,"ɛksəsaɪz,kɒlənaɪz,ɛnəd͡ʒi,aɪskɹim,ɐnaləsɪs,ɔdɪnəɹi,faɪnəli,vinəs,ɪnɜʃə,deɪnd͡ʒəɹəs","klinə,kɹeɪn,kɹeɪn,kaməl,skanə,kwin,eɪnd͡ʒəl,tɹaɪaŋɡəl,kan,taɪɡə",,"ɹaɪnəʊ,faɪnəli,naɪn,feɪməs,kɒlənaɪz,vaɪɹəs,laɪtnɪŋ,ɹaɪm,mɪnɪməm,vinəs",,,,,"kamp,swɒmp,taɪm,aɪ,aɪ,haɪɐsɪnθ,ʃampeɪn,taɪ,stamp,səsaiəti","ə 19%, ɪ 15%, a 12%, n 10%, l 9%, ɹ 8%, s 8%, t 7%, k 7%, m 6%"
iɑ,,,,,,,,,,,,,,,"ɔtʌm,d͡ʒɛlɪfɪʃ,d͡ʒʌmp,kɛt͡ʃʌp,ɪlɛktɹɪʃən,d͡ʒɜm,sʌm,pʌmpkɪn,t͡ʃɜp,ɹɪsɛpʃənɪst","tɹɛʒə,tɛlɪvɪʒən,kʌm,kʌlt͡ʃə,pɹɛʃə,ɡɑbɪd͡ʒ,kɛt͡ʃʌp,sʌm,ɡaɹɪd͡ʒ,ʃɛl",,"sɪɹamɪk,t͡ʃɜp,t͡ʃɪp,t͡ʃɛk,ʃɪp,lamp,t͡ʃip,nɛk,ɹap,ʃip",,,,,"d͡ʒʌmp,kamp,ɑmpɪt,lʌmp,ʃɹɪmp,ɑm,lamp,ant,ant,swɒmp","ɪ 17%, n 11%, m 10%, t 10%, k 10%, s 9%, ə 9%, p 8%, l 8%, ʌ 7%"
iɑŋ,,,,,"d͡ʒɪm,kəmplit,kəmpeə,d͡ʒʌmp,ɪmpɔtənt,d͡ʒɪŋkɡəʊ,dɪsɛmbə,ɛlɪmənt,ɪmpʌls,d͡ʒɛndə",,,,,,,,,,"d͡ʒʌmp,pʌmpkɪn,d͡ʒɪm,ɪmad͡ʒɪn,dɪsɛmbə,ɪmpɔtənt,ɪmpʌls,d͡ʒɛndə,d͡ʒɪŋkɡəʊ,ɪntɜn","kʌlt͡ʃə,it͡ʃʌðə,fɔl,pʌmpkɪn,ɐɡɛn,ɪmpʌls,təɡɛðə,tɔl,sɔd,d͡ʒɪŋkɡəʊ",,"ɹaɪm,t͡ʃɜp,d͡ʒʌmp,d͡ʒɪm,d͡ʒulaɪ,sʌmə,sʌnflaʊə,d͡ʒɜm,ɹɪmɛmbə,ɪmad͡ʒɪn",,,,,"d͡ʒʌmp,ɪmpʌls,pʌmpkɪn,kəmpʌlsəɹi,kəmpjutə,ʃɹɪmp,kʌmpəs,kamp,ɪmpɔtənt,lʌmp","ɪ 15%, ə 15%, n 13%, m 11%, t 10%, s 8%, p 7%, l 7%, ʌ 7%, k 7%"
iɑʊ,,,,,"kəlɪʒən,eəkəndɪʃənə,ɹɪfɹɪd͡ʒəɹeɪtə,ɹɪsɛpʃənɪst,kənsɪstənt,dɪlɪd͡ʒənt,ɐsɪstənt,vɛd͡ʒɪtəbəl,ɐkaʊntənt,d͡ʒəɹeɪniəm","saʊə,saʊnd,ʃaʊə,sɛntə,sʌnflaʊə,kaʊnt,hʌnt,ʃaʊt,ɹaʊnd,haʊ","ʃaʊə,saʊə,sʌnflaʊə,flaʊə,aʊə,jʊəɹɪn,ɐlaʊ,ju,ju,naʊ","sɜkəl,tɜbɪd,sɜtən,ʃɜt,tɜmaɪt,tɜtəl,səpɔt,t͡ʃɜp,tiʃɜt,ʃʌtəl","tɜbɪd,fəbɪd,stʌmp,ʃɹɪmp,tɛmpəl,fəɡɛt,hɜb,skwɪd,twɪɡ,swip",,"ɛlɪmənt,kənsʌltənt,kənsɪstənt,kɑpəntə,kəmpʌlsəɹi,pɒpjʊleɪʃən,ɪmpʌls,kəmplit,dɪstəns,pleɪs","kəlɪʒən,skwɒt,skɛlɪtən,stjudənt,pəlut,tjulɪp,skɹat͡ʃ,kjub,skɜt,swit",,,"sɔd,tɔl,tiʃɜt,dɪlɪd͡ʒənt,ʃəʊldə,fɔl,sɔt,ɹul,tɛlɪvɪʒən,skəʊld","kʌlt͡ʃə,kəlɪʒən,fɔl,tit͡ʃə,fit͡ʃə,kɪt͡ʃən,it͡ʃʌðə,tɹɛʒə,sɔd,pɹɛʃə",,"neɪt͡ʃə,ɐmaʊnt,naʊ,tit͡ʃə,tiʃɜt,nɛk,sɒlt,naɪt,mat͡ʃ,sɔd",,,,,"d͡ʒʌmp,swɒmp,kaʊnt,lʌmp,ʃɹɪmp,ɐkaʊntənt,stʌmp,wʊlf,kamp,sɪŋk","ə 17%, ɪ 12%, t 12%, l 10%, s 10%, n 10%, k 9%, p 7%, ʊ 6%, a 6%"
iɛ,,,,,"ɐksɛləɹeɪʃən,siəɹɪəl,ɹɪsɛpʃənɪst,ʃakəl,d͡ʒuəl,baɪsɪkəl,ɛksəsaɪz,ɐlɪtəl,bɪɡsɪstə,kəlɛkt",,,"t͡ʃɒklət,səpɹaɪzd,sɛkɹətɹi,səksid,ɛksəsaɪz,zɛbɹə,pɹəʊsɛs,ləʊtəs,səʊləsɪstəm,d͡ʒɛləs",,,"lɪɹɪks,bɪɡsɪstə,ɒstɹɪt͡ʃ,dɪstɹɪkt,ɛɡzɪt,bʊʃ,klasɪkəlmjuzɪk,hʌndɹɪd,pɹɪdɪkt,mɪks","klasɪkəlmjuzɪk,aɡɹɪkʌlt͡ʃə,ɜlɪ,bɹɪk,plastɪk,skɛlɪtən,pɹɒsɪkjutə,pɛlɪkən,pʌblɪk,splɪt",,,"ɛksəsaɪz,ɪlɛktɹɪʃən,ɪlɛktɹɪsɪti,ɹɪsɛpʃənɪst,ɛɡzaktli,aɪɹɪs,aɪɹɪs,bɪɡsɪstə,d͡ʒʌstɪs,aɪskɹim","ɡʌn,kɹeɪn,kɹeɪn,ɐɡɛn,kɹeɪzi,t͡ʃɪkɪn,kɪŋ,wɛn,wɛn,kwin",,"hʌni,ni,mɪks,maɡnɪt,nɛkst,fʌni,mɛni,hʌŋɡɹi,stɛpsʌn,ɛnəmi",,,,,"d͡ʒʌmp,ant,ant,hʌnt,d͡ʒaz,wɒnt,ɒv,az,ɛnd͡ʒɔɪ,ɛmpti","ɪ 16%, s 13%, ə 12%, t 10%, k 10%, n 9%, ɹ 9%, l 7%, ɛ 6%, i 6%"
