m̥,nas blb vls
,lat flp dnt vls
,lat flp dnt vcd
,lat flp alv vls
ɺ,lat flp alv vcd
,lat flp pla vls
,lat flp pla vcd
,lat flp rfx vls
ɭ̆,lat flp rfx vcd
,lat flp alp vls
,lat flp alp vcd
,lat flp pal vls
ʎ̮,lat flp pal vcd
,lat flp vel vls
ʟ̆,lat flp vel vcd
,lat flp uvl vls
,lat flp uvl vcd
,lat flp phr vls
,lat flp phr vcd
,lat flp glt vls
,lat flp glt vcd
,trl blb vls
ʙ,trl blb vcd
,trl lbd vls
,trl lbd vcd
,trl dnt vls
,trl dnt vcd
r̥,trl alv vls
r,trl alv vcd
,trl pla vls
,trl pla vcd
ɽ͡r̥,trl rfx vls
ɽ͡r,trl rfx vcd
,trl alp vls
,trl alp vcd
,trl pal vls
,trl pal vcd
,trl vel vls
,trl vel vcd
ʀ̥,trl uvl vls
ʀ,trl uvl vcd
ʜ,trl phr vls
ʢ,trl phr vcd
,trl glt vls
,trl glt vcd
ʘ,clk blb vls
,clk blb vcd
,clk lbd vls
,clk lbd vcd
ǀ,clk dnt vls
,clk dnt vcd
ǃ,clk alv vls
,clk alv vcd
,clk pla vls
,clk pla vcd
,clk rfx vls
,clk rfx vcd
ǂ,clk alp vls
,clk alp vcd
,clk pal vls
,clk pal vcd
,clk vel vls
,clk vel vcd
,clk uvl vls
,clk uvl vcd
,clk phr vls
,clk phr vcd
,clk glt vls
,clk glt vcd
,lat clk blb vls
,lat clk blb vcd
,lat clk lbd vls
,lat clk lbd vcd
,lat clk dnt vls
,lat clk dnt vcd
ǁ,lat clk alv vls
,lat clk alv vcd
,lat clk pla vls
,lat clk pla vcd
,lat clk rfx vls
,lat clk rfx vcd
,lat clk alp vls
,lat clk alp vcd
,lat clk pal vls
,lat clk pal vcd
,lat clk vel vls
,lat clk vel vcd
,lat clk uvl vls
,lat clk uvl vcd
,lat clk phr vls
,lat clk phr vcd
,lat clk glt vls
,lat clk glt vcd
,imp blb vls
ɓ,imp blb vcd
,imp lbd vls
,imp lbd vcd
,imp dnt vls
,imp dnt vcd
,imp alv vls
ɗ,imp alv vcd
,imp pla vls
,imp pla vcd
,imp rfx vls
,imp rfx vcd
,imp alp vls
,imp alp vcd
,imp pal vls
ʄ,imp pal vcd
,imp vel vls
ɠ,imp vel vcd
,imp uvl vls
ʛ,imp uvl vcd
,imp phr vls
,imp phr vcd
,imp glt vls
,imp glt vcd
pʼ,ejc blb vls
,ejc blb vcd
,ejc lbd vls
,ejc lbd vcd
,ejc dnt vls
,ejc dnt vcd
tʼ,ejc alv vls
,ejc alv vcd
,ejc pla vls
,ejc pla vcd
ʈʼ,ejc rfx vls
,ejc rfx vcd
,ejc alp vls
,ejc alp vcd
cʼ,ejc pal vls
,ejc pal vcd
kʼ,ejc vel vls
,ejc vel vcd
qʼ,ejc uvl vls
,ejc uvl vcd
ʡʼ,ejc phr vls
,ejc phr vcd
,ejc glt vls
,ejc glt vcd
,ejc frc blb vls
,ejc frc blb vcd
fʼ,ejc frc lbd vls
,ejc frc lbd vcd
θʼ,ejc frc dnt vls
,ejc frc dnt vcd
sʼ,ejc frc alv vls
,ejc frc alv vcd
